,cluster_id
NTC,508
DUX4,318
BBC3,600
ZFP3,508
ARHGAP35,508
HNF4A,508
ELOC,330
ZNF354A,508
EPOR,-1
ADNP2,530
ZFP57,-1
BHLHE40,-1
ZFP41,-1
SMARCA4,-1
KMT5B,508
HNF1A,508
ZFP37,634
UHRF1,-1
RHOG,298
UBTFL1,-1
LRCH4,70
ESRRG,-1
VDR,-1
TESK1,267
HNF1B,-1
ELOA,339
CAPRIN2,527
ESR2,559
USP28,-1
HASPIN,384
MEIS3,424
TBXT,-1
ZFP69B,-1
ZCWPW1,-1
RIOX1,622
ESR1,-1
KMT5C,435
DDT,145
BMAL2,-1
MZT2A,514
FBXO45,-1
GCFC2,263
KDM5C,-1
FGFRL1,-1
ZSCAN26,-1
ZNF483,-1
NPIPA3,-1
BCL6B,353
ORMDL1,-1
ZNF875,-1
AK1,-1
C19orf12,-1
MIDEAS,-1
BHLHE23,-1
DYNLL2,-1
GAS2L1,599
LARP1,335
TP53BP1,-1
SCRIB,-1
BCL6,127
ELOVL6,-1
ZFP2,153
PHF1,528
RNF139,-1
SELENOW,-1
FOXO3B,414
FBXW5,217
SKOR1,370
FAM120AOS,430
KIAA0040,-1
STAU1,-1
NRARP,344
PARP16,-1
YY1,-1
ACBD3,581
ZSCAN18,-1
PTEN,-1
DTD2,-1
EXT2,288
MAP3K12,-1
EHBP1L1,-1
GNB4,-1
ZNF658,-1
CD164L2,-1
PLEKHA1,315
CCDC6,-1
ZNF787,-1
MEIOSIN,598
SNN,336
ZNF580,469
SCARF2,573
ARHGDIA,425
FAM20B,-1
NT5DC2,-1
IL17RA,496
KAT2A,-1
DDIT4L,471
DUSP7,554
ZSCAN9,-1
ZNF362,-1
SMAD9,-1
GALNT7,365
BRD4,-1
C1orf216,-1
AMIGO2,-1
ZNF75D,-1
MECP2,-1
CIPC,204
OXCT2,298
PAQR7,295
ZFP82,514
STXBP2,579
CDK13,457
NSD2,-1
TENT4B,-1
NCS1,-1
SMAD2,-1
CACNG8,-1
SCAF4,-1
EMC9,405
PKP4,-1
B4GALNT4,168
EI24,-1
LAMTOR1,-1
RNF41,-1
METRN,471
ITGB5,634
ZNF394,-1
PLEKHO1,-1
TMEM80,-1
WBP1,-1
TADA2B,-1
PEG3,621
IGLON5,446
DSTN,100
ZNF623,-1
MYD88,534
MXD1,633
ZNF595,-1
SEL1L3,-1
SGF29,-1
ARFGAP1,-1
SLC35C2,411
THRB,-1
THAP12,-1
KCTD17,-1
ZYX,446
PDPN,-1
ZBTB45,508
JMJD6,-1
ANKRD39,-1
PLCD3,421
SLC11A2,154
PLOD3,267
PPP1R1A,-1
TNFAIP8L1,83
MAPKAPK2,399
CREM,404
ADSL,386
SPG7,-1
SERPINB9,531
CFAP97,461
KHDC4,-1
NKAIN1,-1
CANT1,465
FBXO44,329
GRM4,292
TP53,-1
RAB5C,322
SPATA33,331
SP3,-1
CTXN1,-1
DESI2,-1
SLC39A13,590
POGLUT3,-1
AGRN,488
PLIN3,527
UBL7,476
PIP4K2A,326
CST6,-1
ELOB,-1
CNP,-1
MBP,385
IKBIP,375
TST,-1
RHOQ,79
ETNK2,193
ZFP28,420
ZBTB21,-1
UBXN6,-1
UBTF,-1
MSC,-1
TMEM98,107
FOXN3,-1
TADA3,55
PTGES2,-1
POLDIP2,-1
ZNF732,-1
AGAP4,-1
ZNF836,-1
DCTPP1,-1
VPS37C,235
HRAS,160
CCDC78,-1
SNX33,546
ERG,-1
LATS2,-1
CASP6,-1
ZNF566,-1
SLC48A1,62
MAP3K4,-1
PEX26,-1
OGDH,322
AK4,378
FZD2,328
TMEM107,393
FBXO46,194
KRBA1,72
CHST2,-1
TP53I3,118
FAM98C,-1
MKS1,-1
BMAL1,546
DHRS13,-1
MAP4K4,310
MMD,142
BHLHE22,-1
NFKBIZ,423
IBA57,-1
UBE2G1,471
NADK,-1
TMEM127,607
ZNF358,-1
SDF2L1,-1
SH2D2A,-1
ONECUT3,-1
MEX3C,220
CASP9,562
SMIM3,-1
GSKIP,-1
EHD1,-1
TGFBR3L,629
DHRS7,-1
ATPAF1,-1
SLC1A6,-1
RTN2,73
FNDC4,478
ANKS3,-1
SEMA6C,-1
B3GAT3,-1
MIEF2,315
PALD1,72
GABRQ,408
SH3BGRL3,-1
SLC35E1,-1
AGTPBP1,231
PDCD6,309
ZFAND2B,321
TMEM181,-1
ENHO,430
CDO1,290
EP300,-1
ZBTB22,-1
HSPB2,-1
TUBB2B,-1
WDR45B,495
CCDC107,-1
IBTK,-1
COL6A2,-1
HTATIP2,281
TPST2,628
CARNMT1,-1
RFLNB,606
ZNF879,-1
CRYGD,-1
ENOSF1,298
KDSR,473
NUCB1,366
ATL3,298
ELAVL1,-1
AGXT2,618
DBX2,629
SLC39A1,-1
EGFL7,-1
ARNT2,-1
SIX6,-1
AKT1S1,-1
GRK6,-1
CSTB,278
SNX21,-1
DNAJC4,-1
KCTD6,600
ZNF20,-1
PAOX,-1
PFKP,-1
PWWP2B,418
RAB3GAP2,-1
GBGT1,424
NKIRAS2,-1
ZNF570,-1
CTSB,174
TCF20,-1
BOK,600
PPP2R5B,407
MSX1,-1
RGS19,614
AIF1L,625
LETMD1,-1
TRIM35,-1
ASB13,-1
CSRP1,139
MAPK7,-1
NPM2,-1
SH3GLB1,-1
ABCD1,-1
DUS1L,-1
DIABLO,-1
TSFM,508
UXS1,585
GLYCTK,-1
UNC50,453
PPP1R14B,-1
IRAK1,-1
CA12,516
CORO1B,-1
RNF141,-1
FAM3A,-1
ZNF723,519
HLA-C,-1
GPR62,-1
FGFR4,491
LRP8,336
STK11,-1
ANTKMT,628
GFPT1,306
MYLIP,-1
LANCL1,559
PGM1,614
AMMECR1L,230
UGCG,372
OSBPL2,272
DRD4,-1
FJX1,-1
COPRS,486
MIB2,382
POFUT1,22
CLDN3,408
GLB1L3,438
ZDHHC16,479
CAPN1,309
PMAIP1,259
KCTD20,600
CLPTM1L,222
PDF,-1
CREB3L3,493
CD83,524
IPO9,-1
MYBL1,590
ZNF860,-1
XPO7,-1
SLC27A1,-1
CDC42EP3,-1
CRX,-1
MXRA8,-1
PRR7,-1
TMSB4X,577
B3GALT6,338
C19orf47,-1
FXYD1,-1
TM2D2,271
CLCN7,222
CDK5R1,290
GLG1,628
ITPRIPL1,-1
GPR25,145
ARID5B,612
EFNA2,-1
JTB,-1
ROR1,500
GNAI2,434
ARID5A,-1
GPBP1L1,508
BCKDK,-1
SUPT20H,-1
CDR2,240
ARL6IP4,-1
MGRN1,-1
BCL7B,446
GPR137,77
ALG12,600
WWC1,-1
TSHZ1,-1
GALK1,-1
AKAP1,102
POTEI,-1
GPR160,365
RRM1,407
SCRN2,628
SHFL,-1
CDIP1,-1
PCDH1,267
CCDC88B,245
TAB2,442
HSPB1,-1
EPHA1,586
TUNAR,564
MTRES1,-1
PLD4,508
TBX15,545
FTH1,335
NACC2,-1
C8orf82,151
BARX1,-1
YPEL3,-1
VSIG10,-1
SIGLEC10,-1
CLDN12,87
MADD,503
HTR3A,-1
ZNF697,-1
PRDM12,-1
ZFP14,562
ZFP62,-1
FAM193A,-1
ADAMTS7,-1
DOLPP1,582
RAB12,637
MYOCD,-1
HNRNPA3,-1
MGAT3,-1
DDX50,-1
ADM2,-1
SH2B1,261
BABAM2,471
PAWR,-1
SCARB1,-1
PTK7,-1
HES6,-1
HLCS,-1
ZFYVE27,139
DDIT4,-1
SAV1,534
PCYOX1,-1
FAM210B,-1
FZD7,157
TCAF1,-1
PLBD2,-1
REV1,-1
PDPR,78
CPOX,483
SPARC,454
SAMD14,-1
BASP1,469
DDX60L,-1
JDP2,-1
GIPC1,536
TENT4A,375
SPRED3,-1
CERS4,-1
DMPK,-1
IGF2R,53
LACTB,540
BAG1,418
C14orf132,589
TMEM132A,171
GOLGA5,-1
ZNF7,364
SYT6,497
MARVELD3,-1
TMEM184B,386
NPIPA1,531
CRTC2,-1
CHGA,335
UBE2D3,-1
CITED2,-1
DMAC2,229
NCKIPSD,-1
SEMA7A,-1
CUEDC2,-1
BMT2,4
ARL4D,107
TMEM145,600
TUG1,375
CAMLG,545
ABHD8,-1
ADAM10,483
TXNDC12,440
PCBP4,-1
HIC1,-1
PKDCC,-1
MAP3K11,-1
SEC61A2,595
SP4,-1
ATP13A3,299
HMGN2,-1
RBM15,70
CEMP1,254
QTRT2,628
PRKAB2,-1
CNOT11,597
SENP5,-1
ZNF596,477
IVD,-1
SPRING1,-1
PDP2,309
PLOD1,425
OGG1,362
ASCC2,-1
POLG,-1
SAMD8,362
CTDSPL,155
LY6E,309
FOXJ1,445
GGH,502
LRIF1,564
CILP2,-1
FOXQ1,-1
C11orf58,-1
ZNF383,-1
TMEM50A,-1
SGPL1,-1
BATF2,-1
FBXL6,-1
QKI,83
SBF1,-1
TRAM1,547
SLC7A5,-1
FOXF2,-1
PAIP1,-1
CTSL,-1
GALNT2,231
ZNF426,99
BEND3,-1
DEDD,578
LRIG1,497
NOMO1,366
DEXI,601
MPST,527
DENND4B,-1
KIAA1549,-1
SIRT4,-1
NMI,-1
FAM234A,600
TMUB1,-1
ACOT8,598
MYADM,-1
PNPLA6,481
SLC7A1,168
C17orf80,481
DLGAP3,292
TSPAN4,633
STK35,-1
LIMK1,-1
ATAD3A,-1
UBE2L6,-1
OLFML3,-1
GLYATL1,-1
EML3,466
CTAGE15,571
KLHDC7A,427
EYA3,-1
BTBD10,-1
FLYWCH2,-1
PRDX6,-1
SOCS1,619
H3-4,-1
ARHGAP1,531
NKX2-4,-1
GSK3A,629
KCMF1,-1
EXO5,-1
RAB6C,-1
APH1A,-1
CDK2AP2,278
DNAL4,-1
GID8,474
DAP,-1
FCHSD1,330
ZNF664,-1
SLC35B3,575
SNCG,-1
GMEB1,-1
FADS2,-1
FOXL2NB,324
SRRD,-1
NCKAP5L,217
ENKD1,313
C1GALT1,-1
GAREM2,-1
ZNF276,4
FBXL16,-1
HTR7,347
HHEX,-1
CDH3,139
ZDHHC20,-1
TEAD4,508
BAX,235
MTCH1,-1
SPRY1,-1
CRELD1,-1
TVP23B,322
MTHFR,353
SERINC2,335
PANK3,380
MEIOB,-1
IKBKE,562
IER5L,-1
FAM20C,484
H1-8,293
COA7,575
ZSCAN2,275
CENPVL1,245
NR2E3,-1
UBFD1,325
PHACTR2,-1
ZNF324B,-1
SPATA20,-1
RIOX2,-1
FOXP4,380
XPO6,-1
C1orf35,186
SPATA24,-1
NUDT22,70
NABP1,-1
TEF,608
ACTC1,427
FKBP2,141
SH3BP1,-1
ZNF542P,414
GNPNAT1,-1
UCK2,-1
JADE3,-1
DDX4,-1
CECR2,-1
CHRNA5,179
MOSPD1,531
ITGA7,445
SOCS3,-1
IDS,347
GSX2,-1
KLF12,-1
QTRT1,-1
EOMES,-1
ARVCF,299
KDM4B,-1
CEP104,454
FOXH1,404
NAXD,-1
ARSA,90
KIF5A,-1
SLC25A46,-1
NAA35,186
LRFN3,214
ELK1,-1
PAQR3,36
KCTD3,-1
TTLL1,418
ZNF510,-1
