kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
CLN8,MSigDB_Hallmark_2020,prerank,Oxidative Phosphorylation,0.457992617046067,1.400564411519939,0.012376237623762377,0.47479031643156694,0.293,99/200,21.54%,ACAA1;TCIRG1;MAOB;IDH3G;ATP5PO;NDUFA1;NDUFB5;GPX4;NDUFC2;AIFM1;ATP6V0C;ETFA;OAT;COX7B;ETFB;SLC25A6;TIMM13;NDUFB8;SLC25A3;RHOT1;ATP5MC1;HSPA9;OPA1;COX17;PDP1;ATP6V1F;ATP5F1B;NDUFB2;PDHB;UQCRC1;COX7A2L;DLST;BCKDHA;NDUFA6;DLD;MRPS22;COX4I1;NDUFS6;CYB5A;COX5A;NDUFS4;NDUFB1;SDHD;ATP5F1C;VDAC2;COX5B;NDUFA4;COX15;ACADVL;SUCLG1;MRPL15;IDH3B;PRDX3;HSD17B10;NDUFB7;HADHB;UQCR11;SURF1;MFN2;NDUFV2;CYB5R3;ATP6V1D;SUPV3L1;COX11;CASP7;IDH2;VDAC1;ATP5F1D;NDUFS1;NDUFA7;COX6A1;LDHB;ATP5MG;UQCRH;NDUFV1;CYC1;MDH1;NDUFS7;ECH1;VDAC3;MTRF1;ATP1B1;MRPL34;LDHA;NDUFA3;UQCR10;BAX;ATP6V1E1;ATP6V1G1;NNT;ALAS1;NDUFC1;HTRA2;FH;ATP5PB;HADHA;MTRR;FXN;PHB2
CLN8,MSigDB_Hallmark_2020,prerank,Inflammatory Response,0.3955341306549091,1.2068109131697726,0.07,1.0,0.847,49/200,17.42%,CSF3;TNFRSF9;GPR132;CSF3R;APLNR;CXCR6;STAB1;HRH1;ITGB3;TNFSF9;IRF1;SLC1A2;SGMS2;EMP3;EDN1;CD70;CSF1;TPBG;INHBA;NMUR1;CHST2;IL18R1;TLR2;IL15RA;SCN1B;NOD2;MSR1;LCP2;HAS2;SEMA4D;LIF;TNFRSF1B;EIF2AK2;IFITM1;NFKB1;GNAI3;NMI;MET;PTAFR;F3;AXL;RAF1;BEST1;ITGA5;ADRM1;CD40;FZD5;MMP14;RELA
CLN8,MSigDB_Hallmark_2020,prerank,Fatty Acid Metabolism,0.37899321713602385,1.1309635687284512,0.16790123456790124,1.0,0.968,59/157,19.97%,CD36;AQP7;RDH16;ACAA1;CA4;XIST;IDH3G;ACSL1;HSD17B11;HPGD;REEP6;GRHPR;FMO1;NSDHL;ACOX1;TP53INP2;MAOA;PRDX6;EHHADH;H2AZ1;PSME1;PDHB;S100A10;UROS;DLST;ACAT2;GAPDHS;ECI2;DLD;BMPR1B;ACOT2;NBN;SDHD;ACSL4;GLUL;FASN;HADH;MLYCD;ACADVL;SUCLG1;APEX1;GABARAPL1;MIF;IDH3B;HSD17B10;ALDOA;HADHB;NTHL1;ALDH3A2;SERINC1;MDH1;ECH1;SUCLG2;LDHA;DHCR24;HSP90AA1;GPD2;BLVRA;HIBCH
CLN8,MSigDB_Hallmark_2020,prerank,Pancreas Beta Cells,0.4653550506411794,1.1256945473556994,0.25118483412322273,1.0,0.975,10/40,13.09%,PAX4;LMO2;INSM1;SRP14;MAFB;SPCS1;SEC11A;IAPP;CHGA;SYT13
CLN8,MSigDB_Hallmark_2020,prerank,Epithelial Mesenchymal Transition,-0.37206410360577863,-1.109209885893172,0.19264448336252188,1.0,0.998,74/200,23.14%,AREG;SERPINH1;COL7A1;LAMA3;VEGFC;IGFBP3;COL6A3;TGM2;CAP2;COL5A2;ADAM12;MXRA5;SCG2;ABI3BP;LAMC1;MAGEE1;MATN3;MSX1;CXCL12;LAMA1;CD44;PDGFRB;COL12A1;PVR;GPC1;CDH2;SNAI2;COPA;LAMC2;P3H1;TPM2;PTX3;CALD1;EFEMP2;MYL9;LRP1;BMP1;DAB2;TAGLN;PLOD1;CD59;SNTB1;TGFBI;SLIT3;PLOD3;COL5A1;COL11A1;CDH11;ANPEP;PCOLCE2;CXCL1;SGCG;ITGAV;MCM7;TFPI2;ID2;FUCA1;SERPINE2;SDC1;VEGFA;RHOB;FBN2;PLAUR;FBN1;MATN2;FGF2;TPM4;FERMT2;GJA1;IL15;CXCL6;GADD45B;TNFRSF12A;COL4A2
CLN8,MSigDB_Hallmark_2020,prerank,Protein Secretion,-0.40138292888544647,-1.0978085975759648,0.23756906077348067,1.0,1.0,47/96,24.82%,KIF1B;PPT1;SH3GL2;OCRL;AP2B1;BET1;COPE;MON2;COPB1;YKT6;RAB22A;TMED2;TSPAN8;USO1;TPD52;CLCN3;IGF2R;ARFIP1;GLA;ZW10;NAPA;TMX1;STX7;SEC24D;SGMS1;VAMP4;ADAM10;CLN5;ARFGAP3;GOLGA4;LMAN1;M6PR;AP1G1;VAMP7;CLTA;AP3B1;RER1;AP2M1;NAPG;STX12;ATP1A1;ARFGEF1;RAB9A;VPS45;DOP1A;SCAMP1;CLTC
CLN8,MSigDB_Hallmark_2020,prerank,Allograft Rejection,0.347805703584598,1.0662026166625087,0.26097560975609757,1.0,0.993,32/200,12.69%,CXCR3;CD28;IL16;STAB1;EIF3J;IL27RA;FGR;SPI1;CCND3;IL11;CSF1;INHBA;SOCS5;PF4;TGFB2;STAT4;NOS2;TLR2;EIF3A;AKT1;IKBKB;HLA-DRA;LY75;LCP2;CD86;WARS1;TAP1;LIF;IGSF6;FAS;CD247;HLA-A
CLN8,MSigDB_Hallmark_2020,prerank,Interferon Alpha Response,0.37835823972206434,1.0568165959623226,0.30403800475059384,1.0,0.994,28/97,17.72%,IFIH1;PSMB8;IRF1;USP18;PARP9;CSF1;TRIM25;PSMA3;PSME1;SLC25A28;DHX58;WARS1;HLA-C;TAP1;EPSTI1;TMEM140;EIF2AK2;IRF2;IFITM2;IFITM1;HERC6;NMI;LPAR6;TXNIP;NUB1;STAT2;PARP12;TENT5A
CLN8,MSigDB_Hallmark_2020,prerank,Myc Targets V1,0.33729625585778866,1.0399579539861108,0.2949640287769784,1.0,0.995,75/199,19.76%,EIF3J;TXNL4A;AP3S1;SNRPD3;PSMA7;PSMA6;CCT7;HNRNPA3;CLNS1A;MRPL9;EEF1B2;PGK1;NOP16;EIF4E;SLC25A3;RRM1;RANBP1;H2AZ1;HSPD1;RPS2;KPNA2;GNL3;SSB;SNRPD2;SNRPG;LSM2;CSTF2;SNRPA1;PTGES3;RPS6;COX5A;SF3B3;SNRPD1;RSL1D1;SRM;EIF2S2;PSMD8;PSMD14;NOP56;GLO1;APEX1;PSMC6;PSMC4;ERH;TARDBP;PRDX3;COPS5;TCP1;DUT;CCT2;HNRNPA2B1;UBA2;VDAC1;HSP90AB1;AIMP2;TUFM;HNRNPD;RNPS1;UBE2L3;CCT4;PPIA;CYC1;ILF2;RUVBL2;NME1;ORC2;VDAC3;IARS1;LDHA;RPS10;YWHAQ;RPS5;TFDP1;SRSF7;PSMB2
CLN8,MSigDB_Hallmark_2020,prerank,Reactive Oxygen Species Pathway,0.3988321079665971,1.012556084339198,0.38461538461538464,1.0,0.999,27/49,22.34%,ERCC2;GPX4;PRNP;PRDX6;GSR;NDUFA6;TXNRD1;CAT;STK25;GCLM;GLRX;FTL;PRDX2;PDLIM1;SOD2;CDKN2D;TXNRD2;TXN;SELENOS;LAMTOR5;G6PD;ATOX1;FES;ABCC1;MSRA;NDUFB4;PRDX1
