kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
ERICH1,MSigDB_Hallmark_2020,prerank,Pancreas Beta Cells,0.517966072965224,1.251985344219638,0.14166666666666666,1.0,0.78,12/40,13.43%,HNF1A;INSM1;FOXA2;SLC2A2;MAFB;SRP14;LMO2;CHGA;DCX;PCSK1;IAPP;SRPRB
ERICH1,MSigDB_Hallmark_2020,prerank,Myc Targets V1,-0.3934581292208611,-1.1663339306367047,0.11623616236162361,1.0,0.962,97/199,25.11%,UBE2E1;PSMA4;PPM1G;PA2G4;G3BP1;CCT5;PSMA6;TRA2B;RPL6;CDC45;XRCC6;KPNB1;HNRNPR;RRP9;CNBP;PWP1;HNRNPA1;PRPF31;PSMA2;DDX21;SNRPA;PSMD8;NCBP1;PSMA1;NAP1L1;SERBP1;HDGF;IFRD1;EIF2S1;GNL3;CTPS1;MYC;MCM6;MAD2L1;MCM5;LSM7;SSBP1;EXOSC7;NPM1;ILF2;DHX15;CDK4;RFC4;TYMS;RPL34;PABPC4;RNPS1;SLC25A3;RAD23B;XPO1;HNRNPC;CLNS1A;ETF1;NCBP2;DUT;SNRPB2;PRPS2;HDDC2;CSTF2;PSMD7;SRSF3;PCBP1;PSMD1;CUL1;SNRPG;HDAC2;ACP1;SNRPD2;RACK1;RPL22;HSPE1;MCM7;C1QBP;U2AF1;EIF1AX;COX5A;H2AZ1;PSMD3;RAN;USP1;SSB;TOMM70;HNRNPA3;SRSF7;PHB2;MCM4;EIF3D;DEK;KARS1;CCT2;PTGES3;TRIM28;VDAC1;TFDP1;CDK2;HNRNPD;NME1
ERICH1,MSigDB_Hallmark_2020,prerank,Interferon Alpha Response,0.4183198002826566,1.1624224555539688,0.14347826086956522,1.0,0.943,41/97,21.04%,RTP4;OASL;IRF7;RSAD2;IRF9;HELZ2;CSF1;TMEM140;LGALS3BP;CMPK2;USP18;NUB1;PARP9;IFI27;PSMB8;TAP1;PSME1;PARP12;IFITM2;MX1;EPSTI1;TENT5A;IL15;SLC25A28;MVB12A;IRF2;ADAR;DDX60;OGFR;TRIM26;HERC6;IFITM1;UBE2L6;TRIM25;IL7;MOV10;TRIM14;CNP;TRIM5;BST2;TXNIP
ERICH1,MSigDB_Hallmark_2020,prerank,Coagulation,0.3939345252919673,1.1563020286836823,0.13616071428571427,1.0,0.948,36/138,18.79%,C1QA;CTSE;PF4;CPQ;CFI;CTSO;PDGFB;TF;ANXA1;MMP3;C3;CTSH;MST1;GSN;ACOX2;FYN;SERPINE1;MMP9;F11;FBN1;F8;USP11;MMP15;GP1BA;LTA4H;MAFF;CD9;SIRT2;C2;F12;WDR1;PLAT;PROS1;MMP2;THBS1;LGMN
ERICH1,MSigDB_Hallmark_2020,prerank,Mitotic Spindle,0.3579902222504792,1.0868776724091471,0.22727272727272727,1.0,0.992,95/199,23.05%,PLEKHG2;TBCD;TUBA4A;SEPTIN9;NOTCH2;PAFAH1B1;ARHGEF12;KIF22;KNTC1;EPB41L2;TUBGCP2;ABR;BCAR1;SMC4;INCENP;ATG4B;BIN1;RAB3GAP1;MYO9B;CYTH2;DLGAP5;FGD4;ARHGAP29;GSN;BIRC5;KIF4A;TSC1;TAOK2;KIF23;EPB41;MAPRE1;CEP192;CEP131;CENPE;CDC42EP1;SHROOM1;LATS1;CDK1;ARHGEF7;SUN2;CTTN;YWHAE;NEK2;ARL8A;PXN;CCDC88A;RAPGEF5;RFC1;EZR;ARF6;CLIP1;PLK1;KIF11;KIF20B;CDC27;SPTAN1;RHOF;DLG1;SASS6;KATNA1;NF1;NUSAP1;BRCA2;ARFGEF1;TUBGCP5;KIF5B;FBXO5;RICTOR;DST;MYO1E;RASA2;ARHGEF3;NIN;BCL2L11;TPX2;TUBD1;CAPZB;CNTRL;FLNA;SORBS2;KIF2C;SOS1;LLGL1;TTK;PCGF5;ACTN4;KLC1;NUMA1;ARHGDIA;TUBGCP6;RAPGEF6;TLK1;CEP72;MID1;PIF1
ERICH1,MSigDB_Hallmark_2020,prerank,PI3K/AKT/mTOR  Signaling,0.3711004650154625,1.0537845015495797,0.31063829787234043,1.0,0.996,42/105,22.13%,CXCR4;MAPK10;PITX2;DUSP3;NOD1;RIPK1;GRK2;GSK3B;RPTOR;GNGT1;RPS6KA1;AP2M1;AKT1S1;MAPKAP1;SLA;ADCY2;CAB39L;PRKAA2;PDK1;GRB2;PLCG1;CDK1;CAB39;TBK1;ECSIT;MAP2K6;PIK3R3;SMAD2;CALR;PPP1CA;ITPR2;PFN1;UBE2D3;PPP2R1B;ACACA;PTPN11;PLA2G12A;MAP2K3;RAF1;AKT1;ARHGDIA;EGFR
ERICH1,MSigDB_Hallmark_2020,prerank,Myc Targets V2,-0.4082208540031231,-1.044293742055775,0.3674698795180723,1.0,1.0,30/57,26.56%,PA2G4;DUSP2;RRP9;MAP3K6;NIP7;PPRC1;GNL3;SLC29A2;NDUFAF4;MPHOSPH10;MYC;MCM5;NPM1;UNG;CDK4;DCTPP1;NOP2;TBRG4;GRWD1;HSPE1;BYSL;PPAN;MCM4;PRMT3;SLC19A1;PLK4;RRP12;HSPD1;CBX3;AIMP2
ERICH1,MSigDB_Hallmark_2020,prerank,Reactive Oxygen Species Pathway,-0.4062024555130694,-1.0067676771980996,0.42213883677298314,1.0,1.0,27/49,25.44%,GPX3;SBNO2;HHEX;SCAF4;FES;MGST1;NDUFS2;SRXN1;MSRA;SELENOS;SOD1;PFKP;JUNB;MBP;G6PD;SOD2;EGLN2;OXSR1;LAMTOR5;IPCEF1;ATOX1;PRDX1;FTL;GLRX;TXN;GCLC;PDLIM1
ERICH1,MSigDB_Hallmark_2020,prerank,Myogenesis,-0.3347521637654922,-1.0022076873941625,0.47155963302752296,1.0,1.0,50/199,17.45%,SGCA;CHRNG;IGFBP7;PPP1R3C;GPX3;LDB3;ITGB4;MYF6;BDKRB2;NOS1;CFD;KCNH1;CKMT2;ACTA1;NOTCH1;CKM;SH3BGR;MRAS;MYO1C;MEF2C;TNNI1;GNAO1;MAPRE3;STC2;APP;COL15A1;PDE4DIP;RIT1;FLII;AGRN;MYL7;RYR1;FDPS;CTF1;GADD45B;FOXO4;IFRD1;COL4A2;MYL6B;TPM2;AK1;ACHE;ACTN3;PICK1;SGCG;SPHK1;ACTN2;ATP6AP1;GABARAPL2;WWTR1
ERICH1,MSigDB_Hallmark_2020,prerank,Cholesterol Homeostasis,-0.37178006773946226,-0.9885698411253491,0.4723809523809524,1.0,1.0,24/74,17.51%,TRIB3;SC5D;MAL2;ATF3;CYP51A1;FBXO6;PLSCR1;GNAI1;FDPS;CPEB2;ANTXR2;ABCA2;FABP5;JAG1;TM7SF2;STARD4;NFIL3;ETHE1;GPX8;ADH4;GUSB;ANXA5;ERRFI1;ECH1
