kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
KBTBD11,MSigDB_Hallmark_2020,prerank,Pancreas Beta Cells,0.6113480535248711,1.5154385811279518,0.024553571428571428,0.09205876883020271,0.093,10/40,10.60%,NKX6-1;ISL1;IAPP;MAFB;PCSK1;LMO2;CHGA;AKT3;FOXO1;SYT13
KBTBD11,MSigDB_Hallmark_2020,prerank,Androgen Response,0.40757583492363664,1.1427848012360167,0.19103773584905662,1.0,0.948,53/100,25.74%,SRP19;AZGP1;HPGD;STK39;SGK1;NKX3-1;TSC22D1;DNAJB9;ZMIZ1;KRT19;LIFR;ELOVL5;GSR;ARID5B;ANKH;SPCS3;IDI1;PTPN21;SEC24D;SAT1;PMEPA1;B2M;H1-0;SCD;AKAP12;PDLIM5;SELENOP;SPDEF;MAF;DHCR24;ZBTB10;TNFAIP8;INSIG1;APPBP2;B4GALT1;ADAMTS1;CCND3;AKT1;ELK4;ACSL3;NCOA4;CDK6;BMPR1B;DBI;GNAI3;KRT8;RAB4A;PLPP1;ITGAV;CAMKK2;UBE2J1;NGLY1;ELL2
KBTBD11,MSigDB_Hallmark_2020,prerank,Myogenesis,-0.34953960269114115,-1.0461430292296352,0.3524305555555556,1.0,1.0,69/199,21.61%,SGCA;CACNG1;CFD;MYF6;BDKRB2;TPM2;IGFBP3;GJA5;SGCG;EFS;MAPK12;ADAM12;ENO3;GABARAPL2;DMPK;GADD45B;MYH2;ATP6AP1;CAV3;SOD3;CKM;ADCY9;TNNI1;COL6A3;PDE4DIP;AGRN;FXYD1;TNNT1;ITGA7;HRC;SCHIP1;MYL7;MYO1C;NOTCH1;TSC2;IGFBP7;SYNGR2;RIT1;LDB3;GAA;PSEN2;PYGM;ERBB3;STC2;TEAD4;FST;CRAT;NOS1;GSN;MYL6B;WWTR1;CDH13;AK1;ACTN2;NQO1;FDPS;PPFIA4;MEF2C;KIFC3;GNAO1;GPX3;TGFB1;MAPRE3;PDLIM7;BAG1;CHRNG;OCEL1;SH3BGR;HBEGF
KBTBD11,MSigDB_Hallmark_2020,prerank,Bile Acid Metabolism,-0.3688070007492519,-1.0304312694828737,0.3924050632911392,1.0,1.0,30/112,16.92%,SULT1B1;SERPINA6;SLC27A2;RETSAT;NR1H4;SLC23A1;SOD1;GC;ABCG4;AKR1D1;HACL1;NR1I2;ALDH8A1;PECR;ABCA5;NEDD4;ABCG8;OPTN;EPHX2;LCK;GCLM;PRDX5;NPC1;BCAR3;ISOC1;RBP1;NR3C2;HSD17B4;BMP6;PEX26
KBTBD11,MSigDB_Hallmark_2020,prerank,KRAS Signaling Dn,-0.33524927692632034,-1.0122493214471722,0.3986135181975737,1.0,1.0,43/199,18.89%,SYNPO;KLK8;EPHA5;CACNG1;KRT15;SLC12A3;SOX10;SLC6A3;MTHFR;PDK2;CNTFR;ABCG4;ZBTB16;C5;PAX3;TENT5C;CPA2;NR6A1;PKP1;TGFB2;GPR3;OXT;CKM;KLK7;RGS11;EGF;FGF22;STAG3;MYOT;KCNMB1;BRDT;BARD1;LYPD3;ALOX12B;GPRC5C;ATP4A;CHST2;FGFR3;NOS1;SNCB;PRKN;PTPRJ;RYR2
KBTBD11,MSigDB_Hallmark_2020,prerank,Unfolded Protein Response,-0.3596456399735044,-1.0117510809230752,0.39892665474060823,1.0,1.0,48/112,24.57%,SRPRA;EXOSC10;ATP6V0D1;ATF3;YIF1A;YWHAZ;EIF4EBP1;RRP9;CNOT6;DCP1A;HERPUD1;IARS1;EXOSC5;HSP90B1;PSAT1;ALDH18A1;SLC1A4;NOLC1;IMP3;EIF4A1;NFYB;DDIT4;KHSRP;ASNS;STC2;DNAJC3;GEMIN4;CNOT4;EXOSC4;ARFGAP1;EXOSC1;EXOSC2;NFYA;CXXC1;FKBP14;SEC11A;CEBPB;EIF2S1;KDELR3;ZBTB17;EEF2;CNOT2;EDC4;HSPA5;PDIA5;ATF4;LSM4;RPS14
KBTBD11,MSigDB_Hallmark_2020,prerank,UV Response Dn,0.3374413908322658,1.0067046772508024,0.4309133489461358,1.0,0.999,63/144,24.04%,PIAS3;CDK13;F3;DUSP1;TFPI;SMAD7;RBPMS;PIK3R3;MRPS31;TENT4A;ATXN1;VLDLR;ZMIZ1;AKT3;LPAR1;RND3;DDAH1;ATP2B4;SLC22A18;MYC;SMAD3;NFKB1;EFEMP1;PTPN21;NOTCH2;DLG1;ABCC1;IRS1;SRI;PRKCA;PDLIM5;FBLN5;KCNMA1;FYN;HAS2;ID1;ATRN;CAV1;PLPP3;INSIG1;MAP2K5;PTPRM;GRK5;ADD3;FHL2;MAGI2;MAP1B;TGFBR3;CDON;CELF2;SERPINE1;MMP16;RUNX1;IGF1R;RXRA;PRDM2;BMPR1A;ANXA4;COL1A2;VAV2;PEX14;SYNE1;SLC7A1
KBTBD11,MSigDB_Hallmark_2020,prerank,Allograft Rejection,-0.32915358438361497,-0.9851990331669862,0.4504950495049505,1.0,1.0,44/200,18.92%,CXCL13;ITGAL;CD7;CTSS;ITGB2;INHBA;CFP;MMP9;TIMP1;WAS;EIF3D;CDKN2A;NOS2;UBE2D1;CD247;F2;TGFB2;TAPBP;LTB;IRF8;LYN;NCK1;IL2RB;LCK;CD86;HLA-DMB;CD1D;IRF4;ELF4;TAP1;CD74;RPL3L;PRKCB;HLA-DMA;BCL10;PRKCG;BCL3;RPS19;EIF5A;ICOSLG;F2R;HLA-E;CD47;SOCS1
KBTBD11,MSigDB_Hallmark_2020,prerank,Protein Secretion,-0.36170684885351506,-0.9810731307755813,0.4964788732394366,1.0,1.0,32/96,21.39%,CLTA;TSPAN8;CLN5;KIF1B;SOD1;RAB2A;YKT6;TSG101;VAMP4;CLCN3;AP1G1;ICA1;MON2;COPE;COPB1;RER1;GOLGA4;DOP1A;SH3GL2;STX12;ARCN1;AP2M1;GALC;COG2;RAB22A;AP3B1;ARFGAP3;NAPG;ARFIP1;SGMS1;ATP6V1H;M6PR
KBTBD11,MSigDB_Hallmark_2020,prerank,p53 Pathway,-0.32749836061544596,-0.9783045876664828,0.4890756302521008,1.0,1.0,79/199,24.67%,TGFA;JAG2;KLK8;RETSAT;VWA5A;FUCA1;EI24;ZBTB16;CDKN2A;ABAT;ATF3;TRIB3;BMP2;DEF6;DCXR;IFI30;HDAC3;IL1A;TNNI1;CD81;PPP1R15A;RAD9A;CEBPA;BAX;TP63;RACK1;NOTCH1;FOS;IER3;TAP1;TP53;TCN2;S100A4;DDIT4;ZNF365;LDHB;RAP2B;MAPKAPK3;RRP8;SFN;BAIAP2;HEXIM1;RGS16;F2R;CD82;BTG1;FBXW7;GM2A;CDH13;SOCS1;AK1;CTSD;BAK1;VDR;SLC3A2;SLC7A11;MKNK2;TGFB1;DRAM1;PRMT2;VAMP8;RPS12;DGKA;PCNA;RCHY1;PLK3;HBEGF;SERTAD3;ANKRA2;TRAF4;ABCC5;FAS;SPHK1;KIF13B;PERP;ADA;MXD4;RAD51C;CYFIP2
