dep_gene,paralog_gene,delta_z_K562,delta_z_K562_essential,delta_z_rpe1,delta_z_melanoma,delta_z_cd4t_rest,delta_z_cd4t_stim8hr,delta_z_cd4t_stim48hr,delta_z_neuron,n_tested,n_positive,frac_positive,consistent_up,consistent_down
ACACA,PC,,,,,-0.5385110676288605,-0.4299646317958832,-0.7186205759644508,,3,0,0.0,False,True
ACO2,IREB2,-0.0601148035230128,,,,-0.6327917920425534,0.6600292325019836,-3.6711671333760023,,4,1,0.25,False,False
ARF1,ARF4,0.1102930900445765,,,,1.0545624345541,1.458504781126976,0.8482144922018051,,4,4,1.0,True,False
CDK4,CDK11A,-0.1776244650146268,,,,0.0768118733540177,-0.1263721473515033,0.1415509954094886,,4,2,0.5,False,False
CFL1,DSTN,0.6363825489923609,0.9615175695032514,0.3830108271034148,,,,,,3,3,1.0,True,False
DDX39B,DDX39A,0.9653123531065698,,,,0.3590599149465561,-0.3361759781837463,3.169711247086525,,4,3,0.75,False,False
DDX3X,DDX3Y,,,,,0.9215695150196552,1.2997455894947052,0.9433156549930573,,3,3,1.0,True,False
DDX5,DDX17,0.2644689940213391,1.2824278762393178,0.6089548074658244,,3.464237794280052,7.535405144095421,2.226026356220246,,6,6,1.0,True,False
DYNC1H1,DNAH9,,,,,,,,0.2840021848678589,1,1,1.0,False,False
EIF1,EIF1B,0.3859994971569981,0.79079045839565,0.8179064363133736,,4.2600358463823795,2.342733681201935,0.4801951348781585,,6,6,1.0,True,False
EIF1AX,EIF1AY,,,,,1.925240620970726,2.2106824070215225,2.07560858130455,,3,3,1.0,True,False
FBXW11,BTRC,0.1046629048709043,,,,,,,,1,1,1.0,False,False
FOSL1,FOSB,,,,,0.6169319450855255,-2.6140768602490425,-0.2177847772836685,,3,1,0.3333333333333333,False,False
HNRNPH1,HNRNPF,-0.1218628419730583,0.5780508969525953,-0.0761621576895077,,-0.3849471360445022,1.7304538376629353,-0.1915029436349868,,6,2,0.3333333333333333,False,False
HNRNPU,HNRNPUL2,0.2286054067000245,2.944456190033175,0.8918977970955894,,1.533556685782969,,0.9379626233130692,,5,5,1.0,True,False
KLF5,KLF3,-0.0688112151474218,,,,0.5819674134254456,0.9432277157902718,1.0273841470479963,,4,3,0.75,False,False
KRAS,NRAS,0.01051482991599,,,,0.917304739356041,0.0224858075380325,0.6492290198802948,,4,4,1.0,True,False
MAGOH,MAGOHB,0.2156584121201547,0.700195750987388,-0.0580205288402234,,,,,,3,2,0.6666666666666666,False,False
NAPG,NAPA,0.0326855755143805,-0.4966905361400284,-0.088952685935566,,-0.7600359171628952,0.7846478074789047,-0.683904173783958,,6,2,0.3333333333333333,False,False
NDE1,NDEL1,,,,,0.1558657810091972,-0.0085172327235341,0.0006886571645736,,3,2,0.6666666666666666,False,False
POM121C,POM121L2,,,,,-0.2326728412881493,-0.1980090960860252,-0.2164964471012354,,3,0,0.0,False,True
PPP2CA,PPP2CB,0.0193226804899394,0.6031956649855326,-0.0878755360682799,,,,,,3,2,0.6666666666666666,False,False
PPP2CA,PPP5C,-0.0063543324601044,-0.875957858048106,-0.1791407394330375,,,,,,3,0,0.0,False,True
PPP2R1A,PPP2R1B,0.0281230166491392,0.1549573604128571,-0.0335086714431571,,0.8397143334150314,0.1402044892311096,-2.210780434310436,,6,4,0.6666666666666666,False,False
RAB10,RAB31,-0.001007624380972,,,,2.091365098953247,-1.714417077600956,4.576144360005856,1.0079413503408432,5,3,0.6,False,False
RAB10,RAB3B,,,,,-0.6064929673448205,-0.6878781095147133,-0.9563468471169472,-1.3031174540519714,4,0,0.0,False,True
RAB10,RAB8A,0.0467804481242047,,,,-1.7297848761081696,-0.1576213613152504,0.2260344475507736,0.7642834484577179,5,3,0.6,False,False
RAB6A,RAB8A,-0.0282234999384536,-0.1284487721886178,-0.1165022662034831,,,,,,3,0,0.0,False,True
SMARCA4,SMARCA2,-0.0987869810155278,,,1.118493139743805,0.6002711802721024,-0.2516163066029548,-2.297107022255659,,5,2,0.4,False,False
SMARCA5,CHD3,-0.0891423288483021,,,,0.3841290138661861,0.9634534306824208,0.2312021106481552,,4,3,0.75,False,False
SOS1,SOS2,-0.0827135412283006,,,,-0.310299888253212,-0.6600033193826675,-0.4061764031648636,,4,0,0.0,False,True
SRSF2,SRSF8,0.0124607084679186,-0.0051674586507158,0.160134308025814,,1.8513735458254816,-0.3372097611427307,2.947579220868647,,6,4,0.6666666666666666,False,False
TUBB4B,TUBB,0.1371841662102199,,,,-1.3583490401506424,-0.8137560188770294,-1.5175581201910973,,4,1,0.25,False,False
TUBB4B,TUBB6,-0.0637379918349169,,,,-1.0659776031970978,-1.4714738130569458,-0.8596070855855942,,4,0,0.0,False,True
TYMS,DHFR,-0.0400076415345001,,,,,,,,1,0,0.0,False,False
