rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
1,"mRNA Splicing, Via Spliceosome (GO:0000398)",1.2848713288874518e-06,34.28398058252427,465.05712181144605,"DDX17, DDX39A, HNRNPF, MAGOHB, SRSF8",0.00019658531331978013,0,0,GO_Biological_Process_2023
2,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",2.2127805103020923e-05,30.007575757575758,321.6414698114911,"DDX39A, HNRNPF, MAGOHB, SRSF8",0.0016927770903811005,0,0,GO_Biological_Process_2023
3,mRNA Processing (GO:0006397),4.354541844016287e-05,25.106031746031746,252.1073911892532,"DDX39A, HNRNPF, MAGOHB, SRSF8",0.0022208163404483063,0,0,GO_Biological_Process_2023
4,Gene Expression (GO:0010467),0.00015289756895919148,17.980821917808218,157.97486851585379,"DDX17, DDX39A, HNRNPF, MAGOHB",0.005848332012689074,0,0,GO_Biological_Process_2023
5,RNA Processing (GO:0006396),0.0006554899244297239,20.626041666666666,151.1915178295745,"DDX17, HNRNPF, MAGOHB",0.020057991687549553,0,0,GO_Biological_Process_2023
6,mRNA Transport (GO:0051028),0.0013692327649010019,41.859243697478995,275.99912096338653,"DDX39A, MAGOHB",0.032820854387387126,0,0,GO_Biological_Process_2023
7,mRNA Export From Nucleus (GO:0006406),0.0015628361432182651,39.06078431372549,252.38161247896437,"DDX39A, MAGOHB",0.032820854387387126,0,0,GO_Biological_Process_2023
8,RNA Export From Nucleus (GO:0006405),0.0017161231052228564,37.19514472455649,236.8470596426402,"DDX39A, MAGOHB",0.032820854387387126,0,0,GO_Biological_Process_2023
9,RNA Metabolic Process (GO:0016070),0.004907737838735275,21.448461953588776,114.04023181373678,"DDX17, HNRNPF",0.07215332577959452,0,0,GO_Biological_Process_2023
10,Regulation Of Microtubule Binding (GO:1904526),0.005687115738983334,221.95555555555555,1147.4107993095174,PPP2CB,0.07215332577959452,0,0,GO_Biological_Process_2023
11,Response To Lead Ion (GO:0010288),0.005687115738983334,221.95555555555555,1147.4107993095174,PPP2CB,0.07215332577959452,0,0,GO_Biological_Process_2023
12,Regulation Of Skeletal Muscle Cell Differentiation (GO:2001014),0.0075760122063041925,158.52380952380952,774.0350338275504,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
13,Positive Regulation Of Membrane Invagination (GO:1905155),0.0075760122063041925,158.52380952380952,774.0350338275504,RAB31,0.07215332577959452,0,0,GO_Biological_Process_2023
14,Dephosphorylation (GO:0016311),0.008453035059927833,16.094117647058823,76.82092072504034,"PPP2CB, BTRC",0.07215332577959452,0,0,GO_Biological_Process_2023
15,Peptidyl-Serine Dephosphorylation (GO:0070262),0.008519185800335128,138.70138888888889,660.9723846479391,PPP2CB,0.07215332577959452,0,0,GO_Biological_Process_2023
16,"Positive Regulation Of Phagocytosis, Engulfment (GO:0060100)",0.008519185800335128,138.70138888888889,660.9723846479391,RAB31,0.07215332577959452,0,0,GO_Biological_Process_2023
17,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),0.008675621737783988,15.873549419767906,75.35552153477218,"PPP2CB, BTRC",0.07215332577959452,0,0,GO_Biological_Process_2023
18,Actin Filament Depolymerization (GO:0030042),0.009461510512395743,123.28395061728395,574.5677163606151,DSTN,0.07215332577959452,0,0,GO_Biological_Process_2023
19,"Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000622)",0.009461510512395743,123.28395061728395,574.5677163606151,MAGOHB,0.07215332577959452,0,0,GO_Biological_Process_2023
20,"Regulation Of Phagocytosis, Engulfment (GO:0060099)",0.009461510512395743,123.28395061728395,574.5677163606151,RAB31,0.07215332577959452,0,0,GO_Biological_Process_2023
21,Positive Regulation Of Circadian Rhythm (GO:0042753),0.010402987018789436,110.95,506.5602322657193,BTRC,0.07215332577959452,0,0,GO_Biological_Process_2023
22,Positive Regulation Of Ruffle Assembly (GO:1900029),0.011343616002547938,100.85858585858585,451.7557080600296,NDEL1,0.07215332577959452,0,0,GO_Biological_Process_2023
23,Regulation Of Cell Fate Commitment (GO:0010453),0.012283398155032895,92.44907407407408,406.73031819258705,CHD3,0.07215332577959452,0,0,GO_Biological_Process_2023
24,Establishment Of Chromosome Localization (GO:0051303),0.013222334171232074,85.33333333333333,369.13902050225767,NDEL1,0.07215332577959452,0,0,GO_Biological_Process_2023
25,Regulation Of mRNA Metabolic Process (GO:1903311),0.014160424747060764,79.23412698412699,337.3237811891663,MAGOHB,0.07215332577959452,0,0,GO_Biological_Process_2023
26,Phagosome Maturation (GO:0090382),0.014160424747060764,79.23412698412699,337.3237811891663,RAB31,0.07215332577959452,0,0,GO_Biological_Process_2023
27,miRNA Metabolic Process (GO:0010586),0.014160424747060764,79.23412698412699,337.3237811891663,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
28,Regulation Of Cell Differentiation (GO:0045595),0.014221427256560447,12.189713581767785,51.84291878459182,"DDX17, CHD3",0.07215332577959452,0,0,GO_Biological_Process_2023
29,"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",0.015097670589384432,73.94814814814815,310.08047018396815,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
30,ncRNA Metabolic Process (GO:0034660),0.01603407239546545,69.32291666666667,286.5143387139707,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
31,Peptidyl-Threonine Dephosphorylation (GO:0035970),0.01603407239546545,69.32291666666667,286.5143387139707,PPP2CB,0.07215332577959452,0,0,GO_Biological_Process_2023
32,Androgen Receptor Signaling Pathway (GO:0030521),0.01603407239546545,69.32291666666667,286.5143387139707,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
33,Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),0.01603407239546545,69.32291666666667,286.5143387139707,DDX17,0.07215332577959452,0,0,GO_Biological_Process_2023
34,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.01603407239546545,69.32291666666667,286.5143387139707,BTRC,0.07215332577959452,0,0,GO_Biological_Process_2023
35,Positive Regulation Of Phospholipase Activity (GO:0010518),0.018838220672014273,58.36842105263158,231.83163218032678,ARF4,0.08234993608051953,0,0,GO_Biological_Process_2023
36,Negative Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010804),0.019771253405680735,55.44722222222222,217.54863156976407,PPP2CB,0.08402782697414313,0,0,GO_Biological_Process_2023
37,Vesicle Transport Along Microtubule (GO:0047496),0.020703445636816073,52.804232804232804,204.7460437251252,NDEL1,0.08561154547115836,0,0,GO_Biological_Process_2023
38,Microtubule Nucleation (GO:0007020),0.021634798076404317,50.40151515151515,193.21180108339513,NDEL1,0.0871085290971016,0,0,GO_Biological_Process_2023
39,Regulation Of Ruffle Assembly (GO:1900027),0.02256531142960272,48.207729468599034,182.7719626724847,NDEL1,0.08852545253151836,0,0,GO_Biological_Process_2023
40,Positive Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051443),0.02535182406329611,42.638888888888886,156.69384876205734,BTRC,0.08856198844341326,0,0,GO_Biological_Process_2023
41,Protein Depolymerization (GO:0051261),0.02627898816211653,41.05761316872428,149.40806261137496,DSTN,0.08856198844341326,0,0,GO_Biological_Process_2023
42,Regulation Of Protein Transport (GO:0051223),0.02627898816211653,41.05761316872428,149.40806261137496,NDEL1,0.08856198844341326,0,0,GO_Biological_Process_2023
