paralog_gene,mean_delta_z,n_cell_lines
DDX17,2.5635868287203665,6
EIF1AY,2.0705105364322662,3
EIF1B,1.5129435090547492,6
HNRNPUL2,1.3072957405849654,5
RAB31,1.1920052214636037,5
DDX3Y,1.054876919835806,3
DDX39A,1.039476884238976,4
ARF4,0.8678936994818645,4
SRSF8,0.7715284272324024,6
DSTN,0.660303648533009,3
KLF3,0.620942015279073,4
NRAS,0.39988359917258953,4
CHD3,0.37241055658711497,4
MAGOHB,0.2859445447557731,3
DNAH9,0.2840021848678589,1
HNRNPF,0.2556716092122459,6
PPP2CB,0.17821426980239732,3
BTRC,0.1046629048709043,1
NDEL1,0.0493457351500789,3
CDK11A,-0.02140843590065595,4
DHFR,-0.0400076415345001,1
RAB8A,-0.1404353039526598,7
PPP2R1B,-0.18021498434090924,6
SMARCA2,-0.18574919797164688,5
NAPA,-0.2020416550048604,6
POM121L2,-0.21572612815846995,3
PPP5C,-0.35381764331374926,3
SOS2,-0.36479828800726094,4
PC,-0.5623654251297315,3
FOSB,-0.7383098974823952,3
TUBB6,-0.8651991234186387,4
TUBB,-0.8881197532521373,4
RAB3B,-0.8884588445071131,4
IREB2,-0.9260111241098963,4
