rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
1,Sensory Perception Of Mechanical Stimulus (GO:0050954),0.001198880991621488,15.750792811839323,105.94560770467697,"CEACAM16, ESPNL, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
2,Sensory Perception Of Sound (GO:0007605),0.0013192220693276286,15.217568947906027,100.90333312677757,"CEACAM16, ESPNL, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
3,Apoptotic Process (GO:0006915),0.0019983793672538257,8.19310631229236,50.92358653909986,"BCLAF1, MDM2, IAPP, GZMH",0.18563714021535996,0,0,GO_Biological_Process_2023
4,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),0.005924913318962612,18.823640661938533,96.53872061345717,"IL1RAPL1, SELE",0.18563714021535996,0,0,GO_Biological_Process_2023
5,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),0.006606883528849831,5.799335548172757,29.110595333208007,"CANX, MDM2, PSMD1, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
6,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.010693775348851424,5.020180665000961,22.78204899310752,"MDM2, UBAP1, PSMD1, TBL1X",0.18563714021535996,0,0,GO_Biological_Process_2023
7,Regulation Of Retinal Ganglion Cell Axon Guidance (GO:0090259),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
8,Negative Regulation Of Lamellipodium Organization (GO:1902744),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
9,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
10,Response To Heparin (GO:0071503),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
11,Amylin Receptor Signaling Pathway (GO:0097647),0.011695956218302144,108.41847826086956,482.3009144981259,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
12,Retinal Ganglion Cell Axon Guidance (GO:0031290),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
13,Regulation Of Natural Killer Cell Mediated Immunity (GO:0002715),0.011695956218302144,108.41847826086956,482.3009144981259,PIK3R6,0.18563714021535996,0,0,GO_Biological_Process_2023
14,Negative Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070100),0.011695956218302144,108.41847826086956,482.3009144981259,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
15,Regulation Of Post-Transcriptional Gene Silencing By RNA (GO:1900368),0.011695956218302144,108.41847826086956,482.3009144981259,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
16,Negative Regulation Of Supramolecular Fiber Organization (GO:1902904),0.012116707565341002,12.807729468599033,56.5226873087026,"IAPP, SLIT2",0.18563714021535996,0,0,GO_Biological_Process_2023
