paralog_gene,dep_gene,cell_line,delta_z,source
RPL22L1,RPL22,K562,4.014138113725612,nonsig
HYOU1,HSPA5,K562,2.097666979513159,nonsig
HNRNPUL2,HNRNPU,K562_essential,2.944456190033175,sig
SUMO3,SUMO2,K562_essential,2.03450525601591,nonsig
PSMA7,PSMA4,K562_essential,2.0591492770632747,nonsig
PSMA7,PSMA5,K562_essential,3.0804691432436946,nonsig
PSMA7,PSMA6,K562_essential,2.098716747613812,nonsig
HSPA13,HSPA5,K562_essential,3.1612556001733254,nonsig
HSPA13,HSPA9,K562_essential,3.1055870077203225,nonsig
SRSF6,SRSF7,K562_essential,2.480309195654176,nonsig
PSPC1,SFPQ,K562_essential,3.410425360767393,nonsig
SRSF5,SRSF7,K562_essential,2.1886863759419786,nonsig
PSMC4,PSMC1,K562_essential,4.189078654784179,nonsig
PSMC1,PSMC4,K562_essential,3.668862816896888,nonsig
PSMC2,PSMC1,K562_essential,2.2261409422087937,nonsig
PSMC1,PSMC2,K562_essential,3.8912513228325567,nonsig
PSMC3,PSMC1,K562_essential,2.990198504453132,nonsig
PSMC1,PSMC3,K562_essential,3.0930547686485967,nonsig
PSMC1,PSMC6,K562_essential,2.477614876833411,nonsig
PSMC5,PSMC1,K562_essential,2.3698310442439734,nonsig
PSMC1,PSMC5,K562_essential,3.430920359697791,nonsig
PSMB7,PSMB5,K562_essential,3.213403215907394,nonsig
YME1L1,AFG3L2,K562_essential,2.339526160238132,nonsig
PSMA4,PSMA3,K562_essential,2.2842903927635025,nonsig
MRPS9,RPS16,K562_essential,2.9505658282069573,nonsig
DDX50,DDX47,K562_essential,3.3896757493931973,nonsig
DDX50,DDX18,K562_essential,4.195506943317147,nonsig
EXOSC6,EXOSC5,K562_essential,3.53038098597301,nonsig
DDX19A,EIF4A3,K562_essential,3.2638548449356826,nonsig
TSPYL1,SET,K562_essential,2.6685022129634515,nonsig
HSPA5,HSPA9,K562_essential,2.987752902714553,nonsig
HYOU1,HSPA5,K562_essential,9.021996214804282,nonsig
HSPA5,HYOU1,K562_essential,2.7544712903183126,nonsig
HNRNPH3,HNRNPH1,K562_essential,5.1868233801583425,nonsig
SRSF9,SRSF1,K562_essential,2.885498373111317,nonsig
CCT4,TCP1,K562_essential,2.2426073140349376,nonsig
PSMA5,PSMA2,K562_essential,2.949562084728664,nonsig
PSMC5,PSMC2,K562_essential,2.3646618910304724,nonsig
PSMC2,PSMC5,K562_essential,2.876615013711479,nonsig
PSMC6,PSMC2,K562_essential,2.5956245174956156,nonsig
PSMC3,PSMC2,K562_essential,2.282753598218391,nonsig
PSMC4,PSMC2,K562_essential,3.5681162734212646,nonsig
PSMC3,PSMC4,K562_essential,3.1595505590490793,nonsig
PSMC4,PSMC3,K562_essential,3.460132207411743,nonsig
PSMC6,PSMC4,K562_essential,2.8772452583861186,nonsig
PSMC4,PSMC6,K562_essential,3.1665395159902343,nonsig
PSMC5,PSMC4,K562_essential,2.745583254861039,nonsig
PSMD1,PSMD2,K562_essential,4.856484319783753,nonsig
PSMD2,PSMD1,K562_essential,2.9008255255122353,nonsig
PSMB4,PSMB6,K562_essential,2.6041689775291395,nonsig
PSMB7,PSMB6,K562_essential,3.390345623992264,nonsig
HSPA1A,HSPA8,K562_essential,3.781446882538148,nonsig
TERF1,TERF2,K562_essential,2.313335238857656,nonsig
NOP56,NOP58,K562_essential,2.916831645285796,nonsig
RNF34,RFFL,K562_essential,2.458470221036413,nonsig
PPID,PPIE,K562_essential,2.1873148587984117,nonsig
PTBP2,PTBP1,K562_essential,5.688167607834682,nonsig
TNPO3,IPO13,K562_essential,2.057893936278794,nonsig
TRA2A,TRA2B,K562_essential,3.577242401364439,nonsig
CHD3,CHD4,K562_essential,2.3260203735356075,nonsig
PSMA4,PSMA6,K562_essential,2.90636928833235,nonsig
PSMB4,PSMB7,K562_essential,2.2865112982097577,nonsig
PSMB3,PSMB7,K562_essential,2.5679129207498232,nonsig
PSMB7,PSMB3,K562_essential,3.1232235341294405,nonsig
CNOT3,CNOT2,K562_essential,2.083369058338977,nonsig
CUL5,CUL2,K562_essential,2.120468738065913,nonsig
PSMA1,PSMA4,K562_essential,2.3221318816441463,nonsig
PSMA4,PSMA5,K562_essential,2.810823281175978,nonsig
PSMC3,PSMC5,K562_essential,4.107555758481452,nonsig
HMG20B,SMARCE1,K562_essential,2.585709313836393,nonsig
UBB,UBC,K562_essential,3.69885484247101,nonsig
DDX11,ERCC2,K562_essential,2.1219694706688235,nonsig
PAFAH1B1,WDR5,K562_essential,2.0694672692216796,nonsig
PSMC5,PSMC6,K562_essential,2.1267051287166296,nonsig
PSMC6,PSMC5,K562_essential,2.0558813324522807,nonsig
UBC,RPS27A,K562_essential,2.4856347762103783,nonsig
HSPA1B,HSPA8,K562_essential,2.619644745450612,nonsig
POLE4,NFYC,K562_essential,2.8863858091965353,nonsig
PSMC4,PSMC1,rpe1,2.627811633530431,nonsig
CHMP1B,CHMP2A,rpe1,2.7801430991882135,nonsig
HYOU1,HSPA5,rpe1,8.044167840050964,nonsig
HSPA5,HYOU1,rpe1,5.202050407149139,nonsig
EEF1A1,EIF2S3,rpe1,2.8972189633995113,nonsig
PSMC4,PSMC2,rpe1,2.5681674112709096,nonsig
PSMC4,PSMC6,rpe1,2.0022070040138296,nonsig
PSMC4,PSMC5,rpe1,2.5903627504737905,nonsig
PTBP2,PTBP1,rpe1,2.3251725184493877,nonsig
PSMC5,PSMC6,rpe1,2.0458467881254574,nonsig
SOX1,SOX2,melanoma,4.129007086157799,nonsig
KLHL33,KEAP1,melanoma,2.76663476228714,nonsig
ACTN3,ACTN4,melanoma,3.0928959995508194,nonsig
HOXA1,HOXA4,melanoma,2.0649523437023163,nonsig
UBE2I,UBE2F,melanoma,2.135802924633026,nonsig
CYP2W1,CYP2R1,melanoma,2.3356893062591553,nonsig
RAB31,RAB10,cd4t_rest,2.091365098953247,sig
DDX17,DDX5,cd4t_rest,3.464237794280052,sig
EIF1B,EIF1,cd4t_rest,4.2600358463823795,sig
TMSB4X,TMSB4Y,cd4t_rest,2.086704321205616,nonsig
NLGN4Y,CES2,cd4t_rest,2.6583404056727886,nonsig
NLGN4Y,NLGN3,cd4t_rest,3.4123215191066265,nonsig
SS18L2,SS18,cd4t_rest,2.5510578006505966,nonsig
SLC7A1,SLC7A11,cd4t_rest,3.1970674991607666,nonsig
SLC15A1,SLC15A2,cd4t_rest,2.2156134508550167,nonsig
DIS3L,DIS3,cd4t_rest,3.063265100121498,nonsig
MAPK4,MAPK6,cd4t_rest,5.325134160579182,nonsig
MAPK4,MAPK13,cd4t_rest,6.939159276545979,nonsig
SMAD2,SMAD3,cd4t_rest,2.0291983485221863,nonsig
PTPN2,PTPN6,cd4t_rest,2.1248503010720015,nonsig
CSNK1A1L,CSNK1G1,cd4t_rest,14.866006512194872,nonsig
RTN4IP1,CRYZL1,cd4t_rest,2.0701291412115097,nonsig
VAT1L,CRYZL1,cd4t_rest,11.851157523691654,nonsig
SLC39A8,SLC39A6,cd4t_rest,2.713601753115654,nonsig
XRN1,XRN2,cd4t_rest,3.960523560643196,nonsig
SNRPA,SNRPB2,cd4t_rest,2.373442478477955,nonsig
SUMO3,SUMO2,cd4t_rest,4.712293907999992,nonsig
NPAS1,SIM2,cd4t_rest,2.524614818394184,nonsig
SLC23A3,SLC23A2,cd4t_rest,2.164676032960415,nonsig
DHX30,DHX35,cd4t_rest,4.2853884026408195,nonsig
DHX37,DHX35,cd4t_rest,3.0276182740926743,nonsig
DHX57,DHX35,cd4t_rest,2.1818854734301567,nonsig
DHX32,DHX35,cd4t_rest,2.341883464716375,nonsig
DHX36,DHX35,cd4t_rest,3.530152972787618,nonsig
DYRK1B,DYRK1A,cd4t_rest,2.607194259762764,nonsig
HNRNPC,RALY,cd4t_rest,2.4033473134040833,nonsig
ATP8A2,ATP11B,cd4t_rest,4.353137351572514,nonsig
ATP8A2,ATP8B2,cd4t_rest,2.3915141597390175,nonsig
ATP8A2,ATP9B,cd4t_rest,2.0488530173897743,nonsig
ZIC2,ZIC5,cd4t_rest,3.4715997837483883,nonsig
STYX,DUSP28,cd4t_rest,6.817244231700897,nonsig
NBEA,LRBA,cd4t_rest,3.471078958362341,nonsig
PPP6R1,PPP6R2,cd4t_rest,2.3679745569825172,nonsig
SIX2,SIX6,cd4t_rest,4.373042738065124,nonsig
SYTL5,SYTL1,cd4t_rest,7.440889749675989,nonsig
HPN,TMPRSS3,cd4t_rest,2.169926282018423,nonsig
SRSF4,SRSF6,cd4t_rest,2.3002661168575287,nonsig
TFDP2,TFDP1,cd4t_rest,2.319563732482493,nonsig
ATP8B3,ATP8B1,cd4t_rest,2.4045504480600357,nonsig
PSPC1,NONO,cd4t_rest,5.281409829854965,nonsig
TMPRSS5,TMPRSS6,cd4t_rest,2.5782383903861046,nonsig
MTMR8,MTMR2,cd4t_rest,2.5698501132428646,nonsig
MTMR3,MTMR2,cd4t_rest,3.1021459102630615,nonsig
DSC3,DSC2,cd4t_rest,6.8256778083741665,nonsig
DOCK6,DOCK9,cd4t_rest,3.0732116103172302,nonsig
HSPH1,HSPA8,cd4t_rest,3.9141359627246857,nonsig
SLC16A2,SLC16A7,cd4t_rest,2.4884192087920383,nonsig
SLC16A2,SLC16A5,cd4t_rest,2.884977970388718,nonsig
MX2,DNM3,cd4t_rest,2.1676495745778084,nonsig
KLF8,KLF3,cd4t_rest,2.659897744655609,nonsig
KLF17,KLF8,cd4t_rest,11.634582336060705,nonsig
DMRT1,DMRTA1,cd4t_rest,3.502983905375004,nonsig
MBNL1,MBNL2,cd4t_rest,2.219589166343212,nonsig
KIF19,KIF5B,cd4t_rest,2.069035589694977,nonsig
PSMC1,PSMC5,cd4t_rest,4.073183357715607,nonsig
CCAR2,CCAR1,cd4t_rest,4.291078843176365,nonsig
APOBEC3D,APOBEC3G,cd4t_rest,2.2299620285630226,nonsig
COL1A1,COL6A1,cd4t_rest,3.195008233189583,nonsig
COL6A1,COL1A1,cd4t_rest,5.512030214071274,nonsig
MEOX1,MEOX2,cd4t_rest,2.238638311624527,nonsig
CTSV,CTSZ,cd4t_rest,2.023061603307724,nonsig
MCF2L,MCF2L2,cd4t_rest,2.1057883985340595,nonsig
ABCA7,ABCA3,cd4t_rest,2.331643559038639,nonsig
NSMCE3,MAGEE1,cd4t_rest,2.671549491584301,nonsig
GNAO1,GNAQ,cd4t_rest,2.07179506868124,nonsig
PDGFRA,FLT1,cd4t_rest,3.3849716410040855,nonsig
FRMD5,EPB41L3,cd4t_rest,2.342322487384081,nonsig
SLIT2,SLIT3,cd4t_rest,6.816588983871043,nonsig
DESI2,DESI1,cd4t_rest,2.2985004782676697,nonsig
MAFB,MAF,cd4t_rest,4.924009263515472,nonsig
SEMA5B,SEMA5A,cd4t_rest,3.043592542409897,nonsig
RGS11,RGS9,cd4t_rest,7.627885149791837,nonsig
CDC34,UBE2C,cd4t_rest,2.2903369071427733,nonsig
UBE2A,UBE2C,cd4t_rest,2.017268016934395,nonsig
TMEM145,GPR180,cd4t_rest,2.5300317145884037,nonsig
SOX10,SOX21,cd4t_rest,10.355306543409824,nonsig
TWIST1,TCF24,cd4t_rest,4.6993593499064445,nonsig
CD207,CLEC4E,cd4t_rest,3.5984954279847443,nonsig
SP1,SP4,cd4t_rest,4.197161879390478,nonsig
SP4,SP1,cd4t_rest,4.173508547246456,nonsig
HS3ST2,NDST1,cd4t_rest,3.293043438345194,nonsig
TNRC6C,TNRC6A,cd4t_rest,2.272978574037552,nonsig
UCHL3,UCHL5,cd4t_rest,3.400175519287586,nonsig
RHOBTB1,RHOU,cd4t_rest,2.4101742580533028,nonsig
RHOBTB1,RHOG,cd4t_rest,2.7357209995388985,nonsig
APOBEC1,APOBEC3A,cd4t_rest,6.017887924332172,nonsig
KLRD1,CLEC7A,cd4t_rest,3.673835009336472,nonsig
CLEC7A,KLRF1,cd4t_rest,7.105074064806104,nonsig
KLRG1,CLEC7A,cd4t_rest,4.533416271209717,nonsig
SMAD7,SMAD4,cd4t_rest,4.43538961187005,nonsig
SMAD7,SMAD3,cd4t_rest,2.506874892860651,nonsig
EMB,NPTN,cd4t_rest,2.5861410722136497,nonsig
STOML2,STOM,cd4t_rest,2.17474964261055,nonsig
HNF4G,RXRA,cd4t_rest,2.599902592599392,nonsig
RUNX1,RUNX3,cd4t_rest,2.4742661137133837,nonsig
TMED9,TMED10,cd4t_rest,2.354080729186535,nonsig
MORF4L2,MSL3,cd4t_rest,2.269731156527996,nonsig
TGFB2,BMP6,cd4t_rest,4.3272039368748665,nonsig
FOXE1,FOXQ1,cd4t_rest,2.222816828638315,nonsig
IAPP,CALCB,cd4t_rest,12.920201562345028,nonsig
PPA2,PPA1,cd4t_rest,2.4177970439195633,nonsig
CAMK4,MKNK1,cd4t_rest,2.4830114990472794,nonsig
ID4,ID1,cd4t_rest,4.5532354498282075,nonsig
OSGEPL1,OSGEP,cd4t_rest,2.800141453742981,nonsig
GMEB1,GMEB2,cd4t_rest,3.862811522558331,nonsig
GMEB2,GMEB1,cd4t_rest,5.383935183286667,nonsig
GSTT2B,GSTZ1,cd4t_rest,2.5507389158010483,nonsig
ARHGEF40,PLEKHG4,cd4t_rest,9.230226058978587,nonsig
