paralog_gene,mean_dz,max_dz,n_pairs
IARS1,7.295486845076084,7.295486845076084,1
SERPINB10,6.916316823568195,21.0380327552557,3
TNPO2,6.040001154589024,11.81206652149558,4
CYP4X1,5.529612134210765,16.782792574726045,3
GABPB2,4.682734318767325,7.815063580870628,4
AADACL4,4.511915483434374,13.788177371956408,3
IAPP,4.285044005451103,12.920201562345028,3
TBL1X,4.244738905069548,6.399390663602389,4
RPL22L1,4.014138113725612,4.014138113725612,1
GMEB2,3.93562325381558,5.383935183286667,4
GMEB1,3.821418777487802,6.943546809256077,3
AARS1,3.650349583476782,3.650349583476782,1
CSMD1,3.3352779361108937,10.119725115597248,3
BCLAF1,3.2866533386489123,5.924880526959896,5
PUM2,3.2190453854079792,5.956020824611187,5
PTBP2,3.1929419525130047,17.197247724980116,17
PCDH20,3.1353370547294617,3.1353370547294617,1
CEACAM16,3.100835302844643,18.833922568708655,6
PSPC1,2.9196712725628458,6.529261693358421,7
SUN3,2.8876389133252407,26.921225681900975,9
SNRPA,2.8693104958671833,5.710946217179298,4
SELE,2.850027250746886,8.664966082200408,3
ZC3H6,2.8344486506080897,4.392412189394236,5
KCNU1,2.70000406797044,8.259078185074031,3
ARHGEF40,2.6989154984864094,9.230226058978587,3
IL1RAPL1,2.6508729747806985,40.00419796910137,15
PABPC4L,2.4699684980192353,17.436389412730932,7
UBAP1,2.399861603975296,2.4997950606048107,2
CANX,2.3715350055268645,3.6355933845043182,5
PSMD1,2.3421375786796212,4.856484319783753,3
HECTD4,2.3251672629266977,3.0618995279073715,2
GZMH,2.3006975824634233,3.2809727266430855,3
MDM2,2.287409734015489,3.748874932527542,4
IGLL1,2.274261390499305,4.732755023054779,2
SATB2,2.247390540112436,7.202117037028074,4
SLIT2,2.2187685292835035,6.816588983871043,3
BICRAL,2.2035980901370444,2.75736828148365,3
ESPNL,2.179289909254294,5.08650179207325,3
RFPL4AL1,2.1675168851700923,6.665054488927126,3
PIK3R6,2.1455790301163993,3.348741888999939,3
ZHX2,2.142958783855041,4.865291029214859,6
DPEP3,2.1415845279892287,3.565845489501953,3
STAC2,2.1252629397592195,6.8626511469483376,3
CHRNB3,2.1205012110372383,34.168170142918825,15
SP4,2.0738436930502453,4.173508547246456,9
EIF1AY,2.0705105364322662,2.2106824070215225,3
COX6B2,2.063071249052882,4.043770052492619,3
NRXN2,1.9969978630542755,1.9969978630542755,1
SLC30A2,1.9919917959099014,12.409351544454694,6
RNF20,1.9768065703826045,8.006310073658824,5
G3BP2,1.9585300150437706,3.106774263083935,4
NAB1,1.951962317108032,4.731131620705128,4
ZC3HAV1L,1.9517680803934734,5.274847395718098,6
CD3E,1.9355135262012482,4.835043728351593,3
UBB,1.9304140573490567,7.522582240402699,15
ASXL3,1.9047378844891985,6.9648991376161575,6
UBAP2,1.8770795549942643,4.483385786414146,4
PSMC1,1.8105104822366593,5.732842266559601,18
IGHG3,1.7824235521256924,2.011149026453495,2
MLLT10,1.7634841835366573,4.391580959782004,5
CELF2,1.753827437568947,4.457763396203518,5
SFPQ,1.7490435719697262,4.34698361158371,8
SAFB2,1.7478474683826446,5.97188463807106,8
LMOD2,1.7396462620753381,16.046228267252445,9
RC3H2,1.7327073707283598,3.169773429632187,4
DDX17,1.7201086562822954,7.535405144095421,10
DNAH2,1.7160712853074074,1.7160712853074074,1
CEACAM3,1.7128202207386494,15.974329233169556,9
SNRPN,1.71044425891775,3.729941800236702,4
SKIL,1.700652382745207,3.0625956505537033,4
RNF149,1.7002493523293234,2.5675626546144485,4
PUM1,1.690812873044888,2.5435085892677307,4
CMTM6,1.6678900175540992,3.9951314898207784,5
FAXDC2,1.6527039955059688,5.804470881819725,3
FUS,1.6461948343560566,5.35819786041975,11
CMA1,1.61969220948716,4.979999657720327,6
MRGPRF,1.611554365294675,5.045367736369371,3
SUMO3,1.6072307637403629,4.712293907999992,6
ZNF148,1.585305751631546,3.470781311392784,4
PDIA5,1.5844691221912701,2.9194296151399612,3
VAT1L,1.5798963442600022,13.684275323525071,15
PSMC4,1.5748251436276406,4.189078654784179,19
SETD5,1.5681455455404014,3.147823389619589,4
HLX,1.559473693370819,1.7064489722251892,3
CNTNAP2,1.554966624554557,4.767618392594159,3
TNFRSF10A,1.5433347276008884,2.5252351351082325,7
TRA2A,1.5353282202576954,3.577242401364439,3
TRNAU1AP,1.5329800409064276,4.414628684520721,8
SLAMF8,1.5304215252399445,2.069829687476158,3
TIA1,1.5222963704280195,3.69511135481298,7
NBEA,1.5129805443187554,3.471078958362341,3
EIF1B,1.5129435090547492,4.2600358463823795,6
SH3PXD2A,1.5125697640081246,1.74541175365448,3
CDKL2,1.5121974001328151,1.6587378308176994,3
LETM2,1.5089010354382202,2.3186255283653736,4
XKR9,1.5020245412985485,1.785787656903267,3
ZMAT1,1.491486699533804,2.1652029302786104,3
PRKAG1,1.4727354869246483,3.522948108613491,4
SLC49A3,1.468594449882706,3.0381372421979904,6
EMB,1.448889637986819,2.5861410722136497,3
PSMC5,1.4408140058719785,2.745583254861039,16
MAP3K15,1.4385318545003731,6.3147485591471195,6
CRY2,1.4331577206030488,2.8395071690902114,3
MPP3,1.4263250267443557,17.785209589637816,12
HNRNPA3,1.4040548241365054,10.54960173368454,39
PDIA3,1.3998085950161407,5.4599605137482285,16
SHC4,1.3957563489675522,2.7401462346315384,3
ID4,1.3914897794731789,8.77756803482771,9
USP51,1.3905652323888884,2.9271028265357018,6
DARS1,1.3799150064587593,3.2135786563158035,6
APH1B,1.379751932186385,2.4414185332134366,3
TNS3,1.3751066103577614,1.81284611672163,3
AZIN1,1.3732689192386256,5.090611696243286,7
OTULINL,1.3718523867428303,1.87441373616457,3
