dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
ARSB,ARSH,23.76095,25.734862233512104,Non-significant background,1,0.003597251699701428
CXCL10,CXCL1,24.43735,22.39364792779088,Non-significant background,2,0.007194503399402856
ALDH8A1,ALDH1A1,37.4569,18.708861756138504,Non-significant background,3,0.010791755099104284
PTBP1,PTBP2,72.28395,17.197247724980116,Non-significant background,4,0.014389006798805712
TMOD3,LMOD2,31.9831,16.046228267252445,Non-significant background,5,0.01798625849850714
PTF1A,FERD3L,23.5895,15.508739510551097,Non-significant background,6,0.021583510198208568
TBX15,TBXT,24.12375,14.694822838529944,Non-significant background,7,0.025180761897909996
BMP6,GDF6,23.84595,14.007160109002143,Non-significant background,8,0.028778013597611424
ZNF253,ZNF479,60.0554,12.656892893835902,Non-significant background,9,0.032375265297312855
TNPO1,TNPO2,84.5683,11.81206652149558,Non-significant background,10,0.03597251699701428
HNRNPA1,HNRNPA3,68.5377,10.54960173368454,Non-significant background,11,0.039569768696715704
TCF24,HAND2,20.66285,10.459241267293692,Non-significant background,12,0.043167020396417136
CSMD2,CSMD1,64.745,10.119725115597248,Non-significant background,13,0.04676427209611857
ZNF184,CTCFL,21.72485,9.539123613387346,Non-significant background,14,0.05036152379581999
ABCA3,ABCA12,25.1803,8.794909284450114,Non-significant background,15,0.05395877549552142
PAX5,PAX6,35.89835,8.498114347457886,Non-significant background,16,0.05755602719522285
ADORA2B,ADORA1,44.98855,8.436304487287998,Non-significant background,17,0.06115327889492428
KCNMA1,KCNU1,40.2212,8.259078185074031,Non-significant background,18,0.06475053059462571
RNF40,RNF20,58.3097,8.006310073658824,Non-significant background,19,0.06834778229432713
ATP2B1,ATP4A,25.26985,7.995227925479412,Non-significant background,20,0.07194503399402856
GAD1,GAD2,64.1259,7.920047677063849,Non-significant background,21,0.07554228569372999
GABPB1,GABPB2,65.382,7.815063580870628,Non-significant background,22,0.07913953739343141
ZAP70,PTK2B,20.46175,7.508248835802078,Non-significant background,23,0.08273678909313284
HIGD1A,HIGD1C,57.9204,7.498515101149678,Non-significant background,24,0.08633404079283427
HNRNPU,HNRNPUL1,40.82295,7.476175758987665,Non-significant background,25,0.0899312924925357
PAX4,PAX1,29.46755,7.3967216201126575,Non-significant background,26,0.09352854419223713
LMO4,CRIP2,20.10635,7.325590491294861,Non-significant background,27,0.09712579589193857
CHD4,CHD5,70.52045,7.2700640596449375,Non-significant background,28,0.10072304759163998
UBC,UBB,66.424,7.232733562588692,Non-significant background,29,0.1043202992913414
HOXB4,HOXD8,26.38485,7.1893593611894175,Non-significant background,30,0.10791755099104285
ABCC2,ABCC12,29.11395,7.167043345049024,Non-significant background,31,0.11151480269074426
LMO4,LHX6,26.26545,7.109626688063145,Non-significant background,32,0.1151120543904457
ASXL2,ASXL3,25.1175,6.9648991376161575,Non-significant background,33,0.11870930609014713
PSMC1,PSMC6,40.68475,6.129113391041756,Non-significant background,34,0.12230655778984856
PNMA3,PNMA6F,28.591,6.092195726931095,Non-significant background,35,0.12590380948954996
S100A6,S100A12,35.1691,6.088336423039436,Non-significant background,36,0.12950106118925142
SPSB3,SPSB4,20.7357,6.0827231392031536,Non-significant background,37,0.13309831288895285
TBX5,TBX3,26.509,6.0486546959728,Non-significant background,38,0.13669556458865426
TBL1XR1,TBL1X,83.13695,6.04723496735096,Non-significant background,39,0.14029281628835572
THRAP3,BCLAF1,38.7335,5.924880526959896,Non-significant background,40,0.14389006798805712
STAT3,STAT1,50.92985,5.892735954374075,Non-significant background,41,0.14748731968775855
