dep_gene,paralog_gene,mean_identical_score,delta_z,group,empirical_pval,empirical_fdr,rank,rank_pct,n_perturbations
SOX2,SOX1,55.69315,4.129007086157799,Non-significant background,0.013986013986013986,0.8571428571428571,1,0.3496503496503496,143.0
ACTN4,ACTN3,73.07065,3.0928959995508194,Non-significant background,0.03496503496503497,0.9090909090909091,2,0.6993006993006993,143.0
KEAP1,KLHL33,21.42955,2.76663476228714,Non-significant background,0.02097902097902098,0.8571428571428571,3,1.048951048951049,143.0
CYP2R1,CYP2W1,36.7351,2.3356893062591553,Non-significant background,0.027972027972027972,0.8888888888888888,4,1.3986013986013983,143.0
UBE2F,UBE2I,24.6425,2.135802924633026,Non-significant background,0.02097902097902098,0.8571428571428571,5,1.7482517482517483,143.0
HOXA4,HOXA1,20.46875,2.0649523437023163,Non-significant background,0.006993006993006993,0.8571428571428571,6,2.097902097902098,143.0
UBE2F,UBE2H,22.2833,1.7515216022729874,Non-significant background,0.027972027972027972,0.8888888888888888,7,2.4475524475524475,143.0
CUL3,CUL4A,39.949,1.6341111958026886,Non-significant background,0.09090909090909091,0.9685534591194969,8,2.797202797202797,143.0
CDKN2C,CDKN2D,43.71415,1.426313042640686,Non-significant background,0.013986013986013986,0.8571428571428571,9,3.146853146853147,143.0
UBE2F,UBE2C,25.8312,1.3537406027317047,Non-significant background,0.013986013986013986,0.8571428571428571,10,3.4965034965034967,143.0
MRPS12,RPS23,28.47875,1.3515911549329758,Non-significant background,0.08391608391608392,0.9685534591194969,11,3.8461538461538463,143.0
CUL5,CUL4A,27.5555,1.2774979174137115,Non-significant background,0.23076923076923078,0.9685534591194969,12,4.195804195804196,143.0
CSK,JAK3,20.53855,1.257134988903999,Non-significant background,0.055944055944055944,0.9685534591194969,13,4.545454545454546,143.0
RXRA,HNF4G,32.28105,1.2125594317913055,Non-significant background,0.03496503496503497,0.9090909090909091,14,4.895104895104895,143.0
UBE2F,UBE2S,20.31535,1.2079250986098486,Non-significant background,0.02097902097902098,0.8571428571428571,15,5.244755244755245,143.0
UBE2R2,UBE2W,24.89565,1.2047130167484283,Non-significant background,0.04895104895104895,0.9685534591194969,16,5.594405594405594,143.0
TAF5L,TAF5,34.63655,1.198015183210373,Non-significant background,0.06993006993006994,0.9685534591194969,17,5.944055944055944,143.0
DUSP6,DUSP19,21.33725,1.1781857758760452,Non-significant background,0.04895104895104895,0.9685534591194969,18,6.293706293706294,143.0
SMARCA4,SMARCA2,76.5143,1.118493139743805,Aneuploidy vulnerability,0.17482517482517482,0.9685534591194969,19,6.643356643356643,143.0
SDSL,SDS,59.9697,1.1072644535452127,Non-significant background,0.17482517482517482,0.9685534591194969,20,6.993006993006993,143.0
ANAPC11,RNF7,33.2069,1.0588977616280315,Non-significant background,0.1048951048951049,0.9685534591194969,21,7.3426573426573425,143.0
AMOTL2,AMOTL1,39.34445,1.0262338519096377,Non-significant background,0.15384615384615385,0.9685534591194969,22,7.6923076923076925,143.0
TMEM132D,TMEM132E,39.67395,0.9755796641111374,Non-significant background,0.23076923076923078,0.9685534591194969,23,8.041958041958042,143.0
CUL5,CUL2,25.8497,0.9409261345863342,Non-significant background,0.34265734265734266,0.9685534591194969,24,8.391608391608392,143.0
RXRA,NR2F1,34.4171,0.8502796962857246,Non-significant background,0.1258741258741259,0.9685534591194969,25,8.741258741258742,143.0
CYP2R1,CYP2C9,36.3314,0.8070389628410339,Non-significant background,0.1048951048951049,0.9685534591194969,26,9.090909090909092,143.0
CYP2R1,CYP2F1,37.9071,0.7647432684898376,Non-significant background,0.11188811188811189,0.9685534591194969,27,9.44055944055944,143.0
TAOK1,STK10,20.5238,0.7567503899335861,Non-significant background,0.22377622377622378,0.9685534591194969,28,9.79020979020979,143.0
FBXO11,FBXO10,20.0791,0.7240006923675537,Non-significant background,0.27972027972027974,0.9685534591194969,29,10.13986013986014,143.0
DGKD,DGKE,25.87395,0.7232063934206963,Non-significant background,0.23776223776223776,0.9685534591194969,30,10.48951048951049,143.0
ARRDC3,ARRDC1,20.78965,0.6668339669704437,Non-significant background,0.38461538461538464,0.9685534591194969,31,10.839160839160838,143.0
UBE2R2,UBE2G1,39.83195,0.6664768289774656,Non-significant background,0.11188811188811189,0.9685534591194969,32,11.188811188811188,143.0
UBE2G1,UBE2R2,39.83195,0.6536083519458771,Non-significant background,0.32867132867132864,0.9685534591194969,33,11.538461538461538,143.0
NF2,MSN,45.2325,0.634917363524437,Non-significant background,0.24475524475524477,0.9685534591194969,34,11.888111888111888,143.0
MAP4K4,MAP4K2,22.33365,0.6283332798629999,Non-significant background,0.18181818181818182,0.9685534591194969,35,12.237762237762238,143.0
RXRA,NR2F6,34.7981,0.6110992133617401,Non-significant background,0.14685314685314685,0.9685534591194969,36,12.587412587412588,143.0
ARRDC3,TXNIP,40.53,0.6035044584423304,Non-significant background,0.17482517482517482,0.9685534591194969,37,12.937062937062937,143.0
RXRA,RXRG,71.56765,0.595709815621376,Non-significant background,0.4195804195804196,0.9685534591194969,38,13.286713286713288,143.0
SPRED2,SPRED3,36.7184,0.5150457322597504,Non-significant background,0.16783216783216784,0.9685534591194969,39,13.636363636363637,143.0
POLR3K,POLR2I,26.75185,0.5064284652471542,Non-significant background,0.18181818181818182,0.9685534591194969,40,13.986013986013988,143.0
SMARCE1,HMG20B,23.7476,0.5045233890414238,Non-significant background,0.3146853146853147,0.9685534591194969,41,14.335664335664337,143.0
KCTD5,KCTD2,69.85555,0.5029322057962418,Non-significant background,0.17482517482517482,0.9685534591194969,42,14.685314685314683,143.0
MICU2,MICU1,20.9237,0.4976562634110451,Non-significant background,0.3076923076923077,0.9685534591194969,43,15.034965034965031,143.0
CUL3,CUL4B,36.29105,0.4955438273027539,Non-significant background,0.1048951048951049,0.9685534591194969,44,15.384615384615383,143.0
CYP2R1,CYP2U1,38.34245,0.4834283292293548,Non-significant background,0.3916083916083916,0.9685534591194969,45,15.734265734265737,143.0
SOX2,SOX11,20.6042,0.4712217003107071,Non-significant background,0.3706293706293706,0.9685534591194969,46,16.083916083916083,143.0
MAP4K4,MAP4K3,24.6709,0.4654440879821777,Non-significant background,0.27972027972027974,0.9685534591194969,47,16.433566433566433,143.0
