dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.0002300052136779,,False,0.6396619081497192,,,,,
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906,,False,0.4419528543949127,,,,,
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,,False,0.1725599765777588,,,,,
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,,False,-0.134230300784111,,,,,
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,,False,0.2126771062612533,,,,,
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.0030331396673439,,False,0.362386405467987,,,,,
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.0010979696355211,,False,0.3086263835430145,,,,,
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.0001603224271787,,False,0.0722599402070045,,,,,
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.004487063724405,,False,0.2586993873119354,,,,,
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.0007136003456755,,False,-0.135538712143898,,,,,
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,,False,0.0534108504652977,,,,,
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807,,False,0.1074808239936828,,,,,
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.0068531489811383,,False,0.0372051522135734,,,,,
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.0011157315668222,,False,0.0466251373291015,,,,,
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,0.1630836427211761,,,,,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.0083293503260604,,False,0.2693507969379425,,,,,
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.004540498776208,,False,0.1447350978851318,,,,,
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.0012610161825704,,False,0.0551992766559124,,,,,
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.0062202716201176,,False,0.2635815143585205,,,,,
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,,False,-0.092844121158123,,,,,
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,,False,-0.092844121158123,,,,,
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.0004032182172353,,False,0.1607850641012191,,,,,
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.0004511966983095,,False,0.1986707150936126,,,,,
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.0063165169124381,,False,0.2491104155778885,,,,,
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.0009327599589605,,False,0.3080011308193207,,,,,
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.0004006975777489,,False,0.0249081216752529,,,,,
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.0004882820119225,,False,0.3120190501213074,,,,,
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.0001942441658818,,False,0.3514651954174042,,,,,
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.0019307460561074,,False,-0.109905794262886,,,,,
TYMS,DHFR,TYMS-DHFR,20.07485,chr5_q,chr18_p,0.0011192578196396,,False,0.1312723010778427,,,,,
POM121C,POM121L2,POM121C-POM121L2,39.4881,chr6_p,chr7_q,0.0041468345760043,,False,0.0683976337313652,,,,,
TUBB4B,TUBB,TUBB4B-TUBB,97.41295,chr6_p,chr9_q,4.30891259001776e-07,,False,0.0597145110368728,,,,,
PPP2CA,PPP2CB,PPP2CA-PPP2CB,97.411,chr8_p,chr5_q,3.40338384631437e-09,,False,0.2136260867118835,,,,,
SMARCA4,SMARCA2,SMARCA4-SMARCA2,76.5143,chr9_p,chr19_p,0.0058999561072007,1.118493139743805,True,-0.3486795425415039,,,143.0,0.17482517482517482,0.17482517482517482
DDX3X,DDX3Y,DDX3X-DDX3Y,92.2846,chrY,chrX_p,1.28749520310857e-15,,False,-0.2840799391269684,,,,,
EIF1AX,EIF1AY,EIF1AX-EIF1AY,99.3056,chrY,chrX_p,2.22650630820422e-13,,False,-0.2076819241046905,,,,,
RPS4X,RPS4Y1,RPS4X-RPS4Y1,92.7757,chrY,chrX_q,0.0003556216050391,,False,0.7257726788520813,,,,,
