dep_gene,paralog_gene,mean_identical_score,delta_z,direction
USP9X,USP9Y,91.6422,0.6434487286023796,g2_to_g1
HSFY2,HSFX4,21.16255,-0.3882884904742241,g1_to_g2
HSFY2,HSFX3,21.16255,0.5030490420758724,g1_to_g2
KDM5D,KDM5C,85.5154,0.33643054217100143,g1_to_g2
KDM5C,KDM5D,85.5154,0.17071334645152092,g2_to_g1
KDM5D,KDM5A,49.2871,0.6357432156801224,g1_to_g2
KDM5A,KDM5D,49.2871,-0.033436382189393044,g2_to_g1
KDM5D,KDM5B,44.7617,-0.792152501642704,g1_to_g2
KDM5B,KDM5D,44.7617,-0.0197080597281456,g2_to_g1
TGIF2LY,TGIF2LX,74.5273,0.0,g1_to_g2
TGIF2LX,TGIF2LY,74.5273,0.0,g2_to_g1
TGIF2LY,TGIF1,25.88335,-0.9049783051013947,g1_to_g2
TGIF1,TGIF2LY,25.88335,0.0,g2_to_g1
TGIF2LY,TGIF2,28.87445,0.14363336935639381,g1_to_g2
TGIF2,TGIF2LY,28.87445,0.0,g2_to_g1
SRY,SOX15,28.04115,-0.7813491374254227,g1_to_g2
SOX15,SRY,28.04115,-0.03338624257594347,g2_to_g1
SRY,SOX14,26.29905,0.0,g1_to_g2
SOX14,SRY,26.29905,-0.03338624257594347,g2_to_g1
SRY,SOX3,23.93275,-0.038603011751547456,g1_to_g2
SOX3,SRY,23.93275,-0.03338624257594347,g2_to_g1
SRY,SOX7,20.19405,1.1064344868063927,g1_to_g2
SOX7,SRY,20.19405,-0.03338624257594347,g2_to_g1
SRY,SOX2,25.3781,-0.28075192868709564,g1_to_g2
SOX2,SRY,25.3781,-0.03338624257594347,g2_to_g1
SRY,SOX18,20.26655,-0.6846895404160023,g1_to_g2
SOX18,SRY,20.26655,-0.03338624257594347,g2_to_g1
SRY,SOX17,21.22055,-0.09833020344376564,g1_to_g2
SOX17,SRY,21.22055,-0.03338624257594347,g2_to_g1
SRY,SOX21,26.428,-0.06264745071530342,g1_to_g2
SOX21,SRY,26.428,-0.03338624257594347,g2_to_g1
SRY,SOX1,25.3623,-0.15559428930282593,g1_to_g2
SOX1,SRY,25.3623,-0.03338624257594347,g2_to_g1
ZFY,ZNF711,58.33415,1.3430828303098679,g1_to_g2
ZNF711,ZFY,58.33415,-0.008889108896255493,g2_to_g1
ZFY,ZFX,92.65315,0.3312269598245621,g1_to_g2
ZFX,ZFY,92.65315,1.5103316083550453,g2_to_g1
UTY,KDM6B,27.975,0.48143921233713627,g1_to_g2
KDM6B,UTY,27.975,-1.3965706676244736,g2_to_g1
UTY,KDM6A,86.22795,-0.435527004301548,g1_to_g2
KDM6A,UTY,86.22795,-0.09455066919326782,g2_to_g1
TMSB4Y,TMSB4X,93.1818,2.086704321205616,g1_to_g2
TMSB4X,TMSB4Y,93.1818,-0.3837552573531866,g2_to_g1
TBL1X,TBL1Y,87.02415,-0.07286449894309044,g2_to_g1
TBL1XR1,TBL1Y,85.33325,-0.07286449894309044,g2_to_g1
CES2,NLGN4Y,27.46275,2.6583404056727886,g2_to_g1
CES3,NLGN4Y,26.0852,-0.41909851506352425,g2_to_g1
NLGN3,NLGN4Y,70.9062,3.4123215191066265,g2_to_g1
CES4A,NLGN4Y,27.9998,0.5575440637767315,g2_to_g1
NLGN2,NLGN4Y,61.87915,-0.41909851506352425,g2_to_g1
