dep_gene,paralog_gene,mean_identical_score,delta_z,direction
SOX2,SRY,25.3781,,g2_to_g1
SPRY2,SPRY3,40.2133,-0.9820805490016937,g1_to_g2
SPRY2,SPRY4,39.44045,-0.26983677595853806,g1_to_g2
SPRY2,SPRY1,51.4216,0.11569121479988098,g1_to_g2
SOX2,SOX1,55.69315,4.129007086157799,g2_to_g1
DGKD,DGKH,64.3389,-0.691617339849472,g2_to_g1
CST3,CST5,50.70425,0.0,g2_to_g1
CST3,CST7,29.55365,-0.8967626541852951,g2_to_g1
CST3,CST2,57.85725,-0.37177637964487076,g2_to_g1
CST3,CST9L,22.52585,0.0,g2_to_g1
LATS2,SGK2,21.1347,-0.9667617976665497,g1_to_g2
LATS2,LATS1,51.4161,0.37918926775455475,g1_to_g2
LATS2,DMPK,20.82425,0.010343745350837708,g1_to_g2
SDSL,CBS,21.11665,0.0,g2_to_g1
FRYL,FRY,61.5334,0.298534631729126,g2_to_g1
CST3,CST11,28.89615,0.0,g1_to_g2
CST3,CST6,33.9018,-0.24858926981687546,g1_to_g2
CST3,CSTL1,28.8663,0.0,g1_to_g2
CST3,CST8,29.8669,-0.9689487814903259,g1_to_g2
CST3,CST4,56.46315,0.0,g1_to_g2
CST3,CST1,56.46315,0.0,g1_to_g2
PTEN,TPTE,26.2073,-1.348727136850357,g2_to_g1
GATA4,GATA5,44.41895,0.0,g2_to_g1
GATA6,GATA5,38.00605,0.0,g2_to_g1
RB1,RBL1,25.27465,0.2953408844769001,g2_to_g1
SUPT20H,SUPT20HL2,51.53295,0.0,g1_to_g2
SUPT20H,SUPT20HL1,51.1152,0.0,g1_to_g2
MICU2,MICU3,35.83255,-1.4552229642868042,g1_to_g2
MICU2,MICU1,20.9237,0.4976562634110451,g1_to_g2
MORN2,RSPH1,20.7034,-0.8053388707339764,g2_to_g1
DCUN1D3,DCUN1D2,36.4674,0.33261638879776,g2_to_g1
PTEN,TPTE2,27.262,-1.2881198078393936,g2_to_g1
CCM2,CCM2L,40.03565,-0.46429043263196945,g2_to_g1
HPRT1,PRTFDC1,66.83385,0.15224513411521912,g2_to_g1
UBE2G1,UBE2G2,50.7576,0.07966190576553345,g2_to_g1
UBE2R2,UBE2G2,39.5098,0.29045020043849945,g2_to_g1
DGKD,DGKK,36.47795,-0.5082941884174943,g2_to_g1
ARHGAP12,ARHGAP27,32.8732,0.45033662021160126,g1_to_g2
ARHGAP12,ARHGAP9,31.23775,-1.4632455110549927,g1_to_g2
ARHGAP12,ARHGAP15,34.84535,-0.12866917252540588,g1_to_g2
PTPN14,PTPN21,53.9618,-0.24549505859613419,g2_to_g1
NRP1,NRP2,44.6729,-0.351399302482605,g1_to_g2
CUL3,CUL4A,39.949,1.6341111958026886,g2_to_g1
