dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.0002300052136779,,False,0.4321508407592773,,,,,
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906,,False,0.4679558277130127,,,,,
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,-1.3031174540519714,True,0.7389807105064392,,,184.0,0.7119565217391305,0.7119565217391305
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,,False,0.7554033398628235,,,,,
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,,False,0.6024492979049683,,,,,
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.0030331396673439,,False,0.0535189434885978,,,,,
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.0010979696355211,,False,-0.0882564932107925,,,,,
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.0001603224271787,,False,-0.0338047593832016,,,,,
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.004487063724405,,False,0.9552491903305054,,,,,
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.0007136003456755,,False,-0.5100247263908386,,,,,
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,,False,-0.0888141095638275,,,,,
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807,,False,-0.7474479079246521,,,,,
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.0068531489811383,,False,0.9507014751434326,,,,,
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.0011157315668222,0.2840021848678589,True,-0.5059900879859924,,,184.0,0.6304347826086957,0.7119565217391305
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,0.3546927869319916,,,,,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.0083293503260604,,False,-0.2319280952215194,,,,,
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.004540498776208,1.0079413503408432,True,-0.8669410943984985,,,184.0,0.44021739130434784,0.7119565217391305
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.0012610161825704,,False,-0.0422535724937915,,,,,
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.0062202716201176,,False,-0.0414875820279121,,,,,
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,0.7642834484577179,True,-1.022926926612854,,,184.0,0.625,0.7119565217391305
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,,False,-1.022926926612854,,,,,
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.0004032182172353,,False,-0.2692514061927795,,,,,
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.0004511966983095,,False,-0.9439708590507508,,,,,
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.0063165169124381,,False,0.6325113773345947,,,,,
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.0009327599589605,,False,-0.6612759828567505,,,,,
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.0004006975777489,,False,0.1700679212808609,,,,,
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.0004882820119225,,False,-0.1487004309892654,,,,,
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.0001942441658818,,False,-0.3940128982067108,,,,,
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.0019307460561074,,False,-0.0364674851298332,,,,,
TYMS,DHFR,TYMS-DHFR,20.07485,chr5_q,chr18_p,0.0011192578196396,,False,0.3114265501499176,,,,,
POM121C,POM121L2,POM121C-POM121L2,39.4881,chr6_p,chr7_q,0.0041468345760043,,False,,,,,,
TUBB4B,TUBB,TUBB4B-TUBB,97.41295,chr6_p,chr9_q,4.30891259001776e-07,,False,-0.3578073978424072,,,,,
PPP2CA,PPP2CB,PPP2CA-PPP2CB,97.411,chr8_p,chr5_q,3.40338384631437e-09,,False,0.6670717000961304,,,,,
SMARCA4,SMARCA2,SMARCA4-SMARCA2,76.5143,chr9_p,chr19_p,0.0058999561072007,,False,-0.8230339288711548,,,,,
DDX3X,DDX3Y,DDX3X-DDX3Y,92.2846,chrY,chrX_p,1.28749520310857e-15,,False,0.3695749044418335,,,,,
EIF1AX,EIF1AY,EIF1AX-EIF1AY,99.3056,chrY,chrX_p,2.22650630820422e-13,,False,0.2701683938503265,,,,,
RPS4X,RPS4Y1,RPS4X-RPS4Y1,92.7757,chrY,chrX_q,0.0003556216050391,,False,-0.0360936783254146,,,,,
