rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
1,RNA transport,0.0006872039619505809,20.28483606557377,147.73201515975563,"EIF1AY, MAGOHB, EIF1B",0.06665878430920634,0,0,KEGG_2021_Human
2,Long-term depression,0.0014644900548893547,40.411764705882355,263.73720596373187,"PPP2CB, NRAS",0.0710277676621337,0,0,KEGG_2021_Human
3,mRNA surveillance pathway,0.0038490389794238887,24.368872549019606,135.48926886898604,"PPP2CB, MAGOHB",0.09997673754360877,0,0,KEGG_2021_Human
4,Sphingolipid signaling pathway,0.005618663271592417,19.973856209150327,103.49776163356326,"PPP2CB, NRAS",0.09997673754360877,0,0,KEGG_2021_Human
5,Oocyte meiosis,0.00656980377717787,18.3918480778138,92.42402654619838,"PPP2CB, BTRC",0.09997673754360877,0,0,KEGG_2021_Human
6,Autophagy,0.007379921577924611,17.294989106753814,84.900967778125,"PPP2CB, NRAS",0.09997673754360877,0,0,KEGG_2021_Human
7,Spliceosome,0.008787902649451692,15.76550079491256,74.63985907553369,"MAGOHB, SRSF8",0.09997673754360877,0,0,KEGG_2021_Human
8,Cellular senescence,0.009475337757642954,15.146676852559205,70.56931990038515,"NRAS, BTRC",0.09997673754360877,0,0,KEGG_2021_Human
9,Hepatitis C,0.009592190604670318,15.048197343453511,69.9260535579013,"PPP2CB, NRAS",0.09997673754360877,0,0,KEGG_2021_Human
10,Hippo signaling pathway,0.010306880159134925,14.483010595542565,66.25895706916228,"PPP2CB, BTRC",0.09997673754360877,0,0,KEGG_2021_Human
11,Human immunodeficiency virus 1 infection,0.016984722995280012,11.076190476190476,45.14036063859922,"NRAS, BTRC",0.14977437550383282,0,0,KEGG_2021_Human
12,Endocytosis,0.023482657812670876,9.285176470588235,34.8332754215896,"ARF4, RAB31",0.18935429209811822,0,0,KEGG_2021_Human
13,Circadian rhythm,0.02905547000861942,36.946296296296296,130.736261970552,BTRC,0.18935429209811822,0,0,KEGG_2021_Human
14,Thyroid cancer,0.03458595035428571,30.77932098765432,103.55110778477112,NRAS,0.18935429209811822,0,0,KEGG_2021_Human
15,Bladder cancer,0.03825634405058935,27.695833333333333,90.3838530444344,NRAS,0.18935429209811822,0,0,KEGG_2021_Human
