dep_gene,paralog_gene,mean_identical_score,delta_z,direction
TGIF2LY,TGIF1,25.88335,0.10229678111034943,g1_to_g2
TGIF2LY,TGIF2,28.87445,-0.15757530343636242,g1_to_g2
SRY,SOX18,20.26655,-0.2110868134668682,g1_to_g2
SRY,SOX1,25.3623,0.18452201702719664,g1_to_g2
ZFY,ZNF711,58.33415,-0.017021415430582804,g1_to_g2
ZFY,ZFX,92.65315,0.051315908288233916,g1_to_g2
MIPEP,NLN,23.9953,-0.11139924981692034,g1_to_g2
NLN,MIPEP,23.9953,0.07213451829806078,g2_to_g1
MIPEP,THOP1,23.54475,-0.09739097521225444,g1_to_g2
THOP1,MIPEP,23.54475,-0.059024500427096005,g2_to_g1
KPNA3,KPNA1,45.9042,0.12740135729157054,g1_to_g2
KPNA1,KPNA3,45.9042,-0.03845301397449763,g2_to_g1
KPNA3,KPNA5,46.9947,0.12567365224969188,g1_to_g2
KPNA5,KPNA3,46.9947,0.045323951762845205,g2_to_g1
KPNA3,KPNA6,46.74545,-0.14497019871847971,g1_to_g2
KPNA6,KPNA3,46.74545,0.10929016641967504,g2_to_g1
KPNA3,KPNA4,85.7965,0.1317275877473836,g1_to_g2
KPNA4,KPNA3,85.7965,0.024962377396156477,g2_to_g1
KPNA3,KPNA2,50.0981,-0.08717305091155823,g1_to_g2
KPNA2,KPNA3,50.0981,-0.1609341961920956,g2_to_g1
CAB39L,CAB39,80.5338,-0.06932425781319308,g1_to_g2
FNDC3A,FNDC3B,50.95785,-0.014313941999287823,g1_to_g2
FNDC3B,FNDC3A,50.95785,-0.14216447221755765,g2_to_g1
SCAF4,SCAF8,38.3971,-0.06575628373426516,g1_to_g2
SCAF8,SCAF4,38.3971,-0.10088100697510402,g2_to_g1
TBC1D4,TBC1D1,48.36895,-0.09313468392164762,g1_to_g2
TBC1D1,TBC1D4,48.36895,-0.13422180176966297,g2_to_g1
IMPA2,BPNT1,22.8445,0.05963187003227122,g1_to_g2
IMPA2,IMPA1,52.05515,0.054407259899701,g1_to_g2
IMPA2,INPP1,20.32685,0.1313833378975998,g1_to_g2
SPRY4,SPRY2,39.44045,-0.05837784539124606,g2_to_g1
SPRY1,SPRY2,51.4216,0.02041323278882863,g2_to_g1
KLF5,KLF16,20.31625,-0.11054864760227581,g1_to_g2
KLF5,KLF9,21.0599,-0.10419962149353212,g1_to_g2
KLF5,KLF1,25.24815,0.003092034019004458,g1_to_g2
KLF5,KLF6,29.7531,-0.0018724565224823519,g1_to_g2
KLF5,KLF13,20.09445,-0.05799297564374442,g1_to_g2
RFC3,RFC4,25.59355,-0.05086856638142316,g1_to_g2
RFC4,RFC3,25.59355,0.03952928133996434,g2_to_g1
RFC3,RFC5,25.58825,-0.05240774094938046,g1_to_g2
RFC5,RFC3,25.58825,-0.172452547915855,g2_to_g1
RFC3,RFC2,24.78895,-0.018417923868550228,g1_to_g2
RFC2,RFC3,24.78895,0.04439492397697873,g2_to_g1
POU1F1,POU4F1,27.3684,-0.051938165068956245,g2_to_g1
POU3F2,POU4F1,25.07745,-0.14332589888605676,g2_to_g1
POU4F3,POU4F1,67.3497,0.03622905155983366,g2_to_g1
POU3F4,POU4F1,27.3306,0.0023572078474292843,g2_to_g1
POU2F2,POU4F1,20.34495,-0.002362385016264549,g2_to_g1
POU3F3,POU4F1,24.7845,0.049580614924101006,g2_to_g1
POU3F1,POU4F1,24.63105,-0.06238311538133227,g2_to_g1
POU2F3,POU4F1,23.40105,0.023202729321686395,g2_to_g1
POU5F1B,POU4F1,21.98165,0.16348404800858893,g2_to_g1
POU5F1,POU4F1,21.94875,0.060128463342455994,g2_to_g1
POU4F2,POU4F1,61.12005,0.007769799701539644,g2_to_g1
PAXBP1,GCFC2,30.5849,-0.0034524725335670046,g1_to_g2
GCFC2,PAXBP1,30.5849,-0.04331360832088066,g2_to_g1
IPO5,RANBP6,79.11095,0.0017962745953008978,g1_to_g2
RANBP6,IPO5,79.11095,0.0720122315338875,g2_to_g1
IPO5,IPO4,20.57045,-0.12073142950076801,g1_to_g2
IPO4,IPO5,20.57045,-0.16229995262109984,g2_to_g1
ITSN1,ITSN2,60.1551,-0.013607665938529202,g1_to_g2
ITSN2,ITSN1,60.1551,-0.04910055040864425,g2_to_g1
FMNL3,DIAPH3,20.20305,0.050518173784464444,g2_to_g1
DIAPH3,FMNL1,20.26885,-0.049915575782046306,g1_to_g2
FMNL1,DIAPH3,20.26885,-0.09590785944417135,g2_to_g1
DIAPH3,DAAM1,21.38335,-0.08609774993489666,g1_to_g2
DAAM1,DIAPH3,21.38335,-0.006313435047534449,g2_to_g1
DIAPH3,DIAPH1,45.32035,0.13192663694155785,g1_to_g2
DIAPH1,DIAPH3,45.32035,-0.010688078995347176,g2_to_g1
SS18,SS18L2,29.220805,0.03570225092427993,g1_to_g2
SS18L2,SS18,29.220805,-0.018532205621863213,g2_to_g1
SS18,SS18L1,60.48645,0.0073620243402472575,g1_to_g2
SS18L1,SS18,60.48645,0.05964761388752381,g2_to_g1
SLC7A1,SLC7A6,21.366,0.07035976067375944,g1_to_g2
SLC7A6,SLC7A1,21.366,0.07816682387975196,g2_to_g1
SLC7A1,SLC7A5,20.4827,0.12915448675358854,g1_to_g2
SLC7A5,SLC7A1,20.4827,0.052371792540821825,g2_to_g1
SLC7A1,SLC7A8,21.27275,-0.08825905303548898,g1_to_g2
SLC7A8,SLC7A1,21.27275,0.10911793638852577,g2_to_g1
SLC7A1,SLC7A11,21.3357,0.29491867360118657,g1_to_g2
SLC7A11,SLC7A1,21.3357,-0.00908080297621747,g2_to_g1
FOXO4,FOXO1,37.8747,0.007422743706697047,g2_to_g1
FOXO1,FOXO3,43.3815,0.08551070395833216,g1_to_g2
FOXO3,FOXO1,43.3815,0.04937775001555067,g2_to_g1
FOXO6,FOXO1,34.70255,-0.06762978307277578,g2_to_g1
LRCH4,LRCH1,38.2915,0.010667949608968906,g2_to_g1
LRCH3,LRCH1,40.6527,0.0016832611723564183,g2_to_g1
RPRD1A,RPRD1B,67.11695,0.10226887463647713,g1_to_g2
RPRD1B,RPRD1A,67.11695,-0.0904406228681462,g2_to_g1
DIS3,DIS3L,34.37245,-0.14192997187665318,g1_to_g2
DIS3L,DIS3,34.37245,-0.10067502365362509,g2_to_g1
DIS3,DIS3L2,27.0636,0.04530360611761586,g1_to_g2
DIS3L2,DIS3,27.0636,0.11147591515529291,g2_to_g1
ZMYM5,ZMYM2,42.6429,-0.04737429526459705,g1_to_g2
ZMYM2,ZMYM5,42.6429,-0.02374793834095392,g2_to_g1
SMAD3,SMAD2,87.63825,0.0675828735595941,g2_to_g1
SMAD2,SMAD4,37.7504,0.01604240948445528,g1_to_g2
SMAD4,SMAD2,37.7504,0.09256262884199613,g2_to_g1
SMAD6,SMAD2,26.19195,0.119045918739438,g2_to_g1
SMAD9,SMAD2,59.5289,-0.04180071323454387,g2_to_g1
SMAD2,SMAD5,61.3737,-0.08971103290641311,g1_to_g2
SMAD5,SMAD2,61.3737,0.0815393085843324,g2_to_g1
SMAD2,SMAD1,60.9445,-0.001189019566526961,g1_to_g2
SMAD1,SMAD2,60.9445,-0.041556356542706556,g2_to_g1
SOX10,SOX1,21.87115,0.04259129905229544,g2_to_g1
SOX15,SOX1,34.24695,0.008317481149864542,g2_to_g1
SOX8,SOX1,22.0786,-0.0017917001331772915,g2_to_g1
SOX14,SOX1,37.31935,-0.061124817346277484,g2_to_g1
SOX3,SOX1,51.83675,-0.09073832712048556,g2_to_g1
SOX2,SOX1,55.69315,0.057190070982036344,g2_to_g1
SOX17,SOX1,21.13525,0.039496797258910886,g2_to_g1
SOX21,SOX1,37.0844,0.06899018504744504,g2_to_g1
MYO16,MYO1C,21.3534,0.0424570295317499,g1_to_g2
TXNL1,TXN,31.81085,0.03863157570668303,g1_to_g2
TXN,TXNL1,31.81085,0.02022784296920698,g2_to_g1
PCCA,MCCC1,37.99055,-0.02928761536286324,g1_to_g2
MCCC1,PCCA,37.99055,0.08648293574472043,g2_to_g1
PC,PCCA,30.5597,0.08250719417949293,g2_to_g1
TUBGCP3,TUBGCP2,25.09695,-0.2867338711051838,g1_to_g2
TUBGCP2,TUBGCP3,25.09695,-0.08272247292283842,g2_to_g1
BACH2,BACH1,34.1399,0.016610134521232615,g2_to_g1
ITM2B,ITM2A,40.83305,-0.03575554739585113,g1_to_g2
ITM2A,ITM2B,40.83305,0.18447739015209974,g2_to_g1
ITM2B,ITM2C,43.52735,-0.016618364867251805,g1_to_g2
ITM2C,ITM2B,43.52735,0.009186706867697847,g2_to_g1
TMX3,P4HB,20.0215,0.07207402285152617,g1_to_g2
P4HB,TMX3,20.0215,-0.10285845925455239,g2_to_g1
FLI1,ETS2,27.5881,-0.12340115356458298,g2_to_g1
ETS2,ETV5,20.66955,0.01889600661278774,g1_to_g2
ETV5,ETS2,20.66955,0.13689046752439865,g2_to_g1
ETS2,GABPA,27.52625,-0.0975206765596721,g1_to_g2
GABPA,ETS2,27.52625,0.006415431190152259,g2_to_g1
ETS1,ETS2,50.5383,0.04857237291323075,g2_to_g1
SPDEF,ETS2,20.72495,-0.03301264691365829,g2_to_g1
ERG,ETS2,26.79625,0.030517642188687414,g2_to_g1
ETV1,ETS2,21.98885,-0.18407449471963516,g2_to_g1
ETS2,FEV,24.3854,-0.18301572354120385,g1_to_g2
FEV,ETS2,24.3854,0.0053654027058375785,g2_to_g1
ETV2,ETS2,24.26965,0.012824543088544697,g2_to_g1
PTPN2,PTPN9,22.1183,0.02600561963191801,g1_to_g2
PTPN9,PTPN2,22.1183,-0.047282786979193255,g2_to_g1
PTPN2,PTPN11,20.8895,0.020464597669709674,g1_to_g2
PTPN11,PTPN2,20.8895,0.035176603184228376,g2_to_g1
PTPN2,PTPN7,20.23095,0.09626794115918326,g1_to_g2
PTPN7,PTPN2,20.23095,0.06420802517343088,g2_to_g1
PTPN2,PTPN1,55.0893,0.15014394490274902,g1_to_g2
PTPN1,PTPN2,55.0893,0.009729433865433172,g2_to_g1
CRYZL1,TP53I3,22.33405,-0.014123905348939956,g1_to_g2
TP53I3,CRYZL1,22.33405,0.04763117413931779,g2_to_g1
CRYZL1,CRYZ,20.96215,0.000837132988363787,g1_to_g2
CRYZ,CRYZL1,20.96215,0.08893324788623742,g2_to_g1
CRYZL1,RTN4IP1,20.7537,-0.013155801966512759,g1_to_g2
RTN4IP1,CRYZL1,20.7537,0.06952350940519265,g2_to_g1
CRYZL1,VAT1,20.55745,-0.09240676451929145,g1_to_g2
VAT1,CRYZL1,20.55745,-0.015331229381623944,g2_to_g1
LCP1,PLS1,73.2486,0.1759772216820588,g1_to_g2
PLS1,LCP1,73.2486,0.008928235108530323,g2_to_g1
SLC39A6,SLC39A14,24.50625,0.047808334167646724,g1_to_g2
SLC39A14,SLC39A6,24.50625,0.10254926060706489,g2_to_g1
SLC39A6,SLC39A8,24.4889,-0.017754220095379518,g1_to_g2
SLC39A8,SLC39A6,24.4889,0.05073247303634994,g2_to_g1
SLC39A6,SLC39A4,21.0952,-0.031924177282395313,g1_to_g2
SLC39A4,SLC39A6,21.0952,0.05141314410984628,g2_to_g1
SLC39A6,SLC39A10,33.36795,0.1945035260772053,g1_to_g2
SLC39A10,SLC39A6,33.36795,0.008069438053370636,g2_to_g1
CBR1,DHRS7B,21.3985,-0.09236295759756492,g1_to_g2
CBR1,DHRS4,23.4235,0.01677538376544308,g1_to_g2
CBR1,DHRS4L2,22.17725,-0.011306541824539721,g1_to_g2
CBR1,DHRS11,21.62315,0.10891634301405846,g1_to_g2
BTBD3,BTBD1,39.30545,-0.03632321880043795,g1_to_g2
BTBD3,BTBD2,39.5419,-0.012014520641272782,g1_to_g2
RBM26,RBM27,46.5715,0.13740616709719766,g1_to_g2
RBM27,RBM26,46.5715,0.0960446635242273,g2_to_g1
DGKH,DGKD,64.3389,-0.006900913408921601,g1_to_g2
DGKD,DGKH,64.3389,-0.09534795261644878,g2_to_g1
DGKQ,DGKH,21.6343,0.07748479716754399,g2_to_g1
DGKH,DGKZ,21.7236,0.03433543642488822,g1_to_g2
DGKZ,DGKH,21.7236,-0.08978035725378551,g2_to_g1
DGKH,DGKE,24.92925,-0.01169216014998547,g1_to_g2
DGKE,DGKH,24.92925,-0.013003317925195473,g2_to_g1
XRN2,XRN1,26.20505,0.22051496161570827,g1_to_g2
XRN1,XRN2,26.20505,0.08083633925839383,g2_to_g1
BTG3,BTG2,26.77315,-0.07689726212298628,g1_to_g2
BTG2,BTG3,26.77315,-0.09187116634698175,g2_to_g1
BTG3,BTG1,28.467,-0.002576572943526583,g1_to_g2
BTG1,BTG3,28.467,0.03086971889583804,g2_to_g1
SNRPB2,SNRPA,60.72815,0.09645838832398618,g1_to_g2
SNRPA,SNRPB2,60.72815,0.04206797086161613,g2_to_g1
SUMO3,SUMO2,91.0577,0.013979051338463982,g1_to_g2
SUMO2,SUMO3,91.0577,0.17664019798399266,g2_to_g1
