dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.0002300052136779,,False,0.0008810789476578,-0.2270943099610471,5.39711840904,,,
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906,,False,-0.0112383466227374,,4.8068395818,,,
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,,False,-0.0018647795628147,,0.659924558402,,,
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,,False,-0.0021538295335351,,3.18269229752,,,
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,-0.0761621576895077,True,-0.0196017118940989,,7.23964626031,2393.0,0.26661094860008355,0.5702346128589337
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.0030331396673439,,False,,-0.0177142811999496,3.6599245584,,,
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.0010979696355211,0.8918977970955894,True,-0.0120218391297385,,5.83137058797,2393.0,0.0004178854993731718,0.0050146259924780615
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.0001603224271787,-0.0335086714431571,True,0.0120380409017133,,4.76765479824,2393.0,0.4575846218136231,0.6101128290848308
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.004487063724405,0.160134308025814,True,0.0074142143273582,,4.50271248597,2393.0,0.27078980359381527,0.5702346128589337
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.0007136003456755,,False,0.0064148243122662,,5.36246988875,,,
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,-0.0580205288402234,True,-0.0074588242300356,,5.37747084285,2393.0,0.32177183451734226,0.5702346128589337
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807,,False,0.0112292999562879,,3.23878685959,,,
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.0068531489811383,,False,0.0059897884410859,,4.50842865253,,,
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.0011157315668222,,False,,,1.29278174923,,,
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,-0.0025623157028278,,5.88044064789,,,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.0083293503260604,,False,-0.015061105154186,,6.61735726159,,,
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.004540498776208,,False,-0.0043552168671829,,5.936637939,,,
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.0012610161825704,,False,-0.0143316502727639,,6.75622271285,,,
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.0062202716201176,,False,-0.0188623407967567,,7.41184990739,,,
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,,False,0.0004067381969294,,6.20984323053,,,
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,-0.1165022662034831,True,0.0004067381969294,,6.20984323053,2393.0,0.4542415378186377,0.6101128290848308
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.0004032182172353,,False,,,2.03562390973,,,
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.0004511966983095,-0.088952685935566,True,-0.0010736256408003,0.1436036297003738,6.88117515535,2393.0,0.7985791893021312,0.8700376096949437
