dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.0002300052136779,-0.5162157714366913,True,0.6073841452598572,-1.3127953857183456,,11672.0,0.5019705277587388,1.0
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906,0.5151544436812401,True,-0.4039899110794067,2.042881190776825,,11672.0,0.4604180945853324,1.0
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,-1.5298196524381638,True,-0.1952358037233352,0.869670569896698,,11672.0,0.9833790267306374,1.0
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,-0.879008125513792,True,0.895435631275177,-1.040187954902649,,11672.0,0.5263022618231665,1.0
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,-1.669000223278999,True,0.1892166882753372,1.1112853288650513,,11672.0,0.9605894448252228,1.0
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.0030331396673439,0.4975209411932155,True,-0.4970366060733795,0.2682461738586426,,11672.0,0.5622001370801919,1.0
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.0010979696355211,-0.917954683303833,True,0.650336742401123,-2.3263959288597107,,11672.0,0.6907128169979438,1.0
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.0001603224271787,0.9992818683385848,True,0.0728210359811782,-1.234563231468201,,11672.0,0.06100068540095956,0.549006168608636
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.004487063724405,0.3966973125934601,True,-0.1171431541442871,0.1815543919801712,,11672.0,0.3777416038382454,1.0
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.0007136003456755,-0.350739061832428,True,0.7601883411407471,-0.4402352273464203,,11672.0,0.29412268677176145,1.0
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,-0.2393914088606834,True,0.1435952931642532,0.5397071242332458,,11672.0,0.5843043180260452,1.0
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807,0.5892524272203445,True,0.2173117846250534,,,11672.0,0.10075394105551748,0.6754626456477039
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.0068531489811383,-1.652396023273468,True,0.838552713394165,-1.1360336542129517,,11672.0,0.9134681288553804,1.0
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.0011157315668222,0.3171813488006592,True,0.4485483169555664,,,11672.0,0.1565284441398218,0.7043779986291981
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,-0.01860604993999,0.3734222650527954,,,,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.0083293503260604,-0.6749170981347561,True,0.0540164075791835,-1.4072891473770142,,11672.0,0.8522960932145305,1.0
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.004540498776208,0.6674753427505493,True,0.2524821162223816,-0.0907685756683349,,11672.0,0.05774503084304318,0.549006168608636
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.0012610161825704,-0.4587233886122703,True,-0.0819750800728797,1.9863563030958176,,11672.0,0.7775873886223441,1.0
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.0062202716201176,-0.5026509165763855,True,-0.2684661149978637,2.359695613384247,,11672.0,0.9002741603838246,1.0
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,-1.651077389717102,True,0.8080618381500244,-0.138224720954895,,11672.0,0.9240918437285812,1.0
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,-2.3236829042434692,True,0.8080618381500244,-2.187726378440857,,11672.0,0.9777244688142563,1.0
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.0004032182172353,-1.2647259831428528,True,0.5736610889434814,-1.58017897605896,,11672.0,1.0,1.0
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.0004511966983095,-8.834639489650726,True,0.8903765082359314,-0.9200861155986786,,11672.0,1.0,1.0
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.0063165169124381,-0.4932385087013244,True,0.1382790803909301,0.8222013264894485,,11672.0,0.7493145990404386,1.0
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.0009327599589605,0.3816138505935669,True,-0.1534986197948455,1.5241559743881226,,11672.0,0.39701850582590814,1.0
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.0004006975777489,-1.4312047362327576,True,0.5623300075531006,0.8450288772583008,,11672.0,0.8539239204934886,1.0
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.0004882820119225,0.1706517934799194,True,0.6715417504310608,1.334339275956154,,11672.0,0.11257710760795066,0.6754626456477039
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.0001942441658818,0.9311211481690408,True,-0.1225316897034645,2.112467050552368,,11672.0,0.1501028101439342,0.7043779986291981
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.0019307460561074,-0.3044199347496032,True,0.240698367357254,0.695692777633667,,11672.0,0.609664153529815,1.0
