dep_gene,paralog_gene,mean_identical_score,delta_z,group,empirical_pval,empirical_fdr,rank,rank_pct,n_perturbations
RGS2,RGS21,44.70725,7.106167703866959,Non-significant background,0.010869565217391304,0.5807453416149068,1,0.267379679144385,184.0
XIAP,BIRC7,24.155,5.424314171075821,Non-significant background,0.010869565217391304,0.5807453416149068,2,0.53475935828877,184.0
KIF1B,KIF1C,42.2611,3.64836660027504,Non-significant background,0.005434782608695652,0.5807453416149068,3,0.8021390374331552,184.0
OSBPL6,OSBP2,26.5971,3.5147613286972046,Non-significant background,0.010869565217391304,0.5807453416149068,4,1.06951871657754,184.0
PCDH1,PCDH20,23.8071,3.1353370547294617,Non-significant background,0.02717391304347826,0.677536231884058,5,1.3368983957219251,184.0
REEP2,REEP1,53.32565,3.10782653093338,Non-significant background,0.005434782608695652,0.5807453416149068,6,1.6042780748663104,184.0
DYNC1H1,DNAH10,22.22065,2.9273794889450073,Non-significant background,0.043478260869565216,0.677536231884058,7,1.8716577540106951,184.0
FRMD4A,RDX,20.35075,2.820067048072815,Non-significant background,0.005434782608695652,0.5807453416149068,8,2.13903743315508,184.0
PON2,PON1,66.0086,2.6588134169578552,Non-significant background,0.05434782608695652,0.7259316770186335,9,2.406417112299465,184.0
HSPA5,HSPA2,62.65345,2.5593611896038055,Non-significant background,0.021739130434782608,0.677536231884058,10,2.6737967914438503,184.0
FGD4,FGD3,35.68455,2.247083067893982,Non-significant background,0.08695652173913043,0.8427889713679745,11,2.941176470588235,184.0
RGS2,RGS13,35.8431,2.202566981315613,Non-significant background,0.125,0.9540816326530612,12,3.2085561497326207,184.0
CNTNAP2,CNTNAP4,47.5974,2.157471001148224,Non-significant background,0.04891304347826087,0.677536231884058,13,3.4759358288770055,184.0
DYNC1H1,DNAH5,20.971,2.0546416640281677,Non-significant background,0.06521739130434782,0.7771739130434782,14,3.7433155080213902,184.0
CNTNAP2,NRXN2,21.6339,1.9969978630542755,Non-significant background,0.04891304347826087,0.677536231884058,15,4.010695187165775,184.0
ADARB2,ADAR,24.39945,1.959128811955452,Non-significant background,0.043478260869565216,0.677536231884058,16,4.27807486631016,184.0
MTA1,MTA2,60.95255,1.9327706545591352,Non-significant background,0.021739130434782608,0.677536231884058,17,4.545454545454546,184.0
PRKAG2,PRKAG1,56.86555,1.8716649413108823,Non-significant background,0.2554347826086957,1.0,18,4.81283422459893,184.0
DNM2,MX1,26.6,1.8359211012721064,Non-significant background,0.043478260869565216,0.677536231884058,19,5.080213903743315,184.0
HSPA5,HSPA1B,61.62785,1.8216523379087448,Non-significant background,0.03804347826086957,0.677536231884058,20,5.347593582887701,184.0
KIF1B,KIF13A,28.8321,1.79406301304698,Non-significant background,0.03804347826086957,0.677536231884058,21,5.614973262032086,184.0
ANO10,ANO4,23.5729,1.7826389595866203,Non-significant background,0.5978260869565217,1.0,22,5.88235294117647,184.0
PMPCA,PMPCB,30.61055,1.7703995108604431,Non-significant background,0.24456521739130435,1.0,23,6.149732620320856,184.0
PMPCA,UQCRC1,28.11605,1.7451465129852295,Non-significant background,0.15217391304347827,1.0,24,6.417112299465241,184.0
DYNC1H1,DNAH2,21.87985,1.7160712853074074,Non-significant background,0.07608695652173914,0.7904589371980677,25,6.684491978609626,184.0
OSBPL6,OSBP,25.639,1.7111827582120895,Non-significant background,0.06521739130434782,0.7771739130434782,26,6.951871657754011,184.0
WDR45,WDR45B,48.03615,1.6628618836402893,Non-significant background,0.3423913043478261,1.0,27,7.219251336898395,184.0
NTRK2,NTRK3,53.42875,1.648967381566763,Non-significant background,0.02717391304347826,0.677536231884058,28,7.4866310160427805,184.0
XIAP,BIRC2,35.9389,1.6389125101268291,Non-significant background,0.059782608695652176,0.7709895052473763,29,7.754010695187167,184.0
TRPM7,TRPM4,23.59455,1.615816950798035,Non-significant background,0.15217391304347827,1.0,30,8.02139037433155,184.0
HYOU1,HSPA1B,24.8423,1.6018943041563034,Non-significant background,0.07608695652173914,0.7904589371980677,31,8.288770053475936,184.0
DNM2,DNM1,78.8937,1.5742363184690475,Non-significant background,0.02717391304347826,0.677536231884058,32,8.55614973262032,184.0
ATP1A3,ATP1A1,86.15135,1.5664231777191162,Non-significant background,0.15760869565217392,1.0,33,8.823529411764707,184.0
FGD4,FGD1,39.63065,1.5479027032852173,Non-significant background,0.09239130434782608,0.8427889713679745,34,9.090909090909092,184.0
EWSR1,TAF15,39.8484,1.52333402633667,Non-significant background,0.20652173913043478,1.0,35,9.358288770053475,184.0
FARP1,FARP2,54.40785,1.4809560775756836,Non-significant background,0.04891304347826087,0.677536231884058,36,9.62566844919786,184.0
TRPM7,TRPM8,20.4042,1.477167621254921,Non-significant background,0.08152173913043478,0.8240305522914219,37,9.893048128342247,184.0
FAM171A2,FAM171A1,38.51515,1.4607906639575958,Non-significant background,0.03804347826086957,0.677536231884058,38,10.16042780748663,184.0
SYNJ1,SYNJ2,44.08175,1.4338380098342896,Non-significant background,0.33695652173913043,1.0,39,10.427807486631016,184.0
FERMT2,FERMT1,63.228,1.4297857284545898,Non-significant background,0.021739130434782608,0.677536231884058,40,10.6951871657754,184.0
RHOT1,CDC42,24.64865,1.4247227311134338,Non-significant background,0.24456521739130435,1.0,41,10.962566844919785,184.0
PPP2R2B,PPP2R2C,85.8444,1.4058188796043396,Non-significant background,0.1956521739130435,1.0,42,11.229946524064172,184.0
REEP2,REEP4,52.8394,1.4001880586147308,Non-significant background,0.14673913043478262,1.0,43,11.497326203208557,184.0
VCP,NVL,34.68845,1.3570111691951752,Non-significant background,0.3695652173913043,1.0,44,11.76470588235294,184.0
KIF1B,KIF13B,29.21495,1.3188486471772194,Non-significant background,0.10869565217391304,0.9239130434782609,45,12.032085561497324,184.0
ATXN7,ATXN7L2,27.2878,1.3041234612464905,Non-significant background,0.02717391304347826,0.677536231884058,46,12.299465240641712,184.0
HEXA,HEXB,54.7805,1.2900458574295044,Non-significant background,0.7065217391304348,1.0,47,12.566844919786096,184.0
PPP2R2B,PPP2R2A,84.7208,1.2532837018370628,Non-significant background,0.4891304347826087,1.0,48,12.834224598930485,184.0
PGBD1,ZKSCAN3,22.59225,1.2437017858028412,Non-significant background,0.25,1.0,49,13.101604278074866,184.0
TRPM7,TRPM3,43.7668,1.2281536608934402,Non-significant background,0.11956521739130435,0.9540816326530612,50,13.368983957219251,184.0
PCDH1,PCDH7,50.6447,1.214508220553398,Non-significant background,0.07065217391304347,0.7771739130434782,51,13.636363636363637,184.0
CYB561,CYB561A3,39.364,1.20943683385849,Non-significant background,0.2826086956521739,1.0,52,13.903743315508022,184.0
DNM2,DNM3,80.20905,1.20598965883255,Non-significant background,0.18478260869565216,1.0,53,14.171122994652409,184.0
ECHS1,ECH1,25.33855,1.1996547281742096,Non-significant background,0.3641304347826087,1.0,54,14.43850267379679,184.0
PGBD1,ZSCAN23,22.8407,1.1981254816055298,Non-significant background,0.30978260869565216,1.0,55,14.705882352941178,184.0
POU4F1,POU3F4,27.3306,1.186835527420044,Non-significant background,0.021739130434782608,0.677536231884058,56,14.97326203208556,184.0
HNRNPA2B1,MSI1,28.1902,1.186030626296997,Non-significant background,0.04891304347826087,0.677536231884058,57,15.240641711229946,184.0
RGS2,RGS17,25.65335,1.1693256795406342,Non-significant background,0.22282608695652173,1.0,58,15.508021390374331,184.0
HSPA9,HSPA1A,49.73815,1.0485121011734009,Non-significant background,0.3423913043478261,1.0,59,15.775401069518717,184.0
STX1B,STX5,20.7541,1.0405253469944,Non-significant background,0.3967391304347826,1.0,60,16.0427807486631,184.0
FGD4,FGD6,20.41595,1.0373131036758425,Non-significant background,0.010869565217391304,0.5807453416149068,61,16.31016042780749,184.0
RFC3,RFC5,25.58825,1.0369067788124084,Non-significant background,0.31521739130434784,1.0,62,16.577540106951872,184.0
WWOX,RDH11,31.97065,1.0355662256479263,Non-significant background,0.20108695652173914,1.0,63,16.844919786096256,184.0
RAB10,RAB31,43.5513,1.0079413503408432,Aneuploidy vulnerability,0.44021739130434784,1.0,64,17.11229946524064,184.0
ATXN1,ATXN1L,27.72115,1.0054623037576675,Non-significant background,0.5706521739130435,1.0,65,17.379679144385026,184.0
CELF1,CELF4,43.83435,0.9961370825767516,Non-significant background,0.03804347826086957,0.677536231884058,66,17.647058823529413,184.0
POU4F1,POU5F1,21.94875,0.9708013385534286,Non-significant background,0.2391304347826087,1.0,67,17.914438502673796,184.0
HSPA9,HSPA13,27.8682,0.9643621742725372,Non-significant background,0.29891304347826086,1.0,68,18.181818181818183,184.0
HYOU1,HSPA2,24.3765,0.9313601553440094,Non-significant background,0.3532608695652174,1.0,69,18.449197860962567,184.0
SASH1,SAMSN1,27.8631,0.8947023265063763,Non-significant background,0.483695652173913,1.0,70,18.71657754010695,184.0
ELOVL5,ELOVL1,33.60425,0.8794418424367905,Non-significant background,0.15217391304347827,1.0,71,18.983957219251337,184.0
CALB1,CALB2,57.9152,0.8506553173065186,Non-significant background,0.09239130434782608,0.8427889713679745,72,19.25133689839572,184.0
GSR,TXNRD2,37.285,0.840229406952858,Non-significant background,0.23369565217391305,1.0,73,19.518716577540108,184.0
NTRK2,INSR,20.03165,0.8259453177452087,Non-significant background,0.32608695652173914,1.0,74,19.786096256684495,184.0
HSPA9,HSPA4L,23.3157,0.7979901568032801,Non-significant background,0.23369565217391305,1.0,75,20.05347593582888,184.0
SH3RF1,SH3RF3,47.45815,0.7930187154561281,Non-significant background,0.21195652173913043,1.0,76,20.32085561497326,184.0
ECHS1,AUH,29.1115,0.7779704034328461,Non-significant background,0.266304347826087,1.0,77,20.588235294117645,184.0
RAB10,RAB8A,68.3249,0.7642834484577179,Aneuploidy vulnerability,0.625,1.0,78,20.855614973262032,184.0
BIN1,AMPH,46.87785,0.7612771540880203,Non-significant background,0.5597826086956522,1.0,79,21.12299465240642,184.0
KIF1B,KIF14,20.5449,0.7505614385008812,Non-significant background,0.22826086956521738,1.0,80,21.3903743315508,184.0
GSTA4,GSTM2,24.0929,0.7376079261302948,Non-significant background,0.358695652173913,1.0,81,21.65775401069519,184.0
RIMBP2,TSPOAP1,29.5907,0.7308510094881058,Non-significant background,0.2391304347826087,1.0,82,21.92513368983957,184.0
HSPA9,HSPH1,22.689,0.7120698690414429,Non-significant background,0.14130434782608695,1.0,83,22.192513368983956,184.0
CELF1,CELF6,44.471,0.7083019018173218,Non-significant background,0.07065217391304347,0.7771739130434782,84,22.459893048128343,184.0
RGS2,RGS20,26.2217,0.6505791395902634,Non-significant background,0.46195652173913043,1.0,85,22.727272727272727,184.0
CELF1,CELF3,44.0327,0.6449865996837616,Non-significant background,0.3695652173913043,1.0,86,22.994652406417114,184.0
BAX,BCL2,21.133,0.6354310512542725,Non-significant background,0.375,1.0,87,23.262032085561497,184.0
ELMO1,ELMO3,51.9708,0.6229056119918823,Non-significant background,0.11413043478260869,0.9485507246376811,88,23.52941176470588,184.0
EWSR1,FUS,50.184,0.610881894826889,Non-significant background,0.22826086956521738,1.0,89,23.796791443850267,184.0
EPC2,EPC1,54.939,0.5957671739161015,Non-significant background,0.266304347826087,1.0,90,24.06417112299465,184.0
RGS2,RGS4,36.5461,0.5731032192707062,Non-significant background,0.7010869565217391,1.0,91,24.33155080213904,184.0
TFAM,HMGB2,20.3544,0.5606349557638168,Non-significant background,0.2717391304347826,1.0,92,24.598930481283425,184.0
THAP1,THAP2,31.3288,0.5494069755077362,Non-significant background,0.41304347826086957,1.0,93,24.86631016042781,184.0
TRAP1,HSP90AB1,31.79895,0.5450191758573055,Non-significant background,0.29347826086956524,1.0,94,25.13368983957219,184.0
OSBPL6,OSBPL2,26.0205,0.5281450748443604,Non-significant background,0.03804347826086957,0.677536231884058,95,25.40106951871658,184.0
CDC42EP3,CDC42EP4,21.2499,0.5192202925682068,Non-significant background,0.6195652173913043,1.0,96,25.66844919786097,184.0
ATP1A3,ATP2C1,27.39405,0.5099494308233261,Non-significant background,0.532608695652174,1.0,97,25.935828877005346,184.0
PGBD1,ZKSCAN1,21.83915,0.5088451206684113,Non-significant background,0.41847826086956524,1.0,98,26.203208556149733,184.0
DMXL1,DMXL2,55.35555,0.4994232505559921,Non-significant background,0.30434782608695654,1.0,99,26.47058823529412,184.0
CELF1,CELF2,77.105,0.4966194033622741,Non-significant background,0.7391304347826086,1.0,100,26.737967914438503,184.0
PCDH1,PCDH9,37.8335,0.4751009196043014,Non-significant background,0.5706521739130435,1.0,101,27.00534759358289,184.0
PGBD1,ZSCAN9,20.0031,0.4583831876516342,Non-significant background,0.44565217391304346,1.0,102,27.27272727272727,184.0
