dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct,n_perturbations,empirical_pval,empirical_fdr
PTTG1,PTTG2,83.0167,13.550028249621391,Non-significant background,1,0.003465844106332,11672.0,0.0004283755997258396,1.0
GNA12,GNAT1,39.19495,12.596927553415298,Non-significant background,2,0.0069316882126641,11672.0,0.0003427004797806717,1.0
KLKB1,F9,22.4196,10.763365224003792,Non-significant background,3,0.0103975323189962,11672.0,0.0016278272789581906,1.0
MAGEE1,MAGEA3,20.93675,10.403740644454956,Non-significant background,4,0.0138633764253283,11672.0,0.0014564770390678547,1.0
HBA1,HBD,43.61165,9.513182550668716,Non-significant background,5,0.0173292205316604,11672.0,0.0017991775188485263,1.0
SLC1A1,SLC1A7,44.51405,9.050277397036552,Non-significant background,6,0.0207950646379925,11672.0,0.0019705277587388622,1.0
MYO9B,MYO7B,20.2375,8.917468249797821,Non-significant background,7,0.0242609087443246,11672.0,0.0008567511994516792,1.0
FOXD3,FOXB2,21.814,8.412771187722683,Non-significant background,8,0.0277267528506567,11672.0,0.005397532556545579,1.0
ACSM5,ACSM2A,53.9794,8.314990550279617,Non-significant background,9,0.0311925969569888,11672.0,0.005054832076764907,1.0
HOXD8,HOXD3,20.1708,8.048595286905766,Non-significant background,10,0.0346584410633209,11672.0,0.0065113091158327625,1.0
CTSD,PGA4,43.5392,7.910936690866947,Non-significant background,11,0.038124285169653,11672.0,0.005311857436600411,1.0
RPL22,RPL22L1,71.241,6.9892536997795105,Non-significant background,12,0.0415901292759851,11672.0,8.567511994516793e-05,1.0
NR2F6,NR2F1,61.4593,6.653636619448662,Non-significant background,13,0.0450559733823172,11672.0,0.004369431117203564,1.0
NR2E1,RXRG,29.257,6.418510317802429,Non-significant background,14,0.0485218174886493,11672.0,0.0075394105551747775,1.0
PHB1,PHB2,48.0935,6.358868598937988,Non-significant background,15,0.0519876615949814,11672.0,0.00017135023989033586,1.0
MKRN1,MKRN3,49.3743,6.0930260717868805,Non-significant background,16,0.0554535057013135,11672.0,0.004369431117203564,1.0
KCNIP2,RCVRN,30.0278,6.076375842094421,Non-significant background,17,0.0589193498076456,11672.0,0.008910212474297465,1.0
CCT3,CCT5,29.83465,5.9958473443984985,Non-significant background,18,0.0623851939139777,11672.0,0.00025702535983550376,1.0
ARFGEF1,CYTH4,24.939145,5.778445273637772,Non-significant background,19,0.0658510380203098,11672.0,0.006082933516106922,1.0
KLF9,KLF2,22.4746,5.761355817317963,Non-significant background,20,0.0693168821266419,11672.0,0.0027416038382453737,1.0
CAPN5,CAPN14,27.3716,5.666439235210419,Non-significant background,21,0.072782726232974,11672.0,0.0015421521590130226,1.0
CCT7,CCT4,31.7934,5.596431016921997,Non-significant background,22,0.0762485703393061,11672.0,0.0017135023989033585,1.0
HSP90AB1,HSP90AA1,86.40375,5.5692726373672485,Non-significant background,23,0.0797144144456382,11672.0,0.0005997258396161755,1.0
PSMB6,PSMB4,22.72015,5.546899318695068,Non-significant background,24,0.0831802585519703,11672.0,0.0005140507196710075,1.0
ADRA2B,ADRA1B,25.49355,5.460140943527222,Non-significant background,25,0.0866461026583024,11672.0,0.0026559287183002054,1.0
HBQ1,HBD,39.45815,5.457333952188492,Non-significant background,26,0.0901119467646345,11672.0,0.011566141192597669,1.0
BTN3A2,BTNL3,25.69965,5.393021821975708,Non-significant background,27,0.0935777908709666,11672.0,0.006854009595613434,1.0
H1-6,H1-8,23.16325,5.176253914833069,Non-significant background,28,0.0970436349772987,11672.0,0.00745373543522961,1.0
OLFM1,MYOC,25.8943,5.1642926633358,Non-significant background,29,0.1005094790836308,11672.0,0.006768334475668266,1.0
CYP2R1,CYP2W1,36.7351,5.149183586239815,Non-significant background,30,0.1039753231899629,11672.0,0.01490747087045922,1.0
PLEKHG4B,KIAA1755,20.1267,5.064134627580643,Non-significant background,31,0.107441167296295,11672.0,0.0029129540781357094,1.0
SLC6A9,SLC6A17,30.2918,5.014452397823334,Non-significant background,32,0.1109070114026271,11672.0,0.003341329677861549,1.0
PDIA6,PDIA3,20.2014,4.848217964172363,Non-significant background,33,0.1143728555089592,11672.0,0.0009424263193968472,1.0
