dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.000230005213677922,0.07681187335401773,True
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906031,0.917304739356041,True
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,-0.6064929673448205,True
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,,False
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,-0.38494713604450226,True
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.00303313966734393,-0.5385110676288605,True
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.00109796963552113,1.533556685782969,True
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.000160322427178755,0.8397143334150314,True
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.00448706372440501,1.8513735458254814,True
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.000713600345675506,,False
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,,False
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807005,-0.310299888253212,True
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.00685314898113833,-0.6327917920425534,True
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.00111573156682223,,False
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,0.15586578100919724,True
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.00832935032606047,0.38412901386618614,True
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.00454049877620809,2.091365098953247,True
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.00126101618257043,-1.0659776031970978,True
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.00622027162011764,0.3590599149465561,True
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,-1.7297848761081696,True
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,,False
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.000403218217235383,0.6169319450855255,True
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.000451196698309513,-0.7600359171628952,True
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.00631651691243816,,False
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.000932759958960599,,False
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.00040069757774896,3.464237794280052,True
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.000488282011922593,1.0545624345541,True
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.00019424416588183,4.2600358463823795,True
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.00193074605610749,0.5819674134254456,True
TYMS,DHFR,TYMS-DHFR,20.07485,chr5_q,chr18_p,0.00111925781963961,,False
POM121C,POM121L2,POM121C-POM121L2,39.4881,chr6_p,chr7_q,0.00414683457600431,-0.23267284128814936,True
TUBB4B,TUBB,TUBB4B-TUBB,97.41295,chr6_p,chr9_q,4.30891259001776e-07,-1.3583490401506424,True
PPP2CA,PPP2CB,PPP2CA-PPP2CB,97.411,chr8_p,chr5_q,3.40338384631437e-09,,False
SMARCA4,SMARCA2,SMARCA4-SMARCA2,76.5143,chr9_p,chr19_p,0.00589995610720077,0.6002711802721024,True
DDX3X,DDX3Y,DDX3X-DDX3Y,92.2846,chrY,chrX_p,1.28749520310857e-15,0.9215695150196552,True
EIF1AX,EIF1AY,EIF1AX-EIF1AY,99.3056,chrY,chrX_p,2.22650630820422e-13,1.925240620970726,True
RPS4X,RPS4Y1,RPS4X-RPS4Y1,92.7757,chrY,chrX_q,0.000355621605039158,,False
