dep_gene,paralog_gene,mean_identical_score,delta_z,direction,paralog_ctrl_mean_z,paralog_ccle_log2tpm
USP9X,USP9Y,91.6422,0.07760334014892578,g2_to_g1,-0.15275618433952332,
HSFY2,HSFX4,21.16255,0.0,g1_to_g2,-0.07741714268922806,
HSFX4,HSFY2,21.16255,0.0,g2_to_g1,-0.009256085380911827,
HSFY2,HSFX3,21.16255,0.0,g1_to_g2,-0.08357179909944534,
HSFX3,HSFY2,21.16255,0.0,g2_to_g1,-0.009256085380911827,
HSFY2,HSFX1,28.17545,0.0,g1_to_g2,-0.009256085380911827,
HSFX1,HSFY2,28.17545,0.0,g2_to_g1,-0.009256085380911827,
HSFY2,HSFX2,28.17545,0.0,g1_to_g2,-0.0444183424115181,
HSFX2,HSFY2,28.17545,0.0,g2_to_g1,-0.009256085380911827,
HSFY2,HSFY1,100.0,0.0,g1_to_g2,-0.020638376474380493,
HSFY1,HSFY2,100.0,0.0,g2_to_g1,-0.009256085380911827,
KDM5D,KDM5C,85.5154,0.8823338747024536,g1_to_g2,-0.48630210757255554,
KDM5C,KDM5D,85.5154,0.0,g2_to_g1,-0.049858350306749344,
KDM5D,KDM5A,49.2871,-0.320736363530159,g1_to_g2,0.5284179449081421,
KDM5A,KDM5D,49.2871,0.0,g2_to_g1,-0.049858350306749344,
KDM5D,KDM5B,44.7617,-1.966013491153717,g1_to_g2,1.5701735019683838,
KDM5B,KDM5D,44.7617,0.0,g2_to_g1,-0.049858350306749344,
HSFY1,HSFX4,21.16255,0.0,g1_to_g2,-0.07741714268922806,
HSFX4,HSFY1,21.16255,0.0,g2_to_g1,-0.020638376474380493,
HSFY1,HSFX3,21.16255,0.0,g1_to_g2,-0.08357179909944534,
HSFX3,HSFY1,21.16255,0.0,g2_to_g1,-0.020638376474380493,
HSFY1,HSFX1,28.17545,0.0,g1_to_g2,-0.009256085380911827,
HSFX1,HSFY1,28.17545,0.0,g2_to_g1,-0.020638376474380493,
HSFY1,HSFX2,28.17545,0.0,g1_to_g2,-0.0444183424115181,
HSFX2,HSFY1,28.17545,0.0,g2_to_g1,-0.020638376474380493,
TGIF2LY,TGIF2LX,74.5273,0.0,g1_to_g2,-0.014566199854016304,
TGIF2LX,TGIF2LY,74.5273,0.0,g2_to_g1,-0.02364356257021427,
TGIF2LY,TGIF1,25.88335,-0.6827362626791,g1_to_g2,0.053530678153038025,
TGIF1,TGIF2LY,25.88335,0.0,g2_to_g1,-0.02364356257021427,
TGIF2LY,TGIF2,28.87445,-1.066453654319048,g1_to_g2,0.056686241179704666,
TGIF2,TGIF2LY,28.87445,0.0,g2_to_g1,-0.02364356257021427,
CDY2A,CDYL,63.2263,-1.7696567103266716,g1_to_g2,1.6844589710235596,
CDY2A,CDYL2,39.777,-0.22945243120193481,g1_to_g2,1.081714391708374,
SRY,SOX15,28.04115,1.060081124305725,g1_to_g2,-0.5392739772796631,
