dep_gene,paralog_gene,mean_identical_score,delta_z,direction,paralog_ctrl_mean_z,paralog_ccle_log2tpm
USP9X,USP9Y,91.6422,0.5448228716850281,g2_to_g1,-0.2564062774181366,
HSFY2,HSFX4,21.16255,-0.0037658587098121643,g1_to_g2,-0.05913018435239792,
HSFX4,HSFY2,21.16255,-4.605203866958618e-05,g2_to_g1,-0.00895955041050911,
HSFY2,HSFX3,21.16255,-0.002826489508152008,g1_to_g2,-0.06280890107154846,
HSFX3,HSFY2,21.16255,-0.0008995961397886276,g2_to_g1,-0.00895955041050911,
HSFY2,HSFX1,28.17545,0.0017806771211326122,g1_to_g2,-0.008658520877361298,
HSFX1,HSFY2,28.17545,-0.0007373625412583351,g2_to_g1,-0.00895955041050911,
HSFY2,HSFX2,28.17545,-0.003056813031435013,g1_to_g2,-0.04327138513326645,
HSFX2,HSFY2,28.17545,-0.0005045626312494278,g2_to_g1,-0.00895955041050911,
HSFY2,HSFY1,100.0,-0.002631561830639839,g1_to_g2,-0.02071000076830387,
HSFY1,HSFY2,100.0,-0.0006243810057640076,g2_to_g1,-0.00895955041050911,
KDM5D,KDM5C,85.5154,1.3224846124649048,g1_to_g2,-0.9976017475128174,
KDM5C,KDM5D,85.5154,-0.0008204244077205658,g2_to_g1,-0.04817647114396095,
KDM5D,KDM5A,49.2871,0.6012120619416237,g1_to_g2,0.10522540658712387,
KDM5A,KDM5D,49.2871,-0.0005941316485404968,g2_to_g1,-0.04817647114396095,
KDM5D,KDM5B,44.7617,-1.2855919227004051,g1_to_g2,1.4092823266983032,
KDM5B,KDM5D,44.7617,-0.000637546181678772,g2_to_g1,-0.04817647114396095,
HSFY1,HSFX4,21.16255,-0.003908172249794006,g1_to_g2,-0.05913018435239792,
HSFX4,HSFY1,21.16255,-0.0020543336868286133,g2_to_g1,-0.02071000076830387,
HSFY1,HSFX3,21.16255,-0.0029596462845802307,g1_to_g2,-0.06280890107154846,
HSFX3,HSFY1,21.16255,-0.0028026532381772995,g2_to_g1,-0.02071000076830387,
HSFY1,HSFX1,28.17545,0.0018419004045426846,g1_to_g2,-0.008658520877361298,
HSFX1,HSFY1,28.17545,-0.003342505544424057,g2_to_g1,-0.02071000076830387,
HSFY1,HSFX2,28.17545,-0.0031781084835529327,g1_to_g2,-0.04327138513326645,
HSFX2,HSFY1,28.17545,-0.0025056060403585434,g2_to_g1,-0.02071000076830387,
TGIF2LY,TGIF2LX,74.5273,-0.0009338483214378357,g1_to_g2,-0.013313702307641506,
TGIF2LX,TGIF2LY,74.5273,-0.002158576622605324,g2_to_g1,-0.02240351028740406,
TGIF2LY,TGIF1,25.88335,0.01788240671157837,g1_to_g2,-0.7410387992858887,
TGIF1,TGIF2LY,25.88335,-0.0010880324989557266,g2_to_g1,-0.02240351028740406,
TGIF2LY,TGIF2,28.87445,-1.2100951820611954,g1_to_g2,-0.1375422328710556,
TGIF2,TGIF2LY,28.87445,-0.0007985178381204605,g2_to_g1,-0.02240351028740406,
CDY2A,CDYL,63.2263,-1.8667484819889069,g1_to_g2,1.568264126777649,
CDY2A,CDYL2,39.777,-0.26901060342788696,g1_to_g2,1.1552820205688477,
SRY,SOX15,28.04115,1.0616208016872406,g1_to_g2,-0.7682793736457825,
SOX15,SRY,28.04115,0.10946685075759888,g2_to_g1,-0.6408021450042725,
SRY,SOX14,26.29905,-0.008060246706008911,g1_to_g2,-0.14736953377723694,
SOX14,SRY,26.29905,0.21884959936141968,g2_to_g1,-0.6408021450042725,
SRY,SOX3,23.93275,-0.4912775158882141,g1_to_g2,0.9386106133460999,
SOX3,SRY,23.93275,0.15562456846237183,g2_to_g1,-0.6408021450042725,
SRY,SOX7,20.19405,0.6111538410186768,g1_to_g2,1.1696677207946777,
SOX7,SRY,20.19405,1.3343722820281982,g2_to_g1,-0.6408021450042725,
SRY,SOX2,25.3781,0.6445072442293167,g1_to_g2,0.07166658341884613,
SOX2,SRY,25.3781,0.42678385972976685,g2_to_g1,-0.6408021450042725,
SRY,SOX18,20.26655,-0.01291152834892273,g1_to_g2,-0.19158592820167542,
SOX18,SRY,20.26655,0.028749287128448486,g2_to_g1,-0.6408021450042725,
SRY,SOX17,21.22055,-0.0016359835863113403,g1_to_g2,-0.07884366065263748,
SOX17,SRY,21.22055,0.5111852139234543,g2_to_g1,-0.6408021450042725,
SRY,SOX21,26.428,0.2567955553531647,g1_to_g2,-0.5750501155853271,
SOX21,SRY,26.428,0.4576559513807297,g2_to_g1,-0.6408021450042725,
SRY,SOX1,25.3623,-0.009874507784843445,g1_to_g2,-0.2267378866672516,
SOX1,SRY,25.3623,0.9274464249610901,g2_to_g1,-0.6408021450042725,
RPS4Y1,RPS4Y2,93.9164,0.0022279173135757446,g1_to_g2,-0.1492411196231842,
ZFY,ZNF711,58.33415,1.1038261651992798,g1_to_g2,-0.3658571243286133,
ZNF711,ZFY,58.33415,-0.964889645576477,g2_to_g1,1.4477609395980835,
ZFY,ZFX,92.65315,0.2852524518966675,g1_to_g2,0.7406796216964722,
ZFX,ZFY,92.65315,-1.3267684131860733,g2_to_g1,1.4477609395980835,
UTY,KDM6B,27.975,0.5568887889385223,g1_to_g2,-0.6763076186180115,
KDM6B,UTY,27.975,-0.7102338671684265,g2_to_g1,-0.6024495959281921,
UTY,KDM6A,86.22795,-0.661794064566493,g1_to_g2,-0.02801060862839222,
KDM6A,UTY,86.22795,-0.055274009704589844,g2_to_g1,-0.6024495959281921,
TMSB4Y,TMSB4X,93.1818,1.8024823665618896,g1_to_g2,-1.265275478363037,
TMSB4X,TMSB4Y,93.1818,0.06332913041114807,g2_to_g1,-0.372089147567749,
VCY,VCY1B,100.0,0.0027431249618530273,g1_to_g2,-0.12988559901714325,
VCY,VCX2,83.56835,0.0033280551433563232,g1_to_g2,-0.11002729088068008,
