dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm,n_perturbations,empirical_pval,empirical_fdr
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.0002300052136779,,False,-0.0478128510411965,0.7499918155713913,5.51853513898,,,
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906,,False,-0.0790931117793528,,5.51633038683,,,
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,,False,,,1.516015147,,,
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,,False,-0.1693203308311966,,3.06350294231,,,
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,0.5780508969525953,True,0.356310501267467,,8.40211672084,2057.0,0.1327175498298493,0.4414195430238211
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.0030331396673439,,False,,0.0794027756532192,4.33842441478,,,
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.0010979696355211,2.944456190033175,True,-0.056244462890841,,5.28392177231,2057.0,0.002916869227029655,0.03500243072435586
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.0001603224271787,0.1549573604128571,True,0.0655836623050956,,4.10013667129,2057.0,0.4117647058823529,0.6176470588235294
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.004487063724405,-0.0051674586507158,True,-0.1841667848852796,,4.95466162084,2057.0,0.6067087992221682,0.7280505590666019
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.0007136003456755,,False,,,0.0976107966264,,,
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,0.700195750987388,True,0.0292659785391318,,5.17112674665,2057.0,0.19105493437044238,0.4414195430238211
SOS1,SOS2,SOS1-SOS2,69.8687,chr14_q,chr2_p,0.00432424980807,,False,-0.1158724293078577,,3.43696133783,,,
ACO2,IREB2,ACO2-IREB2,25.0611,chr15_q,chr22_q,0.0068531489811383,,False,-0.0721191638779459,,4.75328361646,,,
DYNC1H1,DNAH9,DYNC1H1-DNAH9,22.47735,chr17_p,chr14_q,0.0011157315668222,,False,,,0.0,,,
NDE1,NDEL1,NDE1-NDEL1,55.89445,chr17_p,chr16_p,4.72316759020271e-06,,False,-0.0917370784814136,,4.58436125252,,,
SMARCA5,CHD3,SMARCA5-CHD3,21.54095,chr17_p,chr4_q,0.0083293503260604,,False,-0.0084241764073114,,4.61647532878,,,
RAB10,RAB31,RAB10-RAB31,43.5513,chr18_p,chr2_p,0.004540498776208,,False,-0.1180117691540236,,4.83035674742,,,
TUBB4B,TUBB6,TUBB4B-TUBB6,90.68475,chr18_p,chr9_q,0.0012610161825704,,False,0.1774844233536187,,6.80387279762,,,
DDX39B,DDX39A,DDX39B-DDX39A,89.59075,chr19_p,chr6_p,0.0062202716201176,,False,0.3054844186120077,,7.27947129564,,,
RAB10,RAB8A,RAB10-RAB8A,68.3249,chr19_p,chr2_p,0.0079662974595624,,False,0.172082832958891,,4.9406366072,,,
RAB6A,RAB8A,RAB6A-RAB8A,37.10865,chr19_p,chr11_q,0.0093409222059185,-0.1284487721886178,True,0.172082832958891,,4.9406366072,2057.0,0.4919786096256685,0.6559714795008913
FOSL1,FOSB,FOSL1-FOSB,37.8971,chr19_q,chr11_q,0.0004032182172353,,False,,,1.87184364851,,,
NAPG,NAPA,NAPG-NAPA,24.4013,chr19_q,chr18_p,0.0004511966983095,-0.4966905361400284,True,-0.1781615370525679,-0.9542613656200264,5.96347412397,2057.0,0.810889645114244,0.8108896451142439
PPP2CA,PPP5C,PPP2CA-PPP5C,28.5594,chr19_q,chr5_q,0.0063165169124381,-0.875957858048106,True,0.3664982432943828,,6.22997238511,2057.0,0.7476908118619349,0.8108896451142439
CFL1,DSTN,CFL1-DSTN,71.29975,chr20_p,chr11_q,0.0009327599589605,0.9615175695032514,True,-0.272327241382066,,6.65205620361,2057.0,0.20612542537676226,0.4414195430238211
DDX5,DDX17,DDX5-DDX17,64.0587,chr22_q,chr17_q,0.0004006975777489,1.2824278762393178,True,-0.0461009433322133,,7.34074028063,2057.0,0.0850753524550316,0.4414195430238211
ARF1,ARF4,ARF1-ARF4,79.779,chr3_p,chr1_q,0.0004882820119225,,False,-0.1154531424314022,0.3347131434588804,7.05017516041,,,
EIF1,EIF1B,EIF1-EIF1B,92.0354,chr3_p,chr17_q,0.0001942441658818,0.79079045839565,True,-0.2655137378718157,,7.73355771374,2057.0,0.22070977151191054,0.4414195430238211
KLF5,KLF3,KLF5-KLF3,24.41635,chr4_p,chr13_q,0.0019307460561074,,False,-0.2559210600997876,,4.30961277245,,,
