dep_gene,paralog_gene,mean_identical_score,delta_z,direction
USP9X,USP9Y,91.6422,-0.6791403070092201,g2_to_g1
HSFY2,HSFX4,21.16255,-0.4195450618863106,g1_to_g2
HSFY2,HSFX3,21.16255,-0.4897264763712883,g1_to_g2
KDM5D,KDM5C,85.5154,-0.2472383864223957,g1_to_g2
KDM5C,KDM5D,85.5154,0.10159516334533691,g2_to_g1
KDM5D,KDM5A,49.2871,0.3532937504351139,g1_to_g2
KDM5A,KDM5D,49.2871,-0.2856367230415344,g2_to_g1
KDM5D,KDM5B,44.7617,-0.43607358634471893,g1_to_g2
KDM5B,KDM5D,44.7617,0.18824441730976105,g2_to_g1
TGIF2LY,TGIF2LX,74.5273,-0.061127765104174614,g1_to_g2
TGIF2LX,TGIF2LY,74.5273,0.0,g2_to_g1
TGIF2LY,TGIF1,25.88335,0.5037065297365189,g1_to_g2
TGIF1,TGIF2LY,25.88335,0.0,g2_to_g1
TGIF2LY,TGIF2,28.87445,-1.6411258969455957,g1_to_g2
TGIF2,TGIF2LY,28.87445,0.0,g2_to_g1
SRY,SOX15,28.04115,-0.0922970362007618,g1_to_g2
SOX15,SRY,28.04115,0.0,g2_to_g1
SRY,SOX14,26.29905,-0.038590530515648425,g1_to_g2
SOX14,SRY,26.29905,0.0,g2_to_g1
SRY,SOX3,23.93275,-0.0340177221223712,g1_to_g2
SOX3,SRY,23.93275,0.0,g2_to_g1
SRY,SOX7,20.19405,0.3274197429418564,g1_to_g2
SOX7,SRY,20.19405,0.0,g2_to_g1
SRY,SOX2,25.3781,-0.6960057616233826,g1_to_g2
SOX2,SRY,25.3781,0.0,g2_to_g1
SRY,SOX18,20.26655,-0.797337532043457,g1_to_g2
SOX18,SRY,20.26655,0.0,g2_to_g1
SRY,SOX17,21.22055,-0.05419224686920643,g1_to_g2
SOX17,SRY,21.22055,0.0,g2_to_g1
SRY,SOX21,26.428,-0.15451612113974988,g1_to_g2
SOX21,SRY,26.428,0.0,g2_to_g1
SRY,SOX1,25.3623,-0.27562117762863636,g1_to_g2
SOX1,SRY,25.3623,0.0,g2_to_g1
ZFY,ZNF711,58.33415,-0.5464029610157013,g1_to_g2
ZNF711,ZFY,58.33415,0.25070175528526306,g2_to_g1
ZFY,ZFX,92.65315,0.6603332459926605,g1_to_g2
ZFX,ZFY,92.65315,1.7915107607841492,g2_to_g1
UTY,KDM6B,27.975,0.9988463521003723,g1_to_g2
KDM6B,UTY,27.975,-1.3451587334275246,g2_to_g1
UTY,KDM6A,86.22795,1.786644347012043,g1_to_g2
KDM6A,UTY,86.22795,0.14749108999967575,g2_to_g1
TMSB4Y,TMSB4X,93.1818,-0.18830811604857445,g1_to_g2
TMSB4X,TMSB4Y,93.1818,-0.47430350445210934,g2_to_g1
TBL1X,TBL1Y,87.02415,-0.183457151055336,g2_to_g1
TBL1XR1,TBL1Y,85.33325,-0.183457151055336,g2_to_g1
CES2,NLGN4Y,27.46275,1.1219184584915638,g2_to_g1
CES3,NLGN4Y,26.0852,-0.235001128166914,g2_to_g1
NLGN3,NLGN4Y,70.9062,4.236805099993944,g2_to_g1
CES4A,NLGN4Y,27.9998,-0.4521464817225933,g2_to_g1
NLGN2,NLGN4Y,61.87915,-0.4521464817225933,g2_to_g1
MIPEP,NLN,23.9953,0.04422961175441742,g1_to_g2
NLN,MIPEP,23.9953,-0.9736896827816963,g2_to_g1
MIPEP,THOP1,23.54475,-1.2304657548666,g1_to_g2
THOP1,MIPEP,23.54475,-0.5832483842968941,g2_to_g1
KPNA3,KPNA1,45.9042,-0.466602373868227,g1_to_g2
KPNA1,KPNA3,45.9042,-1.857295647263527,g2_to_g1
KPNA3,KPNA5,46.9947,-0.14795724675059319,g1_to_g2
KPNA5,KPNA3,46.9947,-0.091778714209795,g2_to_g1
KPNA3,KPNA6,46.74545,-0.014429010450839996,g1_to_g2
KPNA6,KPNA3,46.74545,0.3273358792066574,g2_to_g1
KPNA3,KPNA4,85.7965,2.669905424118042,g1_to_g2
KPNA4,KPNA3,85.7965,0.3314359039068222,g2_to_g1
KPNA3,KPNA2,50.0981,0.32261407375335693,g1_to_g2
KPNA2,KPNA3,50.0981,1.296559676527977,g2_to_g1
KPNA3,KPNA7,42.2382,-0.21654793620109558,g1_to_g2
CRYL1,HADH,21.17035,0.533279225230217,g1_to_g2
HADH,CRYL1,21.17035,-0.8691161870956421,g2_to_g1
