dep_gene,paralog_gene,mean_identical_score,delta_z,group,empirical_pval,empirical_fdr,rank,rank_pct,n_perturbations
HSPA5,HYOU1,22.77045,9.021996214804282,Non-significant background,0.0004861448711716091,0.17393183168584236,1,0.062111801242236,2057.0
PTBP1,PTBP2,72.28395,5.688167607834682,Non-significant background,0.0004861448711716091,0.17393183168584236,2,0.124223602484472,2057.0
HNRNPH1,HNRNPH3,56.8025,5.1868233801583425,Non-significant background,0.0004861448711716091,0.17393183168584236,3,0.186335403726708,2057.0
PSMD2,PSMD1,20.216,4.856484319783753,Non-significant background,0.0009722897423432182,0.17393183168584236,4,0.2484472049689441,2057.0
DDX18,DDX50,20.5156,4.195506943317147,Non-significant background,0.0009722897423432182,0.17393183168584236,5,0.3105590062111801,2057.0
PSMC1,PSMC4,46.6507,4.189078654784179,Non-significant background,0.004375303840544483,0.3242586290714633,6,0.3726708074534161,2057.0
PSMC5,PSMC3,41.00925,4.107555758481452,Non-significant background,0.0004861448711716091,0.17393183168584236,7,0.4347826086956521,2057.0
PSMC2,PSMC1,40.55245,3.8912513228325567,Non-significant background,0.003403014098201264,0.3043807054502242,8,0.4968944099378882,2057.0
HSPA8,HSPA1A,85.62675,3.781446882538148,Non-significant background,0.007292173067574137,0.3242586290714633,9,0.5590062111801243,2057.0
UBC,UBB,66.424,3.69885484247101,Non-significant background,0.009236752552260573,0.3242586290714633,10,0.6211180124223602,2057.0
PSMC4,PSMC1,46.6507,3.668862816896888,Non-significant background,0.003403014098201264,0.3043807054502242,11,0.6832298136645962,2057.0
TRA2B,TRA2A,69.8323,3.577242401364439,Non-significant background,0.0009722897423432182,0.17393183168584236,12,0.7453416149068323,2057.0
PSMC2,PSMC4,37.1443,3.5681162734212646,Non-significant background,0.008264462809917356,0.3242586290714633,13,0.8074534161490683,2057.0
EXOSC5,EXOSC6,26.9681,3.53038098597301,Non-significant background,0.0009722897423432182,0.17393183168584236,14,0.8695652173913043,2057.0
PSMC3,PSMC4,38.29605,3.460132207411743,Non-significant background,0.010209042294603793,0.3242586290714633,15,0.9316770186335404,2057.0
PSMC5,PSMC1,44.04275,3.430920359697791,Non-significant background,0.004861448711716091,0.3242586290714633,16,0.9937888198757764,2057.0
SFPQ,PSPC1,48.0675,3.410425360767393,Non-significant background,0.0019445794846864365,0.3043807054502242,17,1.0559006211180124,2057.0
PSMB6,PSMB7,26.5003,3.390345623992264,Non-significant background,0.0106951871657754,0.3242586290714633,18,1.1180124223602486,2057.0
DDX47,DDX50,20.79475,3.3896757493931973,Non-significant background,0.009236752552260573,0.3242586290714633,19,1.1801242236024845,2057.0
EIF4A3,DDX19A,32.581,3.2638548449356826,Non-significant background,0.002916869227029655,0.3043807054502242,20,1.2422360248447204,2057.0
PSMB5,PSMB7,22.2372,3.213403215907394,Non-significant background,0.013125911521633447,0.3242586290714633,21,1.3043478260869563,2057.0
PSMC6,PSMC4,39.208,3.1665395159902343,Non-significant background,0.012153621779290228,0.3242586290714633,22,1.3664596273291925,2057.0
HSPA5,HSPA13,30.86105,3.1612556001733254,Non-significant background,0.007292173067574137,0.3242586290714633,23,1.4285714285714286,2057.0
PSMC4,PSMC3,38.29605,3.1595505590490793,Non-significant background,0.003403014098201264,0.3043807054502242,24,1.4906832298136643,2057.0
PSMB3,PSMB7,20.37155,3.1232235341294405,Non-significant background,0.014098201263976665,0.3242586290714633,25,1.5527950310559009,2057.0
HSPA9,HSPA13,27.8682,3.1055870077203225,Non-significant background,0.008750607681088965,0.3242586290714633,26,1.6149068322981366,2057.0
PSMC3,PSMC1,42.77595,3.0930547686485967,Non-significant background,0.006319883325230919,0.3242586290714633,27,1.6770186335403725,2057.0
PSMA5,PSMA7,35.5901,3.0804691432436946,Non-significant background,0.003403014098201264,0.3043807054502242,28,1.7391304347826086,2057.0
PSMC1,PSMC3,42.77595,2.990198504453132,Non-significant background,0.004375303840544483,0.3242586290714633,29,1.8012422360248446,2057.0
HSPA9,HSPA5,48.62925,2.987752902714553,Non-significant background,0.007292173067574137,0.3242586290714633,30,1.8633540372670807,2057.0
RPS16,MRPS9,24.37385,2.9505658282069573,Non-significant background,0.008264462809917356,0.3242586290714633,31,1.9254658385093169,2057.0
PSMA2,PSMA5,31.16465,2.949562084728664,Non-significant background,0.003889158969372873,0.3242586290714633,32,1.9875776397515528,2057.0
