dep_gene,paralog_gene,mean_identical_score,delta_z,group,empirical_pval,empirical_fdr,rank,rank_pct,n_perturbations
HSPA5,HYOU1,22.77045,8.044167840050964,Non-significant background,0.0004178854993731718,0.08882388447787529,1,0.0522739153162571,2393.0
HYOU1,HSPA5,22.77045,5.202050407149139,Non-significant background,0.0071040534893439195,0.22278777582155604,2,0.1045478306325143,2393.0
EIF2S3,EEF1A1,25.48475,2.8972189633995113,Non-significant background,0.03928123694107814,0.42216295656338476,3,0.1568217459487715,2393.0
CHMP2A,CHMP1B,29.0654,2.7801430991882135,Non-significant background,0.0004178854993731718,0.08882388447787529,4,0.2090956612650287,2393.0
PSMC1,PSMC4,46.6507,2.627811633530431,Non-significant background,0.0025073129962390303,0.1998537400752194,5,0.2613695765812859,2393.0
PSMC5,PSMC4,39.8143,2.5903627504737905,Non-significant background,0.0029251984956122023,0.1998537400752194,6,0.3136434918975431,2393.0
PSMC2,PSMC4,37.1443,2.5681674112709096,Non-significant background,0.003343083994985374,0.1998537400752194,7,0.3659174072138003,2393.0
PTBP1,PTBP2,72.28395,2.3251725184493877,Non-significant background,0.0008357709987463436,0.11420213718583964,8,0.4181913225300575,2393.0
PSMC6,PSMC5,45.55545,2.0458467881254574,Non-significant background,0.0004178854993731718,0.08882388447787529,9,0.4704652378463147,2393.0
PSMC6,PSMC4,39.208,2.0022070040138296,Non-significant background,0.007521938988717091,0.2284042743716793,10,0.5227391531625719,2393.0
GSPT1,EEF1A1,29.6882,1.840068003430945,Non-significant background,0.08566652737150021,0.642666928869333,11,0.575013068478829,2393.0
HNRNPA1,HNRNPA3,68.5377,1.818524701874076,Non-significant background,0.0008357709987463436,0.11420213718583964,12,0.6272869837950863,2393.0
NEDD8,RPS27A,42.2009,1.7852584716353497,Non-significant background,0.0192227329711659,0.31429989892171256,13,0.6795608991113434,2393.0
HSPA5,HSPA13,30.86105,1.7637105880954411,Non-significant background,0.0008357709987463436,0.11420213718583964,14,0.7318348144276007,2393.0
HSPA5,HSPA9,48.62925,1.6663494696554082,Non-significant background,0.0062682824905975765,0.2220597111946882,15,0.7841087297438577,2393.0
RPS27A,UBC,34.23495,1.6427539225202057,Non-significant background,0.04513163393230255,0.4427529010897168,16,0.836382645060115,2393.0
PSMC2,PSMC5,45.10035,1.6034480015806576,Non-significant background,0.0008357709987463436,0.11420213718583964,17,0.8886565603763722,2393.0
HBS1L,EEF1A1,29.7372,1.602030298009497,Non-significant background,0.10906811533639783,0.7043077142200658,18,0.9409304756926294,2393.0
HNRNPA1,HNRNPA2B1,60.7038,1.5939044366089197,Non-significant background,0.0004178854993731718,0.08882388447787529,19,0.9932043910088864,2393.0
HNRNPH1,HNRNPH3,56.8025,1.5809940454862397,Non-significant background,0.0004178854993731718,0.08882388447787529,20,1.0454783063251438,2393.0
PSMC1,PSMC5,44.04275,1.5722646395735165,Non-significant background,0.0012536564981195152,0.13323582671681292,21,1.097752221641401,2393.0
CALR,CANX,36.78545,1.540411680773832,Non-significant background,0.010865022983702465,0.24743796390265257,22,1.150026136957658,2393.0
ZC3H4,ZC3H6,34.6632,1.5299242060591216,Non-significant background,0.0012536564981195152,0.13323582671681292,23,1.2023000522739151,2393.0
PSMC3,PSMC4,38.29605,1.5131281246574453,Non-significant background,0.012536564981195153,0.2725278273752992,24,1.2545739675901726,2393.0
PSMB5,PSMB7,22.2372,1.4854876072013912,Non-significant background,0.0037609694943585457,0.1998537400752194,25,1.3068478829064296,2393.0
PSMC2,PSMC6,41.7254,1.480020665731102,Non-significant background,0.0012536564981195152,0.13323582671681292,26,1.3591217982226869,2393.0
PSMC2,PSMC1,40.55245,1.3998096916404532,Non-significant background,0.0008357709987463436,0.11420213718583964,27,1.411395713538944,2393.0
UBC,UBB,66.424,1.385785482567735,Non-significant background,0.02173004596740493,0.32991728520353675,28,1.4636696288552014,2393.0
MAP2K7,MAP3K2,20.2108,1.3674029699040915,Non-significant background,0.0004178854993731718,0.08882388447787529,29,1.5159435441714584,2393.0
PSMC4,PSMC5,39.8143,1.3488703648619076,Non-significant background,0.0029251984956122023,0.1998537400752194,30,1.5682174594877154,2393.0
PSMA6,PSMA4,30.40135,1.3351292209638184,Non-significant background,0.0004178854993731718,0.08882388447787529,31,1.6204913748039729,2393.0
RPS27,RPS27L,96.4286,1.323955982307402,Non-significant background,0.2118679481821981,0.8443820518178019,32,1.67276529012023,2393.0
NEDD8,UBA52,45.3559,1.2833896967251068,Non-significant background,0.07229419139155871,0.585345682228676,33,1.7250392054364874,2393.0
LAMB1,LAMC1,21.3836,1.2819180916388109,Non-significant background,0.017969076473046384,0.301533713095945,34,1.7773131207527444,2393.0
PSMA1,PSMA5,29.0236,1.2803755141799158,Non-significant background,0.0029251984956122023,0.1998537400752194,35,1.8295870360690016,2393.0
PSMB6,PSMB4,22.72015,1.1933688096066293,Non-significant background,0.004178854993731718,0.1998537400752194,36,1.8818609513852589,2393.0
PSMD2,PSMD1,20.216,1.180925618357119,Non-significant background,0.004178854993731718,0.1998537400752194,37,1.934134866701516,2393.0
PSMC5,PSMC6,45.55545,1.1686047550102767,Non-significant background,0.005432511491851233,0.21944724400416246,38,1.986408782017773,2393.0
PSMC3,PSMC5,41.00925,1.1536725441984554,Non-significant background,0.0058503969912244045,0.21944724400416246,39,2.03868269733403,2393.0
PSMC4,PSMC6,39.208,1.15097000559774,Non-significant background,0.0058503969912244045,0.21944724400416246,40,2.0909566126502876,2393.0
TMED2,TMED9,22.15305,1.1236364254875717,Non-significant background,0.0037609694943585457,0.1998537400752194,41,2.1432305279665447,2393.0
EFTUD2,EEF2,37.1935,1.101299292715871,Non-significant background,0.03468449644797326,0.3903025982645461,42,2.195504443282802,2393.0
RPS27A,UBB,46.3414,1.0992348415078594,Non-significant background,0.03092352695361471,0.3816561745952577,43,2.247778358599059,2393.0
THRAP3,BCLAF1,38.7335,1.0858672349364498,Non-significant background,0.0004178854993731718,0.08882388447787529,44,2.300052273915316,2393.0
PSMB3,PSMB7,20.37155,1.0736155778968868,Non-significant background,0.010865022983702465,0.24743796390265257,45,2.3523261892315737,2393.0
PSMA5,PSMA4,36.3126,1.0709175663007324,Non-significant background,0.0029251984956122023,0.1998537400752194,46,2.4046001045478307,2393.0
TMED10,TMED9,33.08075,1.0300400862618029,Non-significant background,0.0062682824905975765,0.2220597111946882,47,2.4568740198640877,2393.0
PSMC1,PSMC6,40.68475,1.0120940442940292,Non-significant background,0.008775595486836606,0.23449505502159074,48,2.509147935180345,2393.0
PSMA3,PSMA5,31.07315,1.0021478869025415,Non-significant background,0.0058503969912244045,0.21944724400416246,49,2.561421850496602,2393.0
PSMB6,PSMB7,26.5003,0.9869982273185788,Non-significant background,0.012536564981195153,0.2725278273752992,50,2.6136957658128592,2393.0
PSMB6,PSMB5,27.95235,0.9833966269023502,Non-significant background,0.0058503969912244045,0.21944724400416246,51,2.6659696811291167,2393.0
RAC3,RND3,40.0188,0.9724438238097018,Non-significant background,0.1299623903050564,0.7466007587194381,52,2.7182435964453737,2393.0
PSMA4,PSMA5,36.3126,0.972400043160171,Non-significant background,0.006686167989970748,0.22278777582155604,53,2.770517511761631,2393.0
PSMB1,PSMB5,21.86705,0.9645847453601444,Non-significant background,0.006686167989970748,0.22278777582155604,54,2.822791427077888,2393.0
RSL24D1,RPL24,33.13665,0.9644462944165124,Non-significant background,0.0902632678646051,0.6443045948693641,55,2.8750653423941452,2393.0
HUWE1,NEDD4L,22.8276,0.9624154963198704,Non-significant background,0.025908900961136648,0.34659949327730355,56,2.9273392577104027,2393.0
PSMC5,PSMC1,44.04275,0.9481829139915274,Non-significant background,0.003343083994985374,0.1998537400752194,57,2.9796131730266597,2393.0
CHMP4B,CHMP5,30.70365,0.9281642189688192,Non-significant background,0.042206435436690344,0.4364373567048034,58,3.0318870883429168,2393.0
PSMB5,PSMB6,27.95235,0.921694339430318,Non-significant background,0.00919348098620978,0.23449505502159074,59,3.0841610036591742,2393.0
PSMB7,PSMB5,22.2372,0.9195192231662356,Non-significant background,0.008357709987463435,0.23449505502159074,60,3.136434918975431,2393.0
PSMA2,PSMB5,20.18945,0.90880504984928,Non-significant background,0.008775595486836606,0.23449505502159074,61,3.1887088342916883,2393.0
HNRNPU,HNRNPUL2,40.9405,0.8918977970955894,Aneuploidy vulnerability,0.0004178854993731718,0.08882388447787529,62,3.2409827496079457,2393.0
ZC3H8,ZC3H6,31.8671,0.8860583823133941,Non-significant background,0.015461763476807356,0.29137554627789,63,3.293256664924203,2393.0
PSMC3,PSMC1,42.77595,0.8814283940521048,Non-significant background,0.00459674049310489,0.20937058484070603,64,3.34553058024046,2393.0
PSMA1,PSMA2,29.0728,0.8801478780053843,Non-significant background,0.004178854993731718,0.1998537400752194,65,3.3978044955567173,2393.0
PABPC1,RBMS1,22.1946,0.8686083518972737,Non-significant background,0.003343083994985374,0.1998537400752194,66,3.4500784108729747,2393.0
WDR5,DAW1,22.9655,0.8617665608825449,Non-significant background,0.01713330547430004,0.3006973703884035,67,3.5023523261892313,2393.0
EXOSC6,EXOSC4,25.21385,0.8587169031784959,Non-significant background,0.002089427496865859,0.1998537400752194,68,3.554626241505489,2393.0
TMED2,TMED3,30.1878,0.8434741045205065,Non-significant background,0.02632678646050982,0.3473320172341744,69,3.6069001568217463,2393.0
PSMA3,PSMA1,25.1025,0.8288314460006614,Non-significant background,0.0029251984956122023,0.1998537400752194,70,3.659174072138003,2393.0
EIF1,EIF1B,92.0354,0.8179064363133736,Aneuploidy vulnerability,0.06184705390722942,0.5500561653446405,71,3.71144798745426,2393.0
RPS27A,UBA52,66.1358,0.8085852953274018,Non-significant background,0.23861262014208107,0.8714073019414819,72,3.7637219027705178,2393.0
CRNKL1,XAB2,21.3953,0.8058176806044335,Non-significant background,0.003343083994985374,0.1998537400752194,73,3.8159958180867743,2393.0
PSMC6,PSMC1,40.68475,0.803269121381359,Non-significant background,0.0058503969912244045,0.21944724400416246,74,3.868269733403032,2393.0
PSMA4,PSMA1,26.33625,0.7929217932907004,Non-significant background,0.004178854993731718,0.1998537400752194,75,3.9205436487192897,2393.0
LTBP4,LTBP1,33.3354,0.7844174181075337,Non-significant background,0.023401587964897618,0.3443633675142242,76,3.972817564035546,2393.0
ZBTB4,ZBTB38,22.89105,0.772850442338117,Non-significant background,0.008775595486836606,0.23449505502159074,77,4.025091479351803,2393.0
PSMA3,PSMA2,27.4535,0.7538903988145579,Non-significant background,0.0071040534893439195,0.22278777582155604,78,4.077365394668061,2393.0
RRM2,RRM2B,75.0628,0.7388090447175693,Non-significant background,0.2085248641872127,0.8398064530318693,79,4.129639309984317,2393.0
ILF3,ZFR,20.2424,0.7332531814698506,Non-significant background,0.024655244463017135,0.34659949327730355,80,4.181913225300575,2393.0
HSPA8,HSPA1A,85.62675,0.7261034883424424,Non-significant background,0.03677392394483912,0.40430181900274265,81,4.234187140616832,2393.0
DDX46,EIF4A2,20.21335,0.7252528664942545,Non-significant background,0.11073965733389052,0.7043077142200658,82,4.286461055933089,2393.0
PSMA1,PSMA4,26.33625,0.7194217042935913,Non-significant background,0.007939824488090262,0.23449505502159074,83,4.338734971249346,2393.0
PSMA7,PSMA1,31.7299,0.7115754602638145,Non-significant background,0.0071040534893439195,0.22278777582155604,84,4.391008886565604,2393.0
SUMO2,SUMO3,91.0577,0.7103124057667138,Non-significant background,0.001671541997492687,0.16829788637913212,85,4.44328280188186,2393.0
RPLP0,RPLP2,28.44055,0.6794739731229269,Non-significant background,0.24655244463017134,0.8734348640324403,86,4.495556717198118,2393.0
PSMB5,PSMB1,21.86705,0.6763462873462301,Non-significant background,0.013372335979941497,0.277691512525568,87,4.547830632514375,2393.0
CDC40,WDR25,20.679,0.6740741736542147,Non-significant background,0.00919348098620978,0.23449505502159074,88,4.600104547830632,2393.0
PSMA4,PSMA6,30.40135,0.64343993194455,Non-significant background,0.00961136648558295,0.23572492419128444,89,4.652378463146889,2393.0
PSMA4,PSMA2,33.63545,0.6388016379617442,Non-significant background,0.011282908483075638,0.25393181091910233,90,4.704652378463147,2393.0
PSMD1,PSMD2,20.216,0.638345269520561,Non-significant background,0.015879648976180525,0.29137554627789,91,4.7569262937794035,2393.0
PSMA7,PSMA5,35.5901,0.6380925513808436,Non-significant background,0.0162975344755537,0.29137554627789,92,4.809200209095661,2393.0
PSMA3,PSMA4,27.91075,0.6369956331265991,Non-significant background,0.010447137484329294,0.24743796390265257,93,4.861474124411918,2393.0
PSMC4,PSMC1,46.6507,0.6317260000434683,Non-significant background,0.008357709987463435,0.23449505502159074,94,4.913748039728175,2393.0
PSMA3,PSMA6,29.15115,0.617017014101685,Non-significant background,0.010865022983702465,0.24743796390265257,95,4.966021955044432,2393.0
RBX1,RNF7,44.3666,0.6156224720162125,Non-significant background,0.109486000835771,0.7043077142200658,96,5.01829587036069,2393.0
PSMA7,PSMA2,36.54535,0.6108720339082468,Non-significant background,0.01211867948182198,0.26957016103169124,97,5.0705697856769465,2393.0
DDX5,DDX17,64.0587,0.6089548074658244,Aneuploidy vulnerability,0.0162975344755537,0.29137554627789,98,5.122843700993204,2393.0
PSMD11,COPS2,25.91125,0.6027880742420586,Non-significant background,0.017551190973673213,0.301533713095945,99,5.175117616309461,2393.0
TRA2B,TRA2A,69.8323,0.6021924172411672,Non-significant background,0.0062682824905975765,0.2220597111946882,100,5.2273915316257185,2393.0
PSMB7,PSMB4,20.34445,0.599924819852906,Non-significant background,0.01880484747179273,0.3101178725305129,101,5.2796654469419755,2393.0
KLF7,KLF12,27.25445,0.5987216595314049,Non-significant background,0.013372335979941497,0.277691512525568,102,5.331939362258233,2393.0
U2AF1,ZRSR2,32.45505,0.5970522058229947,Non-significant background,0.03134141245298788,0.38188612753226636,103,5.38421327757449,2393.0
ATP2A2,ATP2B1,27.1353,0.5962588025194306,Non-significant background,0.0442958629335562,0.4390569212015182,104,5.4364871928907474,2393.0
UBA52,UBC,42.18925,0.5879452164750546,Non-significant background,0.1763476807354785,0.8125508868785916,105,5.4887611082070045,2393.0
UBA52,RPS27A,66.1358,0.5732193287882882,Non-significant background,0.19598829920601754,0.8294814521706009,106,5.541035023523262,2393.0
