dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
CHRNB1,CHRNB3,33.85325,34.168170142918825,Non-significant background,1,0.003606592851732968
HMSD,SERPINB10,22.8259,21.0380327552557,Non-significant background,2,0.007213185703465936
CASK,MPP3,24.12755,17.785209589637816,Non-significant background,3,0.010819778555198905
CYP4V2,CYP4X1,31.92255,16.782792574726045,Non-significant background,4,0.014426371406931872
CEACAM4,CEACAM3,50.013,15.974329233169556,Non-significant background,5,0.01803296425866484
TMPRSS5,PRSS22,26.1795,15.749417908489704,Non-significant background,6,0.02163955711039781
CSNK1G1,CSNK1A1L,43.76365,14.866006512194872,Non-significant background,7,0.025246149962130777
PTBP1,PTBP2,72.28395,14.286213552579284,Non-significant background,8,0.028852742813863744
NCEH1,AADACL4,30.1841,13.788177371956408,Non-significant background,9,0.03245933566559671
SMARCA4,SMARCA1,23.35745,13.11917034164071,Non-significant background,10,0.03606592851732968
CALCB,IAPP,29.62045,12.920201562345028,Non-significant background,11,0.039672521369062644
CRYZL1,VAT1L,20.22005,11.851157523691654,Non-significant background,12,0.04327911422079562
KLF8,KLF17,20.0858,11.634582336060705,Non-significant background,13,0.04688570707252858
NDST2,HS3ST6,21.0937,11.47373141720891,Non-significant background,14,0.050492299924261554
HSD17B13,SDR16C5,40.4029,10.740000769495964,Non-significant background,15,0.05409889277599452
SOX21,SOX10,21.63415,10.355306543409824,Non-significant background,16,0.05770548562772749
HSPA8,HSPA1B,85.62675,10.198397368192673,Non-significant background,17,0.06131207847946045
ST14,TMPRSS11B,20.54725,9.621572136878967,Non-significant background,18,0.06491867133119342
SRGAP2C,SRGAP1,55.03045,9.570326328277588,Non-significant background,19,0.06852526418292638
PLEKHG4,ARHGEF40,24.79125,9.230226058978587,Non-significant background,20,0.07213185703465937
HNRNPA1,HNRNPA3,68.5377,9.002700082957745,Non-significant background,21,0.07573844988639232
TCF15,BHLHA9,20.417,8.483055133372545,Non-significant background,22,0.07934504273812529
PAX1,PAX6,29.13145,8.241665764711797,Non-significant background,23,0.08295163558985826
FCGRT,AZGP1,25.6008,8.10159383714199,Non-significant background,24,0.08655822844159124
STAT5B,STAT1,27.9928,8.047877920791507,Non-significant background,25,0.0901648212933242
STAT5B,STAT2,24.0905,7.855830701999366,Non-significant background,26,0.09377141414505716
CXCL10,CXCL5,20.8736,7.748710719868541,Non-significant background,27,0.09737800699679013
RGS9,RGS11,42.4126,7.627885149791837,Non-significant background,28,0.10098459984852311
HSPA8,HSPA1A,85.62675,7.450057432055473,Non-significant background,29,0.10459119270025607
SYTL1,SYTL5,26.92585,7.440889749675989,Non-significant background,30,0.10819778555198904
CHD4,CHD5,70.52045,7.351309210062027,Non-significant background,31,0.11180437840372201
IARS2,IARS1,21.6335,7.295486845076084,Non-significant background,32,0.11541097125545498
SATB1,SATB2,58.1785,7.202117037028074,Non-significant background,33,0.11901756410718793
KLRF1,CLEC7A,20.94395,7.105074064806104,Non-significant background,34,0.1226241569589209
KLKB1,PRSS55,22.9232,7.065440654754639,Non-significant background,35,0.12623074981065388
C1QB,COL8A2,24.32945,7.043453703634441,Non-significant background,36,0.12983734266238683
MIXL1,OTX2,21.49655,7.002386666834354,Non-significant background,37,0.13344393551411982
DNAH3,DNAH14,27.99175,6.988636881113052,Non-significant background,38,0.13705052836585277
PCGF1,PCGF2,29.4407,6.9727077186107635,Non-significant background,39,0.14065712121758575
MAPK13,MAPK4,27.77065,6.939159276545979,Non-significant background,40,0.14426371406931873
LILRA2,TARM1,26.20995,6.863401000387967,Non-significant background,41,0.1478703069210517
STAC3,STAC2,34.9673,6.8626511469483376,Non-significant background,42,0.15147689977278464
DSC2,DSC3,66.7785,6.8256778083741665,Non-significant background,43,0.15508349262451762
DUSP28,STYX,20.8406,6.817244231700897,Non-significant background,44,0.15869008547625058
SLIT3,SLIT2,66.4485,6.816588983871043,Non-significant background,45,0.16229667832798356
LTB4R2,NPBWR1,21.3236,6.7675806209445,Non-significant background,46,0.1659032711797165
WNT1,WNT8B,35.8085,6.6570260669104755,Non-significant background,47,0.1695098640314495
TULP2,TULP1,32.2172,6.597891817102209,Non-significant background,48,0.17311645688318247
B3GNT9,B3GNT3,34.9362,6.455274732783437,Non-significant background,49,0.17672304973491543
TBL1XR1,TBL1X,83.13695,6.399390663602389,Non-significant background,50,0.1803296425866484
PPP2CB,PPEF2,24.1906,6.370435360819101,Non-significant background,51,0.18393623543838136
TBR1,TBX18,20.2392,6.336697719991207,Non-significant background,52,0.18754282829011432
MAP3K5,MAP3K15,57.34255,6.3147485591471195,Non-significant background,53,0.1911494211418473
RORB,NR1H4,22.4673,6.220427546300925,Non-significant background,54,0.19475601399358025
HNRNPA2B1,HNRNPA3,69.7257,6.156942598521709,Non-significant background,55,0.19836260684531326
DLX1,DLX3,35.91855,6.133956145495176,Non-significant background,56,0.20196919969704621
SEMA4C,SEMA3F,26.2283,6.098880244418979,Non-significant background,57,0.20557579254877914
HELLS,SMARCA1,30.7481,6.0946146585047245,Non-significant background,58,0.20918238540051215
PDE6C,PDE6A,63.2131,6.082082065753639,Non-significant background,59,0.2127889782522451
APOBEC3A,APOBEC1,22.6929,6.017887924332172,Non-significant background,60,0.21639557110397808
HIPK1,HIPK4,28.41795,5.939265713095665,Non-significant background,61,0.22000216395571104
GBP5,GBP4,49.03475,5.8962287018075585,Non-significant background,62,0.22360875680744402
MSMO1,FAXDC2,24.3807,5.804470881819725,Non-significant background,63,0.22721534965917697
CD84,SLAMF9,27.0123,5.756977029144764,Non-significant background,64,0.23082194251090996
HOXD10,HOXC9,29.1855,5.564635613933206,Non-significant background,65,0.2344285353626429
COL1A1,COL6A1,20.78055,5.512030214071274,Non-significant background,66,0.23803512821437586
STAT5B,STAT3,28.5198,5.437481597065926,Non-significant background,67,0.24164172106610884
GMEB1,GMEB2,37.7288,5.383935183286667,Non-significant background,68,0.2452483139178418
