dep_gene,paralog_gene,mean_identical_score,delta_z,direction
MIPEP,NLN,23.9953,0.11783014617394656,g1_to_g2
MIPEP,THOP1,23.54475,-0.05057092607916834,g1_to_g2
KPNA6,KPNA3,46.74545,-0.15941524800280324,g2_to_g1
DNAJC19,DNAJC15,51.21265,-0.10148265119597244,g2_to_g1
TBC1D1,TBC1D4,48.36895,-0.08683609109497271,g2_to_g1
IMPA2,BPNT1,22.8445,-0.24655579533427954,g1_to_g2
IMPA2,IMPA1,52.05515,0.10799957873442999,g1_to_g2
IMPA2,INPP1,20.32685,-0.1971714250018032,g1_to_g2
KLF7,KLF5,29.42205,-0.020619448504518145,g2_to_g1
RFC3,RFC4,25.59355,-0.40023369918792295,g1_to_g2
RFC4,RFC3,25.59355,-0.3416317774735105,g2_to_g1
RFC3,RFC5,25.58825,-0.42012782929142795,g1_to_g2
RFC5,RFC3,25.58825,-0.30607277888876316,g2_to_g1
RFC3,RFC2,24.78895,-0.4056231411997802,g1_to_g2
RFC2,RFC3,24.78895,-0.34801603097540257,g2_to_g1
PAXBP1,GCFC2,30.5849,-0.09960855095033856,g1_to_g2
SS18L2,SS18,29.220805,-0.07527823119531744,g2_to_g1
SLC7A5,SLC7A1,20.4827,0.15047868288249727,g2_to_g1
FOXO1,FOXO3,43.3815,-0.10207072430415652,g1_to_g2
RPRD1B,RPRD1A,67.11695,-0.2091581565130932,g2_to_g1
DIS3,DIS3L,34.37245,-0.13231742441690025,g1_to_g2
DIS3,DIS3L2,27.0636,0.36809714114010256,g1_to_g2
TXN,TXNL1,31.81085,-0.00710865362556293,g2_to_g1
PC,PCCA,30.5597,-0.18362532563400097,g2_to_g1
TUBGCP3,TUBGCP2,25.09695,-0.40656575503884457,g1_to_g2
TUBGCP2,TUBGCP3,25.09695,-0.2773020358635292,g2_to_g1
GABPA,ETS2,27.52625,-0.11969016453143783,g2_to_g1
PTPN11,PTPN2,20.8895,-0.04668253957284973,g2_to_g1
PTPN1,PTPN2,55.0893,-0.11603122874154136,g2_to_g1
SLC39A10,SLC39A6,33.36795,0.08249559226141383,g2_to_g1
XRN2,XRN1,26.20505,-0.23547629568515382,g1_to_g2
XRN1,XRN2,26.20505,0.03121876252295736,g2_to_g1
SNRPA,SNRPB2,60.72815,0.4118189898892664,g2_to_g1
SUMO2,SUMO3,91.0577,0.7103124057667138,g2_to_g1
ABHD17A,ABHD13,20.43745,0.07071769663195412,g2_to_g1
RRP1,RRP1B,36.97765,-0.30843976977720067,g2_to_g1
TOX4,TOX2,29.0514,0.06704690116390478,g2_to_g1
CLK2,DYRK1A,21.81325,-0.058303693647926244,g2_to_g1
NAA15,NAA16,70.52035,0.07170319438804515,g2_to_g1
ZMYM4,ZMYM2,33.75635,-0.11755116703609998,g2_to_g1
HNRNPC,RALY,45.09635,-0.1841602869770633,g2_to_g1
MEIS3,PKNOX1,35.71375,0.011409134668792831,g2_to_g1
PIAS1,PIAS2,56.47795,0.013684560121216167,g2_to_g1
PIAS4,PIAS2,42.85305,0.0808063024144548,g2_to_g1
PSMA7,PSMA1,31.7299,0.7115754602638145,g1_to_g2
PSMA1,PSMA7,31.7299,0.4974592500527461,g2_to_g1
PSMA7,PSMA2,36.54535,0.6108720339082468,g1_to_g2
PSMA2,PSMA7,36.54535,0.053878022839601795,g2_to_g1
PSMA7,PSMA3,34.20145,0.0453101461166695,g1_to_g2
PSMA3,PSMA7,34.20145,0.10974183168011503,g2_to_g1
PSMA7,PSMA4,34.99335,-0.1656833244549209,g1_to_g2
PSMA4,PSMA7,34.99335,0.08511360224085646,g2_to_g1
PSMA7,PSMA5,35.5901,0.6380925513808436,g1_to_g2
PSMA5,PSMA7,35.5901,0.5084565752347071,g2_to_g1
PSMA7,PSMA6,34.00865,0.5123874378954777,g1_to_g2
PSMA6,PSMA7,34.00865,0.22175975378352003,g2_to_g1
U2AF1,ZRSR2,32.45505,0.5970522058229947,g1_to_g2
MEX3A,MEX3C,39.04995,0.07600896471703891,g2_to_g1
ATP11B,ATP11A,56.5319,0.12651293899219196,g2_to_g1
GABPA,ETS1,27.93245,0.006498847892866111,g1_to_g2
HSPA5,HSPA13,30.86105,1.7637105880954411,g2_to_g1
HSPA9,HSPA13,27.8682,0.1932242511489536,g2_to_g1
HSPA14,HSPA13,23.70915,0.1584986894109394,g2_to_g1
HSPA8,HSPA13,32.67305,-0.036105755837902855,g2_to_g1
POLR1D,POLR2J,28.91845,0.30162832485265634,g1_to_g2
POLR1D,POLR2J3,24.812,0.009349773907048914,g1_to_g2
NUBP1,NUBPL,36.6198,-0.15198640333076652,g2_to_g1
NUBP2,NUBPL,32.418,0.04871469928363625,g2_to_g1
HMGN2,HMGN1,52.7778,0.06802765741183696,g2_to_g1
SDC1,SDC4,24.0013,0.1884847142178422,g2_to_g1
PRELID3B,PRELID2,23.7696,-0.0741571429069154,g1_to_g2
PRELID3B,PRELID1,26.2463,-0.31262153311086316,g1_to_g2
PRELID1,PRELID3B,26.2463,0.5326756887876679,g2_to_g1
RBM12,RBM12B,28.28225,0.06539276706260773,g1_to_g2
PCNX3,PCNX1,48.7888,-0.005322529189288616,g2_to_g1
EXOSC8,EXOSC7,27.17955,-0.159061791761241,g1_to_g2
EXOSC7,EXOSC8,27.17955,-0.695315315467395,g2_to_g1
EXOSC8,EXOSC9,22.71925,-0.4960433692967994,g1_to_g2
EXOSC9,EXOSC8,22.71925,-0.7112628362002746,g2_to_g1
SRSF6,SRSF4,58.92865,0.22169204235872783,g1_to_g2
SRSF6,SRSF5,54.6426,0.20557896399203365,g1_to_g2
SRSF6,SRSF7,35.5433,-0.12535924058264264,g1_to_g2
SRSF7,SRSF6,35.5433,-0.062378983089001847,g2_to_g1
SRSF6,SRSF3,30.1652,-0.15584508414792184,g1_to_g2
SRSF3,SRSF6,30.1652,-0.09620288301375694,g2_to_g1
SRSF6,SRSF1,37.47185,-0.04306485661162207,g1_to_g2
SRSF1,SRSF6,37.47185,-0.022699265816481785,g2_to_g1
SRSF6,SRSF9,30.84225,-0.12261366686882236,g1_to_g2
SYNGR3,SYNGR1,50.2202,0.37997929861169094,g2_to_g1
MYBL2,MYBL1,39.1687,0.1143273729107862,g1_to_g2
MYB,MYBL2,36.8884,-0.1502867347525003,g2_to_g1
KLF7,KLF6,53.38965,-0.21361624992233164,g2_to_g1
OSBP,OSBPL2,28.4073,0.4346210089930817,g2_to_g1
TFDP1,TFDP2,60.38715,0.15131413589697332,g1_to_g2
LTBP4,LTBP2,35.504,-0.18521022093739772,g2_to_g1
LTBP3,LTBP2,31.07195,0.04105572360310292,g2_to_g1
ATP11B,ATP8B1,32.1551,-0.23582987586179605,g2_to_g1
CTPS1,CTPS2,74.7677,-0.27021213738032834,g2_to_g1
SFPQ,PSPC1,48.0675,0.26751042886798343,g2_to_g1
PTPN11,PTPRM,21.5573,-0.17344421476412278,g2_to_g1
ISCA2,ISCA1,26.3541,0.05843379710411402,g1_to_g2
ALG11,ALG2,21.7382,0.5625475417580814,g1_to_g2
PIP4K2C,PIP4K2A,64.10815,-0.5334506560963256,g2_to_g1
SRSF7,SRSF5,32.69435,0.14134332143965786,g2_to_g1
SRSF3,SRSF5,32.74305,0.5701879372567279,g2_to_g1
SRSF1,SRSF5,41.62715,-0.272794503930177,g2_to_g1
SNRPD3,SNRPD1,33.49675,-0.2798281942173092,g1_to_g2
SNRPD1,SNRPD3,33.49675,-0.2807303463580096,g2_to_g1
SNRPD3,LSM4,28.7484,-0.6459211917417214,g1_to_g2
LSM4,SNRPD3,28.7484,-0.1710196380974734,g2_to_g1
SNRPD1,LSM4,31.1952,-0.6545601697461769,g1_to_g2
LSM4,SNRPD1,31.1952,-0.565923634605035,g2_to_g1
MSRB1,MSRB2,28.2304,-0.06005568330068714,g2_to_g1
UBE2I,UBE2G2,29.7353,-0.20263510956115519,g2_to_g1
