dep_gene,paralog_gene,para_pair,mean_identical_score,aneuploid_loss_chr,paralog_chr,p_value_dep,delta_z,testable,paralog_ctrl_mean_z,delta_z_flipped,paralog_ccle_log2tpm
CDK4,CDK11A,CDK4-CDK11A,27.4943,chr1_p,chr12_q,0.000230005213677922,-0.44440439343452454,True,0.6712886095046997,-1.907111942768097,
KRAS,NRAS,KRAS-NRAS,83.82025,chr1_p,chr12_p,0.000825096135906031,0.945541113615036,True,-0.48695987462997437,1.9514983892440796,
RAB10,RAB3B,RAB10-RAB3B,47.83105,chr1_p,chr2_p,0.008823045454588,-2.6097615007311106,True,0.016230130568146706,1.360422506928444,
FBXW11,BTRC,FBXW11-BTRC,80.7551,chr10_q,chr5_q,3.00011351472312e-05,-0.23195379972457886,True,0.6347275376319885,-0.5335251837968826,
HNRNPH1,HNRNPF,HNRNPH1-HNRNPF,74.88445,chr10_q,chr5_q,2.97357428772021e-05,-0.3627835214138031,True,-0.280757874250412,1.4828240796923637,
ACACA,PC,ACACA-PC,20.42345,chr11_q,chr17_q,0.00303313966734393,0.8786047250032425,True,-0.8265584707260132,-0.3534916341304779,
HNRNPU,HNRNPUL2,HNRNPU-HNRNPUL2,40.9405,chr11_q,chr1_q,0.00109796963552113,-1.3398798704147339,True,0.5743207931518555,-2.4482081532478333,
PPP2R1A,PPP2R1B,PPP2R1A-PPP2R1B,85.05065,chr11_q,chr19_q,0.000160322427178755,0.8288133442401886,True,-0.3044762909412384,-0.41365354508161545,
SRSF2,SRSF8,SRSF2-SRSF8,65.77855,chr11_q,chr17_q,0.00448706372440501,0.6008147299289703,True,-0.3562782406806946,0.29202960059046745,
WWTR1,YAP1,WWTR1-YAP1,45.5139,chr11_q,chr3_q,0.000713600345675506,-0.6813843101263046,True,0.8163996338844299,-0.5984619706869125,
MAGOH,MAGOHB,MAGOH-MAGOHB,97.9637,chr12_p,chr1_p,6.7481114749049e-05,-0.031139254570007324,True,-0.46305376291275024,0.8238865733146667,
